SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ab173	Global	1	1	1	0	0	0	1493	1	
ab173	Global	2	1	0	1	0	1	976	1	
ab173	Global	3	1	0	0	1	1	440	1	
ab173	Global	4	1	0	0	1	1	611	1	
ab173	Global	5	1	0	1	1	0	610	1	
ab173	Global	6	1	0	0	0	0	489	1	
ab173	Global	7	1	1	1	0	1	505	1	
ab173	Global	8	1	0	1	0	1	571	1	
ab173	Global	9	1	0	1	1	0	453	1	
ab173	Global	10	1	1	1	1	1	498	1	
ab173	Global	11	1	1	0	1	0	523	1	
ab173	Global	12	1	1	0	0	0	449	1	
ab173	Global	13	1	1	0	0	1	468	1	
ab173	Global	14	1	0	1	1	1	666	1	
ab173	Global	15	1	0	1	1	1	688	1	
ab173	Global	16	1	1	1	1	1	639	1	
ab173	Global	17	1	1	0	0	0	497	1	
ab173	Global	18	1	1	0	0	0	731	1	
ab173	Global	19	1	1	1	0	1	551	1	
ab173	Global	20	1	1	0	0	1	150	0	
ab173	Global	21	1	0	1	0	1	872	1	
ab173	Global	22	1	1	0	1	1	708	1	
ab173	Global	23	1	0	1	0	1	525	1	
ab173	Global	24	1	1	1	0	1	530	1	
ab173	Global	25	1	0	0	1	0	559	1	
ab173	Global	26	1	0	1	1	1	471	1	
ab173	Global	27	1	0	1	0	1	422	1	
ab173	Global	28	1	0	0	1	0	471	1	
ab173	Global	29	1	0	1	1	1	510	1	
ab173	Global	30	1	0	0	1	1	513	1	
ab173	Global	31	1	1	0	1	1	645	1	
ab173	Global	32	1	1	0	0	1	591	1	
ab173	Local	1	1	0	1	0	1	1222	1	
ab173	Local	2	1	1	1	0	0	681	1	
ab173	Local	3	1	1	1	1	1	528	1	
ab173	Local	4	1	0	0	0	1	509	1	
ab173	Local	5	1	0	1	0	1	545	1	
ab173	Local	6	1	0	1	1	1	439	1	
ab173	Local	7	1	1	0	0	0	419	1	
ab173	Local	8	1	1	0	0	0	427	1	
ab173	Local	9	1	0	1	1	1	572	1	
ab173	Local	10	1	1	1	0	0	486	1	
ab173	Local	11	1	0	1	0	1	446	1	
ab173	Local	12	1	1	0	0	0	150	0	
ab173	Local	13	1	1	1	0	0	1002	1	
ab173	Local	14	1	0	0	1	0	589	1	
ab173	Local	15	1	0	0	1	1	440	1	
ab173	Local	16	1	0	0	1	1	364	1	
ab173	Local	17	1	0	1	1	0	455	1	
ab173	Local	18	1	1	0	0	0	524	1	
ab173	Local	19	1	0	1	1	1	473	1	
ab173	Local	20	1	1	1	0	0	439	1	
ab173	Local	21	1	0	1	0	1	474	1	
ab173	Local	22	1	0	0	1	0	521	1	
ab173	Local	23	1	0	0	1	1	524	1	
ab173	Local	24	1	0	0	1	0	530	1	
ab173	Local	25	1	0	0	0	0	479	1	
ab173	Local	26	1	1	1	1	0	415	1	
ab173	Local	27	1	0	1	1	0	431	1	
ab173	Local	28	1	1	0	1	1	496	1	
ab173	Local	29	1	0	0	0	1	474	1	
ab173	Local	30	1	1	0	0	0	505	1	
ab173	Local	31	1	0	0	1	1	418	1	
ab173	Local	32	1	1	1	1	1	418	1	
ab173	Global	1	0	0	1	1	1	1280	1	
ab173	Global	2	0	1	0	1	1	482	1	
ab173	Global	3	0	1	1	1	1	474	1	
ab173	Global	4	0	1	0	0	0	361	1	
ab173	Global	5	0	0	1	0	0	610	1	
ab173	Global	6	0	1	1	1	0	561	1	
ab173	Global	7	0	1	1	1	0	361	1	
ab173	Global	8	0	0	0	0	1	150	0	
ab173	Global	9	0	0	1	0	0	867	1	
ab173	Global	10	0	1	1	0	1	504	1	
ab173	Global	11	0	1	0	0	0	505	1	
ab173	Global	12	0	0	1	1	0	523	1	
ab173	Global	13	0	0	0	1	1	560	1	
ab173	Global	14	0	1	1	0	0	489	1	
ab173	Global	15	0	1	0	0	0	489	1	
ab173	Global	16	0	0	0	1	1	497	1	
ab173	Global	17	0	1	1	0	0	451	1	
ab173	Global	18	0	1	1	0	0	408	1	
ab173	Global	19	0	1	1	1	0	408	1	
ab173	Global	20	0	1	0	0	0	391	1	
ab173	Global	21	0	1	0	0	0	396	1	
ab173	Global	22	0	1	1	1	0	363	1	
ab173	Global	23	0	1	1	0	0	444	1	
ab173	Global	24	0	1	0	1	0	407	1	
ab173	Global	25	0	1	0	0	0	327	1	
ab173	Global	26	0	0	1	1	1	485	1	
ab173	Global	27	0	1	0	0	0	429	1	
ab173	Global	28	0	1	0	1	0	495	1	
ab173	Global	29	0	1	1	0	0	441	1	
ab173	Global	30	0	0	0	1	0	380	1	
ab173	Global	31	0	1	0	1	0	369	1	
ab173	Global	32	0	0	0	1	0	340	1	
ab173	Local	1	0	1	0	0	0	1136	1	
ab173	Local	2	0	1	1	1	1	150	0	
ab173	Local	3	0	0	1	0	1	679	1	
ab173	Local	4	0	1	0	1	1	485	1	
ab173	Local	5	0	1	1	0	0	741	1	
ab173	Local	6	0	0	0	1	0	474	1	
ab173	Local	7	0	1	1	0	0	585	1	
ab173	Local	8	0	0	0	0	0	444	1	
ab173	Local	9	0	0	0	0	0	480	1	
ab173	Local	10	0	0	0	0	1	544	1	
ab173	Local	11	0	0	0	1	1	407	1	
ab173	Local	12	0	1	0	1	0	519	1	
ab173	Local	13	0	0	1	0	0	618	1	
ab173	Local	14	0	1	0	0	1	593	1	
ab173	Local	15	0	0	1	0	1	845	1	
ab173	Local	16	0	1	1	0	0	598	1	
ab173	Local	17	0	0	0	1	0	699	1	
ab173	Local	18	0	1	0	0	1	484	1	
ab173	Local	19	0	0	0	1	0	476	1	
ab173	Local	20	0	0	1	1	1	634	1	
ab173	Local	21	0	1	1	0	1	579	1	
ab173	Local	22	0	1	0	1	1	559	1	
ab173	Local	23	0	1	1	1	1	503	1	
ab173	Local	24	0	0	0	0	0	553	1	
ab173	Local	25	0	0	0	1	0	649	1	
ab173	Local	26	0	0	1	1	1	507	1	
ab173	Local	27	0	0	0	0	1	431	1	
ab173	Local	28	0	1	1	1	1	584	1	
ab173	Local	29	0	0	1	0	0	588	1	
ab173	Local	30	0	0	1	1	1	545	1	
ab173	Local	31	0	1	1	1	0	560	1	
ab173	Local	32	0	1	1	1	0	664	1	
