Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	0.94	0.75	0.84	0.94	0.88	0.91	0.88
incong	0.88	0.75	0.81	1.00	0.94	0.97	0.89
Grand Total	0.91	0.75	0.83	0.97	0.91	0.94	0.88
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
0.94	0.88	0.75	0.75	0.94	1.00	0.88	0.94
491.4	536.1	579.8	702.7	488.9	546.7	381.2	421
							
							
							
							
rt	SDev	CCor	UCor				
491.4	99.71	14	15	0	0	0	
536.1	69.41	14	14	0	0	1	
579.8	247.6	12	12	0	1	0	
702.7	220.8	12	12	0	1	1	
488.9	90.19	14	15	1	0	0	
546.7	110.9	16	16	1	0	1	
381.2	64.71	12	14	1	1	0	
421	51.49	14	15	1	1	1	
