SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ac37	Global	1	1	1	1	0	1	1081	1	
ac37	Global	2	1	0	0	0	1	796	1	
ac37	Global	3	1	0	1	0	0	1120	1	
ac37	Global	4	1	0	1	0	1	784	1	
ac37	Global	5	1	1	0	1	0	1139	1	
ac37	Global	6	1	0	1	0	1	1007	1	
ac37	Global	7	1	0	1	0	1	1242	1	
ac37	Global	8	1	1	0	1	1	1009	1	
ac37	Global	9	1	0	1	1	0	820	1	
ac37	Global	10	1	1	0	1	1	865	1	
ac37	Global	11	1	1	0	0	1	1100	1	
ac37	Global	12	1	0	1	1	1	827	1	
ac37	Global	13	1	1	0	0	1	922	1	
ac37	Global	14	1	0	0	0	0	708	1	
ac37	Global	15	1	1	0	1	1	804	1	
ac37	Global	16	1	1	1	1	0	808	1	
ac37	Global	17	1	1	1	0	1	845	1	
ac37	Global	18	1	0	1	1	0	838	1	
ac37	Global	19	1	1	0	0	0	847	1	
ac37	Global	20	1	1	0	1	1	1008	1	
ac37	Global	21	1	1	0	0	0	955	1	
ac37	Global	22	1	0	0	1	1	817	1	
ac37	Global	23	1	1	1	1	1	839	1	
ac37	Global	24	1	0	1	0	1	936	1	
ac37	Global	25	1	0	0	0	0	707	1	
ac37	Global	26	1	0	1	1	0	956	1	
ac37	Global	27	1	0	1	1	1	778	1	
ac37	Global	28	1	1	0	0	0	1563	1	
ac37	Global	29	1	1	1	1	1	918	1	
ac37	Global	30	1	0	0	1	1	1439	1	
ac37	Global	31	1	1	1	0	0	723	1	
ac37	Global	32	1	0	0	1	1	911	1	
ac37	Local	1	1	1	0	1	1	1041	1	
ac37	Local	2	1	1	1	0	0	1225	1	
ac37	Local	3	1	1	1	1	1	852	1	
ac37	Local	4	1	1	0	1	1	1327	1	
ac37	Local	5	1	1	1	0	1	1000	1	
ac37	Local	6	1	1	0	0	1	979	1	
ac37	Local	7	1	1	0	0	0	1531	1	
ac37	Local	8	1	0	0	1	0	779	1	
ac37	Local	9	1	1	0	0	1	1155	1	
ac37	Local	10	1	0	1	1	1	1393	1	
ac37	Local	11	1	0	0	0	0	1016	1	
ac37	Local	12	1	1	1	1	0	1149	1	
ac37	Local	13	1	1	1	1	1	888	1	
ac37	Local	14	1	0	0	1	1	1038	1	
ac37	Local	15	1	1	1	1	0	741	1	
ac37	Local	16	1	0	0	0	0	642	1	
ac37	Local	17	1	1	1	0	1	692	1	
ac37	Local	18	1	1	1	1	0	691	1	
ac37	Local	19	1	1	0	1	0	723	1	
ac37	Local	20	1	1	0	1	1	743	1	
ac37	Local	21	1	0	1	0	1	1428	1	
ac37	Local	22	1	1	1	1	1	720	1	
ac37	Local	23	1	0	0	0	0	875	1	
ac37	Local	24	1	0	1	0	0	1207	1	
ac37	Local	25	1	1	0	0	1	1217	1	
ac37	Local	26	1	0	1	1	0	693	1	
ac37	Local	27	1	1	1	0	0	732	1	
ac37	Local	28	1	1	1	0	0	688	1	
ac37	Local	29	1	0	1	0	1	871	1	
ac37	Local	30	1	0	0	1	0	1107	1	
ac37	Local	31	1	0	0	1	0	818	1	
ac37	Local	32	1	1	0	0	1	768	1	
ac37	Global	1	0	1	1	0	1	2264	1	
ac37	Global	2	0	1	1	1	0	883	1	
ac37	Global	3	0	0	1	0	0	945	1	
ac37	Global	4	0	0	1	1	1	1021	1	
ac37	Global	5	0	1	0	1	0	810	1	
ac37	Global	6	0	1	0	0	1	760	1	
ac37	Global	7	0	1	0	0	1	695	1	
ac37	Global	8	0	1	1	1	0	888	1	
ac37	Global	9	0	1	1	1	1	654	1	
ac37	Global	10	0	1	1	1	0	738	1	
ac37	Global	11	0	0	0	1	0	751	1	
ac37	Global	12	0	1	0	0	0	575	1	
ac37	Global	13	0	0	0	0	0	593	1	
ac37	Global	14	0	1	0	1	1	644	1	
ac37	Global	15	0	1	1	0	1	638	1	
ac37	Global	16	0	0	1	0	0	585	1	
ac37	Global	17	0	1	0	1	0	692	1	
ac37	Global	18	0	0	0	0	0	603	1	
ac37	Global	19	0	0	1	0	0	689	1	
ac37	Global	20	0	0	1	0	1	1008	1	
ac37	Global	21	0	0	1	0	1	1579	1	
ac37	Global	22	0	1	1	1	1	711	1	
ac37	Global	23	0	0	1	1	0	730	1	
ac37	Global	24	0	0	0	1	0	894	1	
ac37	Global	25	0	1	0	0	0	652	1	
ac37	Global	26	0	0	0	1	1	664	1	
ac37	Global	27	0	1	0	1	0	779	1	
ac37	Global	28	0	0	0	1	0	1708	1	
ac37	Global	29	0	1	0	0	1	624	1	
ac37	Global	30	0	0	1	1	0	856	1	
ac37	Global	31	0	0	0	0	1	507	1	
ac37	Global	32	0	0	1	0	1	725	1	
ac37	Local	1	0	1	0	1	0	1114	1	
ac37	Local	2	0	0	1	0	0	994	1	
ac37	Local	3	0	0	1	0	1	771	1	
ac37	Local	4	0	1	1	1	0	948	1	
ac37	Local	5	0	1	0	1	0	1009	1	
ac37	Local	6	0	0	0	1	0	820	1	
ac37	Local	7	0	1	0	1	1	970	1	
ac37	Local	8	0	0	1	0	0	1346	1	
ac37	Local	9	0	0	0	0	0	916	1	
ac37	Local	10	0	1	1	0	0	733	1	
ac37	Local	11	0	1	0	1	1	1513	1	
ac37	Local	12	0	0	1	0	1	799	1	
ac37	Local	13	0	1	0	0	0	716	1	
ac37	Local	14	0	0	0	1	1	710	1	
ac37	Local	15	0	0	1	1	0	656	1	
ac37	Local	16	0	1	0	0	1	836	1	
ac37	Local	17	0	0	0	1	0	980	1	
ac37	Local	18	0	1	1	0	0	1435	1	
ac37	Local	19	0	0	1	1	0	840	1	
ac37	Local	20	0	1	1	0	1	913	1	
ac37	Local	21	0	1	1	1	0	778	1	
ac37	Local	22	0	1	0	0	1	611	1	
ac37	Local	23	0	1	0	1	1	618	1	
ac37	Local	24	0	1	1	1	1	865	1	
ac37	Local	25	0	0	0	0	0	635	1	
ac37	Local	26	0	0	1	0	1	620	1	
ac37	Local	27	0	1	0	0	1	707	1	
ac37	Local	28	0	1	1	1	0	564	1	
ac37	Local	29	0	1	0	0	1	404	1	
ac37	Local	30	0	1	1	1	0	1154	1	
ac37	Local	31	0	1	0	0	1	535	1	
ac37	Local	32	0	1	1	1	0	709	1	
