SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ad166	Global	1	0	1	1	0	1	150	0	
ad166	Global	2	0	1	1	0	0	750	1	
ad166	Global	3	0	1	1	0	0	539	1	
ad166	Global	4	0	0	0	0	0	386	1	
ad166	Global	5	0	1	1	1	0	359	1	
ad166	Global	6	0	0	0	1	0	800	1	
ad166	Global	7	0	1	1	0	0	348	1	
ad166	Global	8	0	0	1	1	0	380	1	
ad166	Global	9	0	1	1	1	1	337	1	
ad166	Global	10	0	0	1	0	0	641	1	
ad166	Global	11	0	1	1	1	1	323	1	
ad166	Global	12	0	1	1	1	1	369	1	
ad166	Global	13	0	1	1	0	1	150	0	
ad166	Global	14	0	1	0	1	1	412	1	
ad166	Global	15	0	1	0	1	0	308	1	
ad166	Global	16	0	1	0	1	1	776	1	
ad166	Global	17	0	1	1	0	0	593	1	
ad166	Global	18	0	1	0	0	0	350	1	
ad166	Global	19	0	0	0	1	0	344	1	
ad166	Global	20	0	0	0	0	0	400	1	
ad166	Global	21	0	1	0	0	1	318	1	
ad166	Global	22	0	0	0	1	1	778	1	
ad166	Global	23	0	0	0	0	1	363	1	
ad166	Global	24	0	0	0	1	1	382	1	
ad166	Global	25	0	0	0	0	1	395	1	
ad166	Global	26	0	0	1	1	0	505	1	
ad166	Global	27	0	1	1	1	0	299	1	
ad166	Global	28	0	1	0	0	1	310	1	
ad166	Global	29	0	0	1	0	0	347	1	
ad166	Global	30	0	1	0	0	1	298	1	
ad166	Global	31	0	1	1	1	0	317	1	
ad166	Global	32	0	0	0	1	0	490	1	
ad166	Local	1	0	0	0	1	1	561	1	
ad166	Local	2	0	1	0	1	1	425	1	
ad166	Local	3	0	0	1	1	1	475	1	
ad166	Local	4	0	1	0	0	0	361	1	
ad166	Local	5	0	1	1	1	1	315	1	
ad166	Local	6	0	0	1	0	1	559	1	
ad166	Local	7	0	0	0	1	1	400	1	
ad166	Local	8	0	1	1	1	1	342	1	
ad166	Local	9	0	1	0	0	1	358	1	
ad166	Local	10	0	0	0	1	0	263	1	
ad166	Local	11	0	0	1	1	1	335	1	
ad166	Local	12	0	1	1	0	0	310	1	
ad166	Local	13	0	0	1	0	1	467	1	
ad166	Local	14	0	0	1	0	0	514	1	
ad166	Local	15	0	1	1	0	1	421	1	
ad166	Local	16	0	0	1	1	1	399	1	
ad166	Local	17	0	0	0	1	0	301	1	
ad166	Local	18	0	1	0	1	0	320	1	
ad166	Local	19	0	0	0	0	0	364	1	
ad166	Local	20	0	1	1	0	0	383	1	
ad166	Local	21	0	1	1	0	0	356	1	
ad166	Local	22	0	0	0	1	1	286	1	
ad166	Local	23	0	0	1	0	1	463	1	
ad166	Local	24	0	1	1	1	1	436	1	
ad166	Local	25	0	1	0	1	1	503	1	
ad166	Local	26	0	0	0	0	0	313	1	
ad166	Local	27	0	0	0	0	1	285	1	
ad166	Local	28	0	0	1	1	1	318	1	
ad166	Local	29	0	1	1	1	0	150	0	
ad166	Local	30	0	0	0	0	1	411	1	
ad166	Local	31	0	1	0	0	0	331	1	
ad166	Local	32	0	1	0	0	0	305	1	
ad166	Global	1	1	1	1	1	1	620	1	
ad166	Global	2	1	0	1	1	0	499	1	
ad166	Global	3	1	0	1	1	0	357	1	
ad166	Global	4	1	1	0	0	1	286	1	
ad166	Global	5	1	0	0	1	0	287	1	
ad166	Global	6	1	0	0	1	0	353	1	
ad166	Global	7	1	0	1	1	0	362	1	
ad166	Global	8	1	0	0	1	0	267	1	
ad166	Global	9	1	0	0	0	1	150	0	
ad166	Global	10	1	1	1	0	0	369	1	
ad166	Global	11	1	0	0	0	1	300	1	
ad166	Global	12	1	1	1	1	0	311	1	
ad166	Global	13	1	0	1	0	1	150	0	
ad166	Global	14	1	0	0	1	1	306	1	
ad166	Global	15	1	1	0	1	0	340	1	
ad166	Global	16	1	1	1	0	1	356	1	
ad166	Global	17	1	1	0	1	1	270	1	
ad166	Global	18	1	0	0	0	1	525	1	
ad166	Global	19	1	1	1	0	0	386	1	
ad166	Global	20	1	1	1	0	0	639	1	
ad166	Global	21	1	0	0	0	0	625	1	
ad166	Global	22	1	0	1	0	0	150	0	
ad166	Global	23	1	1	0	0	0	878	1	
ad166	Global	24	1	1	0	0	1	451	1	
ad166	Global	25	1	1	0	1	0	615	1	
ad166	Global	26	1	0	0	0	1	270	1	
ad166	Global	27	1	0	1	0	1	406	1	
ad166	Global	28	1	1	1	1	1	260	1	
ad166	Global	29	1	1	1	1	1	314	1	
ad166	Global	30	1	1	1	0	0	327	1	
ad166	Global	31	1	0	0	1	0	637	1	
ad166	Global	32	1	1	1	1	1	263	1	
ad166	Local	1	1	0	0	1	1	514	1	
ad166	Local	2	1	1	0	1	0	949	1	
ad166	Local	3	1	1	1	0	1	362	1	
ad166	Local	4	1	1	0	0	0	300	1	
ad166	Local	5	1	0	0	1	0	334	1	
ad166	Local	6	1	1	0	0	0	301	1	
ad166	Local	7	1	1	1	1	0	303	1	
ad166	Local	8	1	1	1	1	1	330	1	
ad166	Local	9	1	1	1	1	1	150	0	
ad166	Local	10	1	0	1	1	1	526	1	
ad166	Local	11	1	1	1	1	1	315	1	
ad166	Local	12	1	1	0	1	1	376	1	
ad166	Local	13	1	0	1	0	1	347	1	
ad166	Local	14	1	1	1	0	1	491	1	
ad166	Local	15	1	1	1	0	1	307	1	
ad166	Local	16	1	1	0	1	1	150	0	
ad166	Local	17	1	0	0	0	1	329	1	
ad166	Local	18	1	0	1	0	1	263	1	
ad166	Local	19	1	1	1	1	1	261	1	
ad166	Local	20	1	1	1	1	1	251	1	
ad166	Local	21	1	1	0	0	0	337	1	
ad166	Local	22	1	1	0	0	0	408	1	
ad166	Local	23	1	1	0	1	1	320	1	
