SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ah185	Global	1	1	1	1	0	0	890	1	
ah185	Global	2	1	1	1	1	1	1112	1	
ah185	Global	3	1	1	0	1	1	1008	1	
ah185	Global	4	1	0	1	0	1	579	1	
ah185	Global	5	1	1	0	0	1	551	1	
ah185	Global	6	1	1	0	1	1	431	1	
ah185	Global	7	1	1	1	0	0	625	1	
ah185	Global	8	1	0	0	0	0	577	1	
ah185	Global	9	1	0	1	0	1	771	1	
ah185	Global	10	1	1	0	0	0	364	1	
ah185	Global	11	1	0	1	1	0	150	0	
ah185	Global	12	1	1	0	0	1	508	1	
ah185	Global	13	1	1	1	1	1	896	1	
ah185	Global	14	1	1	0	0	1	519	1	
ah185	Global	15	1	1	0	1	0	331	1	
ah185	Global	16	1	0	1	1	0	513	1	
ah185	Global	17	1	0	1	0	1	453	1	
ah185	Global	18	1	1	0	0	1	481	1	
ah185	Global	19	1	1	1	1	1	490	1	
ah185	Global	20	1	1	1	0	1	914	1	
ah185	Global	21	1	1	0	1	0	587	1	
ah185	Global	22	1	1	0	0	0	559	1	
ah185	Global	23	1	1	1	0	1	607	1	
ah185	Global	24	1	1	1	1	1	756	1	
ah185	Global	25	1	0	0	1	1	460	1	
ah185	Global	26	1	0	0	1	1	456	1	
ah185	Global	27	1	0	0	1	0	493	1	
ah185	Global	28	1	1	1	1	1	423	1	
ah185	Global	29	1	0	0	1	1	449	1	
ah185	Global	30	1	0	1	0	1	484	1	
ah185	Global	31	1	0	1	1	0	516	1	
ah185	Global	32	1	1	0	0	0	400	1	
ah185	Local	1	1	0	1	1	0	542	1	
ah185	Local	2	1	0	1	1	0	692	1	
ah185	Local	3	1	1	1	0	0	675	1	
ah185	Local	4	1	0	1	0	0	609	1	
ah185	Local	5	1	0	0	0	0	464	1	
ah185	Local	6	1	0	1	0	0	621	1	
ah185	Local	7	1	0	0	0	0	372	1	
ah185	Local	8	1	0	1	1	1	687	1	
ah185	Local	9	1	1	1	0	0	654	1	
ah185	Local	10	1	1	1	1	0	986	1	
ah185	Local	11	1	1	0	1	1	499	1	
ah185	Local	12	1	0	0	1	0	557	1	
ah185	Local	13	1	0	0	1	1	541	1	
ah185	Local	14	1	0	1	1	1	444	1	
ah185	Local	15	1	0	1	0	0	535	1	
ah185	Local	16	1	0	0	1	0	1092	1	
ah185	Local	17	1	1	0	1	1	569	1	
ah185	Local	18	1	0	1	1	0	475	1	
ah185	Local	19	1	1	1	0	1	570	1	
ah185	Local	20	1	1	1	1	0	444	1	
ah185	Local	21	1	1	1	0	1	327	1	
ah185	Local	22	1	0	0	0	0	453	1	
ah185	Local	23	1	1	0	0	1	346	1	
ah185	Local	24	1	0	1	1	1	150	0	
ah185	Local	25	1	0	0	1	0	359	1	
ah185	Local	26	1	1	0	0	0	896	1	
ah185	Local	27	1	1	1	0	0	416	1	
ah185	Local	28	1	0	0	1	1	368	1	
ah185	Local	29	1	1	0	0	1	803	1	
ah185	Local	30	1	0	0	1	1	479	1	
ah185	Local	31	1	0	0	0	1	479	1	
ah185	Local	32	1	0	0	0	1	448	1	
ah185	Global	1	0	1	0	1	1	545	1	
ah185	Global	2	0	1	0	1	1	464	1	
ah185	Global	3	0	0	1	1	0	150	0	
ah185	Global	4	0	0	1	0	0	971	1	
ah185	Global	5	0	0	0	1	0	451	1	
ah185	Global	6	0	0	1	0	0	408	1	
ah185	Global	7	0	1	1	0	0	496	1	
ah185	Global	8	0	1	1	1	0	370	1	
ah185	Global	9	0	1	0	1	1	373	1	
ah185	Global	10	0	0	0	0	0	376	1	
ah185	Global	11	0	0	1	0	0	587	1	
ah185	Global	12	0	0	0	0	1	423	1	
ah185	Global	13	0	1	0	1	0	288	1	
ah185	Global	14	0	0	0	0	0	465	1	
ah185	Global	15	0	0	1	1	1	488	1	
ah185	Global	16	0	1	0	0	1	496	1	
ah185	Global	17	0	0	0	1	1	522	1	
ah185	Global	18	0	1	0	0	0	303	1	
ah185	Global	19	0	1	1	1	1	610	1	
ah185	Global	20	0	1	1	1	0	1009	1	
ah185	Global	21	0	0	0	1	0	404	1	
ah185	Global	22	0	1	1	0	0	474	1	
ah185	Global	23	0	1	0	0	0	505	1	
ah185	Global	24	0	0	1	0	0	410	1	
ah185	Global	25	0	0	1	1	0	618	1	
ah185	Global	26	0	1	0	0	1	473	1	
ah185	Global	27	0	0	0	1	0	480	1	
ah185	Global	28	0	1	1	0	0	616	1	
ah185	Global	29	0	0	1	1	1	487	1	
ah185	Global	30	0	0	0	0	0	471	1	
ah185	Global	31	0	1	1	0	0	518	1	
ah185	Global	32	0	0	1	1	0	401	1	
ah185	Local	1	0	0	0	0	0	499	1	
ah185	Local	2	0	0	1	0	0	684	1	
ah185	Local	3	0	0	0	1	0	699	1	
ah185	Local	4	0	0	0	1	1	388	1	
ah185	Local	5	0	0	1	0	1	601	1	
ah185	Local	6	0	1	1	0	0	630	1	
ah185	Local	7	0	1	1	0	1	519	1	
ah185	Local	8	0	0	1	0	0	642	1	
ah185	Local	9	0	1	0	0	1	380	1	
ah185	Local	10	0	1	0	0	0	473	1	
ah185	Local	11	0	1	1	1	1	150	0	
ah185	Local	12	0	1	0	1	1	546	1	
ah185	Local	13	0	1	0	0	0	544	1	
ah185	Local	14	0	1	0	1	0	487	1	
ah185	Local	15	0	1	1	1	0	759	1	
ah185	Local	16	0	1	1	0	1	463	1	
ah185	Local	17	0	0	0	1	0	555	1	
ah185	Local	18	0	1	1	0	0	660	1	
ah185	Local	19	0	0	1	1	1	600	1	
ah185	Local	20	0	0	1	1	0	685	1	
ah185	Local	21	0	0	0	0	0	556	1	
ah185	Local	22	0	1	1	1	0	620	1	
ah185	Local	23	0	1	1	1	0	459	1	
ah185	Local	24	0	0	0	1	0	1032	1	
ah185	Local	25	0	1	0	1	1	550	1	
ah185	Local	26	0	1	1	0	1	567	1	
ah185	Local	27	0	0	0	1	0	561	1	
ah185	Local	28	0	1	0	0	1	521	1	
ah185	Local	29	0	1	1	1	0	548	1	
ah185	Local	30	0	0	1	1	0	645	1	
ah185	Local	31	0	0	0	0	0	463	1	
ah185	Local	32	0	1	0	0	0	476	1	
