Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	0.88	1.00	0.94	0.97
incong	1.00	0.81	0.91	0.94	1.00	0.97	0.94
Grand Total	1.00	0.91	0.95	0.91	1.00	0.95	0.95
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	0.81	0.88	0.94	1.00	1.00
405.90	435.70	468.80	559.50	500.50	489.10	459.10	476.70
							
							
rt	SDev	CCor	UCor				
405.90	58.47	14	16	0	0	0	
435.70	75.48	16	16	0	0	1	
468.80	62.58	15	16	0	1	0	
559.50	144.6	13	13	0	1	1	
500.50	111.4	14	14	1	0	0	
489.10	95.7	14	15	1	0	1	
459.10	58.19	14	16	1	1	0	
476.70	86.7	15	16	1	1	1	
