SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ak84	Global	1	1	1	0	0	0	2167	1	
ak84	Global	2	1	1	0	1	0	983	1	
ak84	Global	3	1	0	1	0	1	944	1	
ak84	Global	4	1	1	0	1	0	805	1	
ak84	Global	5	1	1	1	1	0	881	1	
ak84	Global	6	1	0	0	0	1	671	1	
ak84	Global	7	1	0	0	1	0	756	1	
ak84	Global	8	1	1	1	0	1	924	1	
ak84	Global	9	1	0	1	0	1	831	1	
ak84	Global	10	1	0	1	1	1	798	1	
ak84	Global	11	1	1	0	1	0	842	1	
ak84	Global	12	1	1	1	0	1	659	1	
ak84	Global	13	1	1	1	0	0	767	1	
ak84	Global	14	1	1	0	1	0	552	1	
ak84	Global	15	1	1	0	1	1	592	1	
ak84	Global	16	1	1	0	0	0	652	1	
ak84	Global	17	1	0	0	0	1	856	1	
ak84	Global	18	1	1	0	0	1	587	1	
ak84	Global	19	1	0	1	0	1	710	1	
ak84	Global	20	1	0	1	0	0	689	1	
ak84	Global	21	1	0	1	0	0	696	1	
ak84	Global	22	1	0	1	1	1	768	1	
ak84	Global	23	1	1	1	1	1	577	1	
ak84	Global	24	1	0	0	1	0	603	1	
ak84	Global	25	1	1	1	1	1	657	1	
ak84	Global	26	1	0	0	1	0	564	1	
ak84	Global	27	1	1	1	1	0	582	1	
ak84	Global	28	1	0	0	0	0	530	1	
ak84	Global	29	1	1	1	1	0	679	1	
ak84	Global	30	1	1	0	0	1	525	1	
ak84	Global	31	1	1	0	0	1	562	1	
ak84	Global	32	1	1	1	1	1	586	1	
ak84	Local	1	1	1	0	1	0	727	1	
ak84	Local	2	1	0	0	0	0	627	1	
ak84	Local	3	1	1	0	1	0	595	1	
ak84	Local	4	1	0	1	1	0	512	1	
ak84	Local	5	1	0	1	1	0	756	1	
ak84	Local	6	1	0	1	1	1	667	1	
ak84	Local	7	1	1	1	1	1	641	1	
ak84	Local	8	1	1	0	0	1	715	1	
