SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ap map201	Global	1	0	1	0	1	0	1071	1	
ap map201	Global	2	0	1	0	0	0	507	1	
ap map201	Global	3	0	1	1	1	0	404	1	
ap map201	Global	4	0	0	1	1	0	547	1	
ap map201	Global	5	0	0	0	0	1	401	1	
ap map201	Global	6	0	0	1	0	0	560	1	
ap map201	Global	7	0	1	0	1	1	544	1	
ap map201	Global	8	0	1	0	0	0	543	1	
ap map201	Global	9	0	0	0	0	1	581	1	
ap map201	Global	10	0	0	1	0	1	633	1	
ap map201	Global	11	0	0	1	0	0	682	1	
ap map201	Global	12	0	0	1	0	0	1073	1	
ap map201	Global	13	0	1	1	0	0	708	1	
ap map201	Global	14	0	1	1	1	0	437	1	
ap map201	Global	15	0	0	1	0	0	472	1	
ap map201	Global	16	0	1	1	0	0	519	1	
ap map201	Global	17	0	1	1	1	1	554	1	
ap map201	Global	18	0	0	1	1	1	594	1	
ap map201	Global	19	0	0	0	0	0	984	1	
ap map201	Global	20	0	1	0	1	0	329	1	
ap map201	Global	21	0	1	0	1	1	559	1	
ap map201	Global	22	0	1	1	1	1	616	1	
ap map201	Global	23	0	0	0	0	1	454	1	
ap map201	Global	24	0	1	0	0	0	451	1	
ap map201	Global	25	0	1	0	1	1	664	1	
ap map201	Global	26	0	1	0	1	0	516	1	
ap map201	Global	27	0	1	0	1	1	863	1	
ap map201	Global	28	0	0	1	1	1	986	1	
ap map201	Global	29	0	0	1	0	0	1404	1	
ap map201	Global	30	0	1	1	1	1	1237	1	
ap map201	Global	31	0	0	0	0	1	1010	1	
ap map201	Global	32	0	0	0	1	0	655	1	
ap map201	Local	1	0	0	1	1	1	618	1	
ap map201	Local	2	0	0	0	1	1	497	1	
ap map201	Local	3	0	0	1	0	0	714	1	
ap map201	Local	4	0	1	1	0	1	549	1	
ap map201	Local	5	0	0	0	1	1	571	1	
ap map201	Local	6	0	0	1	1	1	717	1	
ap map201	Local	7	0	1	1	1	0	632	1	
ap map201	Local	8	0	1	1	1	0	1296	1	
ap map201	Local	9	0	0	0	1	0	660	1	
ap map201	Local	10	0	0	1	0	0	624	1	
ap map201	Local	11	0	1	0	0	1	593	1	
ap map201	Local	12	0	1	0	0	1	612	1	
ap map201	Local	13	0	0	0	0	1	995	1	
ap map201	Local	14	0	0	1	0	0	1013	1	
ap map201	Local	15	0	1	0	1	1	529	1	
ap map201	Local	16	0	0	1	1	0	758	1	
ap map201	Local	17	0	0	1	0	0	678	1	
ap map201	Local	18	0	1	0	0	0	563	1	
ap map201	Local	19	0	0	0	1	1	619	1	
ap map201	Local	20	0	1	0	0	1	1346	1	
ap map201	Local	21	0	1	0	1	0	973	1	
ap map201	Local	22	0	1	1	1	1	965	1	
ap map201	Local	23	0	0	1	0	0	635	1	
ap map201	Local	24	0	0	0	1	0	507	1	
ap map201	Local	25	0	1	1	1	1	671	1	
ap map201	Local	26	0	1	0	0	0	860	1	
ap map201	Local	27	0	1	1	1	1	679	1	
ap map201	Local	28	0	0	0	1	1	692	1	
ap map201	Local	29	0	1	0	0	0	579	1	
ap map201	Local	30	0	1	1	0	1	575	1	
ap map201	Local	31	0	0	1	0	0	737	1	
ap map201	Local	32	0	1	0	0	0	543	1	
ap map201	Global	1	1	0	0	1	0	1064	1	
ap map201	Global	2	1	0	0	0	0	1266	1	
ap map201	Global	3	1	0	1	1	1	578	1	
ap map201	Global	4	1	1	1	0	1	852	1	
ap map201	Global	5	1	0	0	0	0	887	1	
ap map201	Global	6	1	1	1	0	1	1093	1	
ap map201	Global	7	1	0	0	1	0	786	1	
ap map201	Global	8	1	0	0	1	1	796	1	
ap map201	Global	9	1	0	1	1	0	1449	1	
ap map201	Global	10	1	0	0	1	1	606	1	
ap map201	Global	11	1	0	1	0	0	588	1	
ap map201	Global	12	1	0	1	1	0	639	1	
ap map201	Global	13	1	0	0	1	0	714	1	
ap map201	Global	14	1	0	1	1	1	484	1	
ap map201	Global	15	1	0	0	1	1	732	1	
ap map201	Global	16	1	1	0	0	0	560	1	
ap map201	Global	17	1	1	0	0	0	840	1	
ap map201	Global	18	1	1	1	0	0	641	1	
ap map201	Global	19	1	0	0	0	1	564	1	
ap map201	Global	20	1	0	1	1	1	780	1	
ap map201	Global	21	1	0	1	0	0	591	1	
ap map201	Global	22	1	1	1	0	1	834	1	
ap map201	Global	23	1	0	1	0	1	706	1	
ap map201	Global	24	1	0	1	1	0	554	1	
ap map201	Global	25	1	0	1	0	0	2235	1	
ap map201	Global	26	1	1	1	1	0	667	1	
ap map201	Global	27	1	0	0	0	0	680	1	
ap map201	Global	28	1	0	0	0	0	551	1	
ap map201	Global	29	1	1	0	0	0	456	1	
ap map201	Global	30	1	0	0	1	0	436	1	
ap map201	Global	31	1	0	0	1	1	616	1	
ap map201	Global	32	1	0	1	1	0	551	1	
ap map201	Local	1	1	0	1	0	1	588	1	
ap map201	Local	2	1	0	0	0	0	656	1	
ap map201	Local	3	1	0	1	0	1	780	1	
ap map201	Local	4	1	0	0	0	1	1821	1	
ap map201	Local	5	1	0	1	1	0	669	1	
ap map201	Local	6	1	0	0	0	1	514	1	
ap map201	Local	7	1	0	0	0	1	670	1	
ap map201	Local	8	1	0	1	0	0	1035	1	
ap map201	Local	9	1	1	1	0	1	570	1	
ap map201	Local	10	1	0	1	1	0	844	1	
ap map201	Local	11	1	0	0	1	0	789	1	
ap map201	Local	12	1	1	0	0	0	655	1	
ap map201	Local	13	1	1	0	0	1	363	1	
ap map201	Local	14	1	0	1	1	1	733	1	
ap map201	Local	15	1	0	1	1	0	633	1	
