Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	0	1		0	1		
0	0.94	1.00	0.97	1.00	1.00	1.00	0.98
1	0.88	0.81	0.84	0.88	0.75	0.81	0.83
Grand Total	0.91	0.91	0.91	0.94	0.88	0.91	0.91
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
0.94	0.88	1.00	0.81	1.00	0.88	1.00	0.75
411.2	414.9	394.6	439.8	432.1	480.7	385.6	431.2
							
							
							
rt	SDev	CCor	UCor				
411.2	79.02	15	15	0	0	0	
414.9	63.87	14	14	0	0	1	
394.6	51.55	15	16	0	1	0	
439.8	69.51	13	13	0	1	1	
432.1	90.93	16	16	1	0	0	
480.7	90.38	14	14	1	0	1	
385.6	54.05	16	16	1	1	0	
431.2	76.26	12	12	1	1	1	
