SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
as105	Global	1	1	0	0	0	0	661	1	
as105	Global	2	1	0	0	1	0	785	1	
as105	Global	3	1	0	1	0	0	587	1	
as105	Global	4	1	1	0	1	0	367	1	
as105	Global	5	1	1	1	0	0	466	1	
as105	Global	6	1	1	1	0	1	497	1	
as105	Global	7	1	1	1	1	0	530	1	
as105	Global	8	1	0	0	1	1	423	1	
as105	Global	9	1	1	0	0	0	441	1	
as105	Global	10	1	1	1	0	0	396	1	
as105	Global	11	1	1	0	1	0	379	1	
as105	Global	12	1	0	0	1	1	327	1	
as105	Global	13	1	1	0	1	0	494	1	
as105	Global	14	1	0	1	1	0	759	1	
as105	Global	15	1	1	0	1	1	583	1	
as105	Global	16	1	0	1	1	0	306	1	
as105	Global	17	1	1	1	0	0	447	1	
as105	Global	18	1	0	1	1	1	458	1	
as105	Global	19	1	1	1	1	1	511	1	
as105	Global	20	1	1	1	0	0	298	1	
as105	Global	21	1	1	1	0	1	413	1	
as105	Global	22	1	1	1	0	0	317	1	
as105	Global	23	1	0	1	1	1	346	1	
as105	Global	24	1	0	0	0	1	449	1	
as105	Global	25	1	1	1	1	0	317	1	
as105	Global	26	1	0	0	0	1	513	1	
as105	Global	27	1	1	0	0	0	333	1	
as105	Global	28	1	1	0	0	1	435	1	
as105	Global	29	1	1	1	1	0	452	1	
as105	Global	30	1	1	0	0	1	305	1	
as105	Global	31	1	1	0	0	0	380	1	
as105	Global	32	1	0	0	1	1	521	1	
as105	Local	1	1	1	1	0	0	925	1	
as105	Local	2	1	1	0	0	0	344	1	
as105	Local	3	1	0	0	1	1	352	1	
as105	Local	4	1	0	0	1	1	385	1	
as105	Local	5	1	0	0	0	1	358	1	
as105	Local	6	1	0	0	1	1	375	1	
as105	Local	7	1	0	0	1	0	331	1	
as105	Local	8	1	1	1	1	0	377	1	
as105	Local	9	1	1	0	0	0	356	1	
as105	Local	10	1	0	1	0	0	333	1	
as105	Local	11	1	1	1	1	1	459	1	
as105	Local	12	1	0	1	0	0	344	1	
as105	Local	13	1	1	0	0	0	280	1	
as105	Local	14	1	1	1	0	0	313	1	
as105	Local	15	1	0	0	1	1	318	1	
as105	Local	16	1	1	1	1	0	290	1	
as105	Local	17	1	0	1	0	0	308	1	
as105	Local	18	1	0	1	0	1	400	1	
as105	Local	19	1	1	1	1	0	286	1	
as105	Local	20	1	1	1	1	0	384	1	
as105	Local	21	1	0	0	0	0	284	1	
as105	Local	22	1	0	0	0	1	150	0	
as105	Local	23	1	0	1	1	1	324	1	
as105	Local	24	1	1	0	1	1	322	1	
as105	Local	25	1	0	0	1	0	352	1	
as105	Local	26	1	0	1	0	0	377	1	
as105	Local	27	1	1	1	1	0	332	1	
as105	Local	28	1	0	1	0	1	402	1	
as105	Local	29	1	0	0	0	1	393	1	
as105	Local	30	1	0	0	1	1	367	1	
as105	Local	31	1	1	0	0	0	418	1	
as105	Local	32	1	0	1	1	1	466	1	
as105	Global	1	0	0	1	0	1	481	1	
as105	Global	2	0	0	0	0	1	449	1	
as105	Global	3	0	0	0	0	0	470	1	
as105	Global	4	0	1	0	0	0	437	1	
as105	Global	5	0	0	1	1	0	408	1	
as105	Global	6	0	0	1	0	0	352	1	
as105	Global	7	0	0	1	1	0	330	1	
as105	Global	8	0	0	0	1	0	264	1	
as105	Global	9	0	0	0	0	1	367	1	
as105	Global	10	0	1	1	1	0	386	1	
as105	Global	11	0	0	1	0	1	150	0	
as105	Global	12	0	0	1	0	0	410	1	
