SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
bt	Global	1	0	1	0	1	0	944	1	
bt	Global	2	0	0	0	1	1	629	1	
bt	Global	3	0	1	1	1	0	469	1	
bt	Global	4	0	0	0	1	0	404	1	
bt	Global	5	0	0	0	1	1	450	1	
bt	Global	6	0	0	0	1	0	447	1	
bt	Global	7	0	1	1	1	1	466	1	
bt	Global	8	0	0	1	1	1	481	1	
bt	Global	9	0	0	0	1	0	489	1	
bt	Global	10	0	0	1	0	1	489	1	
bt	Global	11	0	0	0	0	1	465	1	
bt	Global	12	0	0	0	0	0	504	1	
bt	Global	13	0	1	0	1	0	458	1	
bt	Global	14	0	0	1	1	0	519	1	
bt	Global	15	0	0	0	0	0	434	1	
bt	Global	16	0	0	1	1	1	516	1	
bt	Global	17	0	1	1	0	0	575	1	
bt	Global	18	0	1	1	0	1	601	1	
bt	Global	19	0	1	0	0	1	606	1	
bt	Global	20	0	0	0	0	0	732	1	
bt	Global	21	0	0	1	0	1	552	1	
bt	Global	22	0	1	0	1	0	616	1	
bt	Global	23	0	0	1	1	1	623	1	
bt	Global	24	0	1	0	0	1	495	1	
bt	Global	25	0	0	1	1	0	777	1	
bt	Global	26	0	0	0	0	1	570	1	
bt	Global	27	0	0	1	0	0	556	1	
bt	Global	28	0	0	0	0	0	492	1	
bt	Global	29	0	0	1	0	0	485	1	
bt	Global	30	0	1	1	1	1	565	1	
bt	Global	31	0	0	1	0	0	479	1	
bt	Global	32	0	0	1	0	0	495	1	
bt	Local	1	0	0	1	1	0	943	1	
bt	Local	2	0	1	0	0	0	1052	1	
bt	Local	3	0	0	0	0	0	692	1	
bt	Local	4	0	1	0	1	1	627	1	
bt	Local	5	0	1	0	0	1	572	1	
bt	Local	6	0	0	1	0	1	758	1	
bt	Local	7	0	0	0	0	1	533	1	
bt	Local	8	0	1	1	1	1	706	1	
bt	Local	9	0	0	1	1	0	699	1	
bt	Local	10	0	0	0	0	1	675	1	
bt	Local	11	0	1	0	1	0	673	1	
bt	Local	12	0	0	1	1	1	686	1	
bt	Local	13	0	0	1	1	1	725	1	
bt	Local	14	0	0	1	0	0	529	1	
bt	Local	15	0	0	0	1	0	550	1	
bt	Local	16	0	1	1	0	1	631	1	
bt	Local	17	0	0	0	0	0	487	1	
bt	Local	18	0	0	1	0	1	591	1	
bt	Local	19	0	1	0	1	1	523	1	
bt	Local	20	0	1	0	0	0	688	1	
bt	Local	21	0	0	1	0	0	1159	1	
bt	Local	22	0	0	1	1	1	724	1	
bt	Local	23	0	1	0	1	0	464	1	
bt	Local	24	0	0	1	0	1	663	1	
bt	Local	25	0	1	0	0	0	499	1	
bt	Local	26	0	1	1	1	0	669	1	
bt	Local	27	0	1	0	1	1	538	1	
bt	Local	28	0	0	1	1	1	641	1	
bt	Local	29	0	0	0	1	1	667	1	
bt	Local	30	0	0	1	0	0	600	1	
bt	Local	31	0	1	0	1	1	566	1	
bt	Local	32	0	1	1	0	1	560	1	
bt	Global	1	1	1	1	0	0	150	0	
bt	Global	2	1	1	1	0	1	150	0	
bt	Global	3	1	1	1	1	1	737	1	
bt	Global	4	1	0	0	0	1	461	1	
bt	Global	5	1	0	1	1	0	561	1	
bt	Global	6	1	0	0	1	1	514	1	
bt	Global	7	1	0	0	1	0	549	1	
bt	Global	8	1	1	0	1	1	468	1	
bt	Global	9	1	1	1	0	1	522	1	
bt	Global	10	1	0	1	0	0	440	1	
bt	Global	11	1	0	0	0	1	715	1	
bt	Global	12	1	0	0	0	0	509	1	
bt	Global	13	1	0	0	0	1	537	1	
bt	Global	14	1	0	1	1	1	559	1	
bt	Global	15	1	1	1	0	0	440	1	
bt	Global	16	1	1	0	0	0	459	1	
bt	Global	17	1	0	0	1	0	456	1	
bt	Global	18	1	1	0	1	0	533	1	
bt	Global	19	1	0	0	1	0	466	1	
bt	Global	20	1	0	0	1	1	472	1	
bt	Global	21	1	1	0	0	1	431	1	
bt	Global	22	1	0	1	1	0	448	1	
bt	Global	23	1	0	1	1	1	596	1	
bt	Global	24	1	1	1	1	1	873	1	
bt	Global	25	1	0	1	1	0	501	1	
bt	Global	26	1	1	1	0	1	743	1	
bt	Global	27	1	0	1	0	0	525	1	
bt	Global	28	1	0	0	0	0	530	1	
bt	Global	29	1	1	0	0	1	423	1	
bt	Global	30	1	1	1	1	1	150	0	
bt	Global	31	1	1	1	0	0	465	1	
bt	Global	32	1	1	0	1	1	375	1	
bt	Local	1	1	0	1	0	0	592	1	
bt	Local	2	1	0	1	0	0	436	1	
bt	Local	3	1	1	1	0	0	559	1	
bt	Local	4	1	1	0	0	1	559	1	
bt	Local	5	1	1	0	0	1	416	1	
bt	Local	6	1	0	0	1	0	384	1	
bt	Local	7	1	1	0	1	0	1468	1	
bt	Local	8	1	0	1	1	0	852	1	
bt	Local	9	1	0	0	0	0	590	1	
bt	Local	10	1	0	0	0	0	522	1	
bt	Local	11	1	0	1	1	1	599	1	
bt	Local	12	1	1	0	0	1	500	1	
bt	Local	13	1	1	0	0	0	462	1	
bt	Local	14	1	1	1	1	1	1307	1	
bt	Local	15	1	1	1	1	0	985	1	
bt	Local	16	1	1	1	0	0	586	1	
bt	Local	17	1	1	1	1	1	150	0	
bt	Local	18	1	0	1	1	0	628	1	
bt	Local	19	1	0	1	0	1	580	1	
bt	Local	20	1	0	0	0	1	512	1	
bt	Local	21	1	0	1	1	1	427	1	
bt	Local	22	1	0	1	0	1	429	1	
bt	Local	23	1	0	1	0	0	575	1	
bt	Local	24	1	1	1	0	0	537	1	
bt	Local	25	1	1	0	1	0	150	0	
bt	Local	26	1	0	0	1	0	1217	1	
bt	Local	27	1	1	0	1	0	485	1	
bt	Local	28	1	1	0	1	1	749	1	
bt	Local	29	1	0	1	1	0	730	1	
bt	Local	30	1	0	0	1	0	550	1	
bt	Local	31	1	0	0	1	1	639	1	
bt	Local	32	1	0	0	0	1	441	1	
