SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mcd68	Global	1	1	0	1	1	1	932	1	
mcd68	Global	2	1	1	0	0	0	751	1	
mcd68	Global	3	1	0	1	0	0	748	1	
mcd68	Global	4	1	0	0	0	1	674	1	
mcd68	Global	5	1	0	1	0	0	720	1	
mcd68	Global	6	1	1	0	0	1	650	1	
mcd68	Global	7	1	1	0	1	0	676	1	
mcd68	Global	8	1	0	0	1	1	610	1	
mcd68	Global	9	1	0	1	1	0	657	1	
mcd68	Global	10	1	0	0	0	1	580	1	
mcd68	Global	11	1	1	1	1	0	664	1	
mcd68	Global	12	1	1	1	0	1	708	1	
mcd68	Global	13	1	1	1	0	0	780	1	
mcd68	Global	14	1	1	0	1	1	711	1	
mcd68	Global	15	1	0	0	0	1	681	1	
mcd68	Global	16	1	0	1	0	1	672	1	
mcd68	Global	17	1	1	1	1	0	678	1	
mcd68	Global	18	1	0	1	0	1	707	1	
mcd68	Global	19	1	0	0	0	1	684	1	
mcd68	Global	20	1	0	0	0	1	635	1	
mcd68	Global	21	1	1	0	0	1	652	1	
mcd68	Global	22	1	0	1	1	0	583	1	
mcd68	Global	23	1	0	1	0	1	747	1	
mcd68	Global	24	1	0	1	1	1	745	1	
mcd68	Global	25	1	0	1	1	0	734	1	
mcd68	Global	26	1	0	1	1	1	642	1	
mcd68	Global	27	1	1	0	1	1	717	1	
mcd68	Global	28	1	1	0	1	1	655	1	
mcd68	Global	29	1	1	0	1	1	691	1	
mcd68	Global	30	1	1	0	1	1	674	1	
mcd68	Global	31	1	0	0	1	0	727	1	
mcd68	Global	32	1	1	1	0	1	747	1	
mcd68	Local	1	1	0	0	1	1	785	1	
mcd68	Local	2	1	1	0	0	0	796	1	
mcd68	Local	3	1	0	1	1	1	760	1	
mcd68	Local	4	1	1	0	0	1	767	1	
mcd68	Local	5	1	0	0	1	0	752	1	
mcd68	Local	6	1	0	1	1	0	679	1	
mcd68	Local	7	1	0	1	1	0	630	1	
mcd68	Local	8	1	0	1	0	1	623	1	
mcd68	Local	9	1	1	1	1	1	696	1	
mcd68	Local	10	1	0	1	1	1	688	1	
mcd68	Local	11	1	1	0	0	1	703	1	
mcd68	Local	12	1	0	0	0	1	624	1	
mcd68	Local	13	1	0	1	0	1	641	1	
mcd68	Local	14	1	0	1	0	0	611	1	
mcd68	Local	15	1	1	0	0	1	914	1	
mcd68	Local	16	1	0	0	0	1	627	1	
mcd68	Local	17	1	1	0	1	1	676	1	
mcd68	Local	18	1	0	0	1	1	665	1	
mcd68	Local	19	1	0	1	0	0	590	1	
mcd68	Local	20	1	1	0	0	1	610	1	
mcd68	Local	21	1	0	0	0	0	617	1	
mcd68	Local	22	1	0	0	1	0	544	1	
mcd68	Local	23	1	0	1	0	0	599	1	
mcd68	Local	24	1	1	1	1	0	524	1	
mcd68	Local	25	1	1	1	1	0	505	1	
mcd68	Local	26	1	1	1	0	1	643	1	
mcd68	Local	27	1	1	1	1	0	637	1	
mcd68	Local	28	1	0	1	0	1	663	1	
mcd68	Local	29	1	0	0	1	1	651	1	
mcd68	Local	30	1	1	0	1	0	647	1	
mcd68	Local	31	1	1	1	0	0	545	1	
mcd68	Local	32	1	0	0	1	0	672	1	
mcd68	Global	1	0	0	1	0	1	841	1	
mcd68	Global	2	0	1	0	1	1	714	1	
mcd68	Global	3	0	0	1	0	0	829	1	
mcd68	Global	4	0	1	0	1	1	740	1	
mcd68	Global	5	0	0	0	0	1	698	1	
mcd68	Global	6	0	1	0	1	0	642	1	
mcd68	Global	7	0	1	0	0	0	589	1	
mcd68	Global	8	0	0	0	0	0	624	1	
mcd68	Global	9	0	0	0	0	0	649	1	
mcd68	Global	10	0	1	1	1	0	627	1	
mcd68	Global	11	0	1	0	1	1	603	1	
mcd68	Global	12	0	0	0	1	1	641	1	
mcd68	Global	13	0	0	0	1	0	691	1	
mcd68	Global	14	0	0	1	0	1	634	1	
mcd68	Global	15	0	1	0	0	1	667	1	
mcd68	Global	16	0	1	1	1	1	576	1	
mcd68	Global	17	0	1	0	1	1	690	1	
mcd68	Global	18	0	0	1	1	0	601	1	
mcd68	Global	19	0	0	1	0	0	630	1	
mcd68	Global	20	0	1	0	1	1	559	1	
mcd68	Global	21	0	0	1	1	1	695	1	
mcd68	Global	22	0	1	1	1	1	664	1	
mcd68	Global	23	0	0	1	0	1	628	1	
mcd68	Global	24	0	1	1	1	0	708	1	
mcd68	Global	25	0	0	1	0	1	695	1	
mcd68	Global	26	0	0	1	0	0	687	1	
mcd68	Global	27	0	1	0	0	0	622	1	
mcd68	Global	28	0	0	0	0	1	695	1	
mcd68	Global	29	0	1	0	0	0	680	1	
mcd68	Global	30	0	1	1	1	0	623	1	
mcd68	Global	31	0	0	1	1	0	663	1	
mcd68	Global	32	0	1	1	0	0	611	1	
mcd68	Local	1	0	1	0	0	1	931	1	
mcd68	Local	2	0	0	1	0	1	885	1	
mcd68	Local	3	0	0	0	0	0	827	1	
mcd68	Local	4	0	1	0	0	1	851	1	
mcd68	Local	5	0	0	1	1	1	932	1	
mcd68	Local	6	0	0	1	0	1	751	1	
mcd68	Local	7	0	1	1	0	0	885	1	
mcd68	Local	8	0	0	1	0	1	811	1	
mcd68	Local	9	0	0	0	0	1	672	1	
mcd68	Local	10	0	0	0	1	1	718	1	
mcd68	Local	11	0	1	0	1	1	744	1	
mcd68	Local	12	0	1	0	0	0	678	1	
mcd68	Local	13	0	0	0	1	0	763	1	
mcd68	Local	14	0	0	1	0	0	683	1	
mcd68	Local	15	0	0	0	1	1	754	1	
mcd68	Local	16	0	1	0	0	0	689	1	
mcd68	Local	17	0	0	0	1	1	760	1	
mcd68	Local	18	0	0	1	1	0	727	1	
mcd68	Local	19	0	1	1	0	0	787	1	
mcd68	Local	20	0	1	1	0	1	814	1	
mcd68	Local	21	0	0	1	1	1	676	1	
mcd68	Local	22	0	1	1	1	1	761	1	
mcd68	Local	23	0	1	1	1	1	680	1	
mcd68	Local	24	0	1	0	1	1	728	1	
mcd68	Local	25	0	0	0	0	1	628	1	
mcd68	Local	26	0	0	1	1	1	628	1	
mcd68	Local	27	0	1	0	1	1	781	1	
mcd68	Local	28	0	0	1	1	1	599	1	
mcd68	Local	29	0	0	1	1	0	748	1	
mcd68	Local	30	0	0	1	0	1	572	1	
mcd68	Local	31	0	1	0	0	1	590	1	
mcd68	Local	32	0	0	0	1	1	545	1	
