Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	0.94	0.94	0.94	0.94	0.94	0.94	0.94
Grand Total	0.97	0.97	0.97	0.97	0.97	0.97	0.97
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	0.94	1.00	0.94	1.00	0.94	1.00	0.94
406.1	424.7	410.3	512.7	444.7	527.7	399.7	420.9
							
							
							
							
rt	SDev	CCor	UCor				
406.1	62.8	16	16	0	0	0	
424.7	93.14	15	15	0	0	1	
410.3	71.32	16	16	0	1	0	
512.7	128.7	15	15	0	1	1	
444.7	71.56	16	16	1	0	0	
527.7	100.6	15	15	1	0	1	
399.7	73.75	16	16	1	1	0	
420.9	75.6	14	15	1	1	1	
