SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
cn31	Global	1	1	1	1	0	0	1758	1	
cn31	Global	2	1	1	0	0	0	648	1	
cn31	Global	3	1	1	0	0	1	562	1	
cn31	Global	4	1	0	0	1	0	603	1	
cn31	Global	5	1	1	0	1	1	776	1	
cn31	Global	6	1	1	0	0	1	1249	1	
cn31	Global	7	1	1	0	0	1	624	1	
cn31	Global	8	1	1	0	1	1	616	1	
cn31	Global	9	1	0	1	0	0	703	1	
cn31	Global	10	1	1	1	0	1	696	1	
cn31	Global	11	1	1	1	1	0	705	1	
cn31	Global	12	1	0	0	0	1	761	1	
cn31	Global	13	1	1	0	0	0	553	1	
cn31	Global	14	1	1	0	1	1	1185	1	
cn31	Global	15	1	1	1	1	1	705	1	
cn31	Global	16	1	1	0	1	0	650	1	
cn31	Global	17	1	1	0	1	1	596	1	
cn31	Global	18	1	0	0	1	1	554	1	
cn31	Global	19	1	1	1	0	1	602	1	
cn31	Global	20	1	1	1	0	0	663	1	
cn31	Global	21	1	0	1	1	0	475	1	
cn31	Global	22	1	0	1	1	0	505	1	
cn31	Global	23	1	1	1	1	1	795	1	
cn31	Global	24	1	1	0	0	1	607	1	
cn31	Global	25	1	1	1	1	1	709	1	
cn31	Global	26	1	0	1	1	0	727	1	
cn31	Global	27	1	0	1	1	1	795	1	
cn31	Global	28	1	1	0	0	1	631	1	
cn31	Global	29	1	1	1	0	1	728	1	
cn31	Global	30	1	1	1	0	1	644	1	
cn31	Global	31	1	1	1	0	0	662	1	
cn31	Global	32	1	0	0	1	0	658	1	
cn31	Local	1	1	1	0	0	0	1112	1	
cn31	Local	2	1	0	1	1	1	737	1	
cn31	Local	3	1	0	0	0	0	525	1	
cn31	Local	4	1	0	0	1	0	650	1	
cn31	Local	5	1	0	0	1	1	628	1	
cn31	Local	6	1	1	0	1	1	812	1	
cn31	Local	7	1	1	1	0	0	490	1	
cn31	Local	8	1	0	0	0	1	866	1	
cn31	Local	9	1	0	1	1	0	543	1	
cn31	Local	10	1	1	1	0	0	869	1	
cn31	Local	11	1	0	1	1	0	778	1	
cn31	Local	12	1	0	1	1	1	643	1	
cn31	Local	13	1	0	1	1	0	637	1	
cn31	Local	14	1	1	0	1	1	607	1	
cn31	Local	15	1	1	1	0	1	724	1	
cn31	Local	16	1	0	1	0	1	608	1	
cn31	Local	17	1	0	0	1	0	631	1	
cn31	Local	18	1	1	0	1	0	680	1	
cn31	Local	19	1	1	0	0	1	687	1	
cn31	Local	20	1	1	0	0	0	622	1	
cn31	Local	21	1	1	0	1	0	550	1	
cn31	Local	22	1	1	0	1	1	983	1	
cn31	Local	23	1	0	1	0	1	1448	1	
cn31	Local	24	1	1	0	0	0	582	1	
cn31	Local	25	1	0	1	0	1	930	1	
cn31	Local	26	1	0	1	1	0	613	1	
cn31	Local	27	1	0	0	0	1	660	1	
cn31	Local	28	1	1	1	1	1	679	1	
cn31	Local	29	1	0	0	0	1	558	1	
cn31	Local	30	1	0	1	1	1	551	1	
cn31	Local	31	1	1	1	0	1	591	1	
cn31	Local	32	1	1	1	0	0	907	1	
cn31	Global	1	0	0	1	0	0	5387	1	
cn31	Global	2	0	0	0	0	1	1538	1	
cn31	Global	3	0	1	0	1	0	785	1	
cn31	Global	4	0	1	0	1	1	580	1	
cn31	Global	5	0	0	0	0	1	711	1	
cn31	Global	6	0	0	1	1	1	690	1	
cn31	Global	7	0	1	1	0	1	617	1	
cn31	Global	8	0	1	1	1	0	760	1	
cn31	Global	9	0	0	0	1	1	607	1	
cn31	Global	10	0	1	1	1	0	692	1	
cn31	Global	11	0	0	1	0	0	779	1	
cn31	Global	12	0	0	0	1	1	1548	1	
cn31	Global	13	0	0	0	0	0	542	1	
cn31	Global	14	0	1	1	0	1	580	1	
cn31	Global	15	0	1	1	1	1	560	1	
cn31	Global	16	0	0	1	1	1	560	1	
cn31	Global	17	0	1	1	1	1	601	1	
cn31	Global	18	0	1	1	1	1	638	1	
cn31	Global	19	0	1	0	1	0	928	1	
cn31	Global	20	0	1	0	0	0	587	1	
cn31	Global	21	0	1	0	1	1	639	1	
cn31	Global	22	0	1	1	1	1	745	1	
cn31	Global	23	0	0	1	0	0	711	1	
cn31	Global	24	0	0	1	0	0	665	1	
cn31	Global	25	0	1	0	1	0	733	1	
cn31	Global	26	0	0	0	0	1	625	1	
cn31	Global	27	0	0	0	0	1	657	1	
cn31	Global	28	0	1	0	0	0	717	1	
