SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
cr94	Global	1	1	1	0	0	0	731	1	
cr94	Global	2	1	0	0	0	1	503	1	
cr94	Global	3	1	0	0	1	1	409	1	
cr94	Global	4	1	0	1	1	0	150	0	
cr94	Global	5	1	1	1	1	0	577	1	
cr94	Global	6	1	1	0	1	0	483	1	
cr94	Global	7	1	1	1	0	1	635	1	
cr94	Global	8	1	1	0	1	0	539	1	
cr94	Global	9	1	0	0	0	1	514	1	
cr94	Global	10	1	1	0	0	0	366	1	
cr94	Global	11	1	0	1	1	1	641	1	
cr94	Global	12	1	1	1	1	1	3187	1	
cr94	Global	13	1	0	0	1	1	415	1	
cr94	Global	14	1	0	0	1	1	431	1	
cr94	Global	15	1	1	1	0	1	624	1	
cr94	Global	16	1	1	1	0	1	521	1	
cr94	Global	17	1	0	1	0	1	628	1	
cr94	Global	18	1	1	1	0	1	533	1	
cr94	Global	19	1	0	0	0	1	362	1	
cr94	Global	20	1	1	0	0	1	491	1	
cr94	Global	21	1	0	0	0	1	356	1	
cr94	Global	22	1	0	0	1	0	437	1	
cr94	Global	23	1	0	1	1	0	150	0	
cr94	Global	24	1	0	1	1	0	648	1	
cr94	Global	25	1	1	1	0	0	458	1	
cr94	Global	26	1	0	0	1	0	423	1	
cr94	Global	27	1	1	0	1	1	417	1	
cr94	Global	28	1	1	1	1	1	457	1	
cr94	Global	29	1	1	0	0	0	414	1	
cr94	Global	30	1	1	1	1	0	494	1	
cr94	Global	31	1	0	1	0	1	663	1	
cr94	Global	32	1	1	1	0	1	563	1	
cr94	Local	1	1	0	1	0	0	566	1	
cr94	Local	2	1	0	1	1	1	640	1	
cr94	Local	3	1	1	0	0	1	378	1	
cr94	Local	4	1	1	0	1	1	375	1	
cr94	Local	5	1	0	1	1	0	362	1	
cr94	Local	6	1	1	0	1	0	579	1	
cr94	Local	7	1	0	1	0	0	575	1	
cr94	Local	8	1	0	1	0	0	489	1	
cr94	Local	9	1	0	0	1	1	409	1	
cr94	Local	10	1	0	0	0	0	465	1	
cr94	Local	11	1	1	0	1	1	400	1	
cr94	Local	12	1	0	0	0	1	406	1	
cr94	Local	13	1	1	1	1	1	532	1	
cr94	Local	14	1	1	1	0	1	481	1	
cr94	Local	15	1	1	0	1	1	434	1	
cr94	Local	16	1	0	0	1	0	451	1	
