SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ct29	Global	1	1	0	0	0	1	584	1	
ct29	Global	2	1	0	1	1	0	804	1	
ct29	Global	3	1	0	1	0	1	648	1	
ct29	Global	4	1	1	0	1	1	538	1	
ct29	Global	5	1	1	1	0	0	705	1	
ct29	Global	6	1	0	0	0	1	522	1	
ct29	Global	7	1	0	0	0	1	487	1	
ct29	Global	8	1	1	0	1	1	471	1	
ct29	Global	9	1	1	1	1	1	814	1	
ct29	Global	10	1	0	0	1	0	355	1	
ct29	Global	11	1	1	0	1	1	469	1	
ct29	Global	12	1	0	0	0	0	483	1	
ct29	Global	13	1	0	1	1	0	596	1	
ct29	Global	14	1	0	1	0	1	633	1	
ct29	Global	15	1	1	1	0	1	593	1	
ct29	Global	16	1	0	0	1	0	399	1	
ct29	Global	17	1	0	0	1	1	445	1	
ct29	Global	18	1	1	1	0	0	392	1	
ct29	Global	19	1	1	0	0	1	407	1	
ct29	Global	20	1	1	1	1	0	439	1	
ct29	Global	21	1	1	0	1	0	418	1	
ct29	Global	22	1	1	1	1	1	610	1	
ct29	Global	23	1	0	1	0	0	497	1	
ct29	Global	24	1	1	1	0	0	499	1	
ct29	Global	25	1	1	1	1	1	580	1	
ct29	Global	26	1	1	0	0	0	480	1	
ct29	Global	27	1	1	0	0	0	448	1	
ct29	Global	28	1	1	1	1	0	555	1	
ct29	Global	29	1	1	0	0	1	460	1	
ct29	Global	30	1	0	1	0	1	561	1	
ct29	Global	31	1	0	0	1	0	433	1	
ct29	Global	32	1	0	1	1	1	683	1	
ct29	Local	1	1	1	0	1	0	545	1	
ct29	Local	2	1	1	1	0	1	519	1	
ct29	Local	3	1	0	1	0	1	467	1	
ct29	Local	4	1	0	0	1	1	409	1	
ct29	Local	5	1	1	1	1	1	417	1	
ct29	Local	6	1	0	0	1	1	473	1	
ct29	Local	7	1	1	0	0	1	384	1	
ct29	Local	8	1	0	0	0	1	445	1	
ct29	Local	9	1	0	1	0	1	512	1	
ct29	Local	10	1	0	1	1	0	419	1	
ct29	Local	11	1	1	1	0	0	355	1	
ct29	Local	12	1	0	0	0	0	397	1	
ct29	Local	13	1	0	1	0	1	539	1	
ct29	Local	14	1	0	0	1	0	498	1	
ct29	Local	15	1	0	0	0	1	484	1	
ct29	Local	16	1	0	0	1	1	452	1	
ct29	Local	17	1	1	1	1	1	513	1	
ct29	Local	18	1	0	1	0	0	516	1	
ct29	Local	19	1	1	0	1	1	607	1	
ct29	Local	20	1	0	0	0	1	494	1	
ct29	Local	21	1	1	1	1	1	496	1	
ct29	Local	22	1	1	1	1	0	450	1	
ct29	Local	23	1	1	0	1	0	383	1	
ct29	Local	24	1	1	0	0	1	428	1	
ct29	Local	25	1	1	0	0	1	445	1	
ct29	Local	26	1	1	1	0	0	441	1	
ct29	Local	27	1	0	0	0	1	460	1	
ct29	Local	28	1	1	1	1	1	433	1	
ct29	Local	29	1	1	1	1	1	426	1	
ct29	Local	30	1	1	1	0	0	500	1	
ct29	Local	31	1	0	1	1	0	366	1	
ct29	Local	32	1	0	0	1	0	369	1	
ct29	Global	1	0	0	0	1	1	514	1	
ct29	Global	2	0	0	0	1	0	421	1	
ct29	Global	3	0	0	1	0	0	150	0	
ct29	Global	4	0	1	0	1	0	476	1	
ct29	Global	5	0	1	1	1	1	498	1	
ct29	Global	6	0	0	1	0	1	604	1	
ct29	Global	7	0	1	1	1	1	601	1	
ct29	Global	8	0	1	1	1	0	463	1	
ct29	Global	9	0	0	0	1	1	379	1	
ct29	Global	10	0	0	1	1	0	408	1	
ct29	Global	11	0	0	0	1	0	456	1	
ct29	Global	12	0	1	0	1	0	477	1	
ct29	Global	13	0	1	1	1	1	468	1	
ct29	Global	14	0	1	0	0	0	546	1	
ct29	Global	15	0	0	0	0	1	545	1	
ct29	Global	16	0	1	0	0	1	464	1	
ct29	Global	17	0	0	0	0	1	484	1	
ct29	Global	18	0	1	1	0	1	573	1	
ct29	Global	19	0	1	0	1	1	415	1	
ct29	Global	20	0	0	0	0	0	415	1	
ct29	Global	21	0	1	1	0	0	383	1	
ct29	Global	22	0	1	1	0	0	467	1	
ct29	Global	23	0	0	0	0	0	386	1	
ct29	Global	24	0	1	1	0	0	343	1	
ct29	Global	25	0	1	1	0	1	422	1	
ct29	Global	26	0	1	1	1	0	440	1	
ct29	Global	27	0	1	0	1	1	435	1	
ct29	Global	28	0	1	1	1	1	510	1	
ct29	Global	29	0	1	0	0	0	450	1	
ct29	Global	30	0	1	1	0	1	471	1	
ct29	Global	31	0	1	1	1	1	445	1	
ct29	Global	32	0	1	0	0	0	472	1	
ct29	Local	1	0	1	0	1	1	570	1	
ct29	Local	2	0	0	0	0	1	652	1	
ct29	Local	3	0	1	0	1	1	512	1	
ct29	Local	4	0	0	1	0	0	1235	1	
ct29	Local	5	0	1	0	1	0	545	1	
ct29	Local	6	0	0	0	1	1	615	1	
ct29	Local	7	0	0	0	0	1	558	1	
ct29	Local	8	0	1	1	1	1	551	1	
ct29	Local	9	0	1	1	1	0	495	1	
ct29	Local	10	0	0	1	0	0	601	1	
ct29	Local	11	0	1	0	1	1	526	1	
ct29	Local	12	0	0	1	1	0	555	1	
ct29	Local	13	0	1	1	1	1	500	1	
ct29	Local	14	0	0	0	0	1	557	1	
ct29	Local	15	0	0	0	0	0	470	1	
ct29	Local	16	0	1	0	0	0	364	1	
ct29	Local	17	0	0	1	1	0	423	1	
ct29	Local	18	0	1	1	0	0	393	1	
ct29	Local	19	0	1	1	0	0	343	1	
ct29	Local	20	0	1	1	1	1	551	1	
ct29	Local	21	0	0	0	0	1	455	1	
ct29	Local	22	0	1	1	1	0	412	1	
ct29	Local	23	0	0	1	0	0	324	1	
ct29	Local	24	0	1	0	1	1	434	1	
ct29	Local	25	0	1	1	0	1	468	1	
ct29	Local	26	0	1	1	1	1	442	1	
ct29	Local	27	0	1	1	0	1	334	1	
ct29	Local	28	0	1	0	1	1	412	1	
ct29	Local	29	0	1	1	0	0	468	1	
ct29	Local	30	0	1	0	0	0	347	1	
ct29	Local	31	0	1	0	0	0	346	1	
ct29	Local	32	0	0	0	1	0	330	1	
