SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
cw171	Global	1	1	1	1	1	0	583	1	
cw171	Global	2	1	1	1	1	1	442	1	
cw171	Global	3	1	1	1	0	1	150	0	
cw171	Global	4	1	1	0	0	1	451	1	
cw171	Global	5	1	1	1	0	1	455	1	
cw171	Global	6	1	0	0	1	0	460	1	
cw171	Global	7	1	1	1	0	1	449	1	
cw171	Global	8	1	1	0	0	1	373	1	
cw171	Global	9	1	0	1	0	1	440	1	
cw171	Global	10	1	0	0	1	0	467	1	
cw171	Global	11	1	1	1	0	1	505	1	
cw171	Global	12	1	0	0	1	0	371	1	
cw171	Global	13	1	0	1	1	1	414	1	
cw171	Global	14	1	1	0	1	1	390	1	
cw171	Global	15	1	1	1	0	0	150	0	
cw171	Global	16	1	0	1	1	0	619	1	
cw171	Global	17	1	0	0	0	1	402	1	
cw171	Global	18	1	0	0	0	0	416	1	
cw171	Global	19	1	0	1	0	0	150	0	
cw171	Global	20	1	0	0	1	1	405	1	
cw171	Global	21	1	0	1	0	0	555	1	
cw171	Global	22	1	0	0	1	1	403	1	
cw171	Global	23	1	0	0	1	0	314	1	
cw171	Global	24	1	0	0	0	0	366	1	
cw171	Global	25	1	1	1	1	0	473	1	
cw171	Global	26	1	1	0	0	1	464	1	
cw171	Global	27	1	1	0	0	1	398	1	
cw171	Global	28	1	1	1	1	1	429	1	
cw171	Global	29	1	1	1	1	0	470	1	
cw171	Global	30	1	0	1	1	0	581	1	
cw171	Global	31	1	0	0	0	1	150	0	
cw171	Global	32	1	1	0	1	0	431	1	
cw171	Local	1	1	0	1	1	0	626	1	
cw171	Local	2	1	1	0	0	0	410	1	
cw171	Local	3	1	1	0	0	0	434	1	
cw171	Local	4	1	1	0	1	0	372	1	
cw171	Local	5	1	1	0	0	0	407	1	
cw171	Local	6	1	1	1	1	1	447	1	
cw171	Local	7	1	0	0	1	1	394	1	
cw171	Local	8	1	0	1	0	1	424	1	
cw171	Local	9	1	1	1	1	0	466	1	
cw171	Local	10	1	0	1	1	1	393	1	
cw171	Local	11	1	0	0	0	1	415	1	
cw171	Local	12	1	1	0	1	0	463	1	
cw171	Local	13	1	1	0	0	1	372	1	
cw171	Local	14	1	1	1	0	1	391	1	
cw171	Local	15	1	0	0	0	0	396	1	
cw171	Local	16	1	0	0	1	1	378	1	
cw171	Local	17	1	1	1	1	1	407	1	
cw171	Local	18	1	1	0	0	1	375	1	
cw171	Local	19	1	0	1	0	0	442	1	
cw171	Local	20	1	1	0	1	0	629	1	
cw171	Local	21	1	1	1	0	0	397	1	
cw171	Local	22	1	1	1	0	0	380	1	
cw171	Local	23	1	0	0	1	1	376	1	
cw171	Local	24	1	1	0	1	0	339	1	
cw171	Local	25	1	0	0	1	1	515	1	
cw171	Local	26	1	0	1	0	0	359	1	
cw171	Local	27	1	1	1	1	1	488	1	
cw171	Local	28	1	1	0	0	1	368	1	
cw171	Local	29	1	0	1	1	1	419	1	
cw171	Local	30	1	1	1	1	1	363	1	
cw171	Local	31	1	0	1	0	0	358	1	
cw171	Local	32	1	1	1	0	1	472	1	
cw171	Global	1	0	1	0	1	0	752	1	
cw171	Global	2	0	1	0	1	0	391	1	
cw171	Global	3	0	0	0	0	0	468	1	
cw171	Global	4	0	1	1	0	1	451	1	
cw171	Global	5	0	1	1	1	0	551	1	
cw171	Global	6	0	1	1	1	0	408	1	
cw171	Global	7	0	0	1	0	0	504	1	
cw171	Global	8	0	1	0	1	1	377	1	
cw171	Global	9	0	1	0	0	1	381	1	
cw171	Global	10	0	0	0	1	0	329	1	
cw171	Global	11	0	1	1	1	1	399	1	
cw171	Global	12	0	0	1	0	1	414	1	
cw171	Global	13	0	1	1	1	0	422	1	
cw171	Global	14	0	1	1	0	1	423	1	
cw171	Global	15	0	0	1	0	0	377	1	
cw171	Global	16	0	0	0	1	0	372	1	
cw171	Global	17	0	0	0	0	0	359	1	
cw171	Global	18	0	1	1	1	1	409	1	
cw171	Global	19	0	0	0	0	1	336	1	
cw171	Global	20	0	1	1	0	1	360	1	
cw171	Global	21	0	0	1	0	0	386	1	
cw171	Global	22	0	0	0	0	0	398	1	
cw171	Global	23	0	0	0	0	1	381	1	
cw171	Global	24	0	1	0	1	0	402	1	
cw171	Global	25	0	0	0	1	1	360	1	
cw171	Global	26	0	0	0	1	1	385	1	
cw171	Global	27	0	0	0	0	0	366	1	
cw171	Global	28	0	1	1	1	0	401	1	
cw171	Global	29	0	1	0	0	1	471	1	
cw171	Global	30	0	1	1	0	0	366	1	
cw171	Global	31	0	1	1	1	0	737	1	
cw171	Global	32	0	1	1	1	0	351	1	
cw171	Local	1	0	1	1	1	1	784	1	
cw171	Local	2	0	1	0	0	0	410	1	
cw171	Local	3	0	1	0	0	1	826	1	
cw171	Local	4	0	1	1	1	1	554	1	
cw171	Local	5	0	1	0	1	1	450	1	
cw171	Local	6	0	0	1	0	0	463	1	
cw171	Local	7	0	1	1	1	1	484	1	
cw171	Local	8	0	1	1	1	1	564	1	
cw171	Local	9	0	1	0	0	1	628	1	
cw171	Local	10	0	0	0	1	1	565	1	
cw171	Local	11	0	0	0	1	0	407	1	
cw171	Local	12	0	1	1	0	0	815	1	
cw171	Local	13	0	1	0	1	0	429	1	
cw171	Local	14	0	1	1	0	0	926	1	
cw171	Local	15	0	1	0	0	1	601	1	
cw171	Local	16	0	1	0	1	0	534	1	
cw171	Local	17	0	1	0	1	0	587	1	
cw171	Local	18	0	1	1	0	1	679	1	
cw171	Local	19	0	1	1	1	1	645	1	
cw171	Local	20	0	1	1	1	0	607	1	
cw171	Local	21	0	0	1	0	1	652	1	
cw171	Local	22	0	1	0	0	1	1104	1	
cw171	Local	23	0	0	1	0	1	446	1	
cw171	Local	24	0	0	1	0	0	602	1	
cw171	Local	25	0	0	1	1	1	439	1	
cw171	Local	26	0	1	0	0	0	458	1	
cw171	Local	27	0	0	1	1	0	591	1	
cw171	Local	28	0	1	0	1	0	483	1	
cw171	Local	29	0	1	0	0	0	419	1	
cw171	Local	30	0	1	1	0	0	548	1	
cw171	Local	31	0	0	0	1	0	571	1	
cw171	Local	32	0	1	0	0	1	421	1	
