SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
efh156	Global	1	1	0	0	0	1	422	1	
efh156	Global	2	1	1	1	0	0	560	1	
efh156	Global	3	1	0	0	1	0	520	1	
efh156	Global	4	1	0	1	0	0	507	1	
efh156	Global	5	1	1	1	1	0	415	1	
efh156	Global	6	1	1	0	0	1	367	1	
efh156	Global	7	1	0	0	1	0	506	1	
efh156	Global	8	1	0	0	1	0	604	1	
efh156	Global	9	1	1	0	0	0	449	1	
efh156	Global	10	1	0	0	0	1	540	1	
efh156	Global	11	1	0	1	1	0	707	1	
efh156	Global	12	1	1	1	0	0	516	1	
efh156	Global	13	1	0	1	0	1	823	1	
efh156	Global	14	1	0	0	1	1	423	1	
efh156	Global	15	1	1	0	1	1	368	1	
efh156	Global	16	1	1	0	0	0	475	1	
efh156	Global	17	1	1	0	0	1	450	1	
efh156	Global	18	1	0	1	1	0	943	1	
efh156	Global	19	1	1	0	1	1	395	1	
efh156	Global	20	1	0	1	1	1	650	1	
efh156	Global	21	1	0	1	0	1	484	1	
efh156	Global	22	1	0	1	1	0	356	1	
efh156	Global	23	1	1	1	1	1	549	1	
efh156	Global	24	1	0	1	0	1	572	1	
efh156	Global	25	1	1	1	0	0	430	1	
efh156	Global	26	1	1	0	1	0	456	1	
efh156	Global	27	1	0	1	0	1	469	1	
efh156	Global	28	1	1	0	0	0	339	1	
efh156	Global	29	1	1	1	1	0	467	1	
efh156	Global	30	1	0	0	0	1	385	1	
efh156	Global	31	1	0	0	1	1	374	1	
efh156	Global	32	1	1	1	1	0	513	1	
efh156	Local	1	1	1	0	1	0	592	1	
efh156	Local	2	1	0	0	1	1	692	1	
efh156	Local	3	1	1	0	1	1	459	1	
efh156	Local	4	1	1	0	1	0	608	1	
efh156	Local	5	1	0	1	1	0	598	1	
efh156	Local	6	1	1	1	0	1	500	1	
efh156	Local	7	1	0	1	1	1	438	1	
efh156	Local	8	1	0	0	1	0	761	1	
efh156	Local	9	1	1	1	0	0	504	1	
efh156	Local	10	1	0	0	0	1	538	1	
efh156	Local	11	1	0	0	0	1	424	1	
efh156	Local	12	1	0	1	0	1	586	1	
efh156	Local	13	1	0	0	1	1	414	1	
efh156	Local	14	1	0	1	1	0	150	0	
efh156	Local	15	1	0	0	1	0	565	1	
efh156	Local	16	1	1	0	1	0	439	1	
efh156	Local	17	1	1	1	1	1	634	1	
efh156	Local	18	1	0	1	1	0	378	1	
efh156	Local	19	1	0	0	0	0	455	1	
efh156	Local	20	1	1	1	0	1	428	1	
efh156	Local	21	1	0	0	0	1	398	1	
efh156	Local	22	1	1	1	0	0	532	1	
efh156	Local	23	1	1	1	0	1	641	1	
efh156	Local	24	1	1	0	0	0	475	1	
efh156	Local	25	1	1	1	1	1	442	1	
efh156	Local	26	1	0	1	0	1	413	1	
efh156	Local	27	1	0	1	1	1	150	0	
efh156	Local	28	1	1	1	1	0	150	0	
efh156	Local	29	1	1	0	0	1	1119	1	
efh156	Local	30	1	1	1	0	0	559	1	
efh156	Local	31	1	0	0	0	1	615	1	
efh156	Local	32	1	1	0	0	0	350	1	
efh156	Global	1	0	0	0	0	0	150	0	
efh156	Global	2	0	1	0	1	0	762	1	
efh156	Global	3	0	1	0	0	0	433	1	
efh156	Global	4	0	0	1	0	1	515	1	
efh156	Global	5	0	0	1	1	1	430	1	
efh156	Global	6	0	1	0	0	0	344	1	
efh156	Global	7	0	1	1	0	0	150	0	
efh156	Global	8	0	0	1	1	1	492	1	
efh156	Global	9	0	0	1	1	1	613	1	
efh156	Global	10	0	0	1	0	0	763	1	
efh156	Global	11	0	0	0	1	0	467	1	
efh156	Global	12	0	1	0	0	1	409	1	
efh156	Global	13	0	0	1	0	0	601	1	
efh156	Global	14	0	1	0	1	0	366	1	
efh156	Global	15	0	0	1	0	0	770	1	
efh156	Global	16	0	0	0	1	0	410	1	
efh156	Global	17	0	0	1	1	0	522	1	
efh156	Global	18	0	1	1	1	0	375	1	
efh156	Global	19	0	0	0	0	1	467	1	
efh156	Global	20	0	0	0	0	0	401	1	
efh156	Global	21	0	0	0	1	1	519	1	
efh156	Global	22	0	1	1	1	0	627	1	
efh156	Global	23	0	1	0	1	1	523	1	
efh156	Global	24	0	0	0	0	0	416	1	
efh156	Global	25	0	1	0	0	0	384	1	
efh156	Global	26	0	0	1	0	1	445	1	
efh156	Global	27	0	1	1	0	0	352	1	
efh156	Global	28	0	1	1	0	1	434	1	
efh156	Global	29	0	1	0	1	1	539	1	
efh156	Global	30	0	1	0	1	0	314	1	
efh156	Global	31	0	0	1	1	1	471	1	
efh156	Global	32	0	1	1	1	1	589	1	
efh156	Local	1	0	1	1	0	1	150	0	
efh156	Local	2	0	1	0	0	1	835	1	
efh156	Local	3	0	1	1	1	1	1123	1	
efh156	Local	4	0	0	1	1	0	603	1	
efh156	Local	5	0	1	1	1	0	624	1	
efh156	Local	6	0	0	1	0	0	849	1	
efh156	Local	7	0	0	1	1	0	570	1	
efh156	Local	8	0	0	0	1	1	580	1	
efh156	Local	9	0	1	1	0	1	687	1	
efh156	Local	10	0	1	1	0	0	566	1	
efh156	Local	11	0	0	0	0	1	504	1	
efh156	Local	12	0	0	0	1	1	554	1	
efh156	Local	13	0	1	0	0	1	474	1	
efh156	Local	14	0	1	0	1	1	417	1	
efh156	Local	15	0	1	0	0	0	449	1	
efh156	Local	16	0	0	1	1	1	1084	1	
efh156	Local	17	0	0	0	1	1	809	1	
efh156	Local	18	0	0	1	0	0	1039	1	
efh156	Local	19	0	0	0	1	1	551	1	
efh156	Local	20	0	0	0	0	1	479	1	
efh156	Local	21	0	1	0	0	0	504	1	
efh156	Local	22	0	1	1	1	0	401	1	
efh156	Local	23	0	0	1	0	1	496	1	
efh156	Local	24	0	1	0	1	1	569	1	
efh156	Local	25	0	1	1	1	0	491	1	
efh156	Local	26	0	1	0	1	0	452	1	
efh156	Local	27	0	0	0	0	1	416	1	
efh156	Local	28	0	1	0	0	0	360	1	
efh156	Local	29	0	0	1	0	1	498	1	
efh156	Local	30	0	1	1	0	0	540	1	
efh156	Local	31	0	0	1	1	0	570	1	
efh156	Local	32	0	1	0	1	0	532	1	
