SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
egm24	Global	1	1	0	1	1	0	1764	1	
egm24	Global	2	1	0	0	1	1	638	1	
egm24	Global	3	1	0	0	0	1	504	1	
egm24	Global	4	1	0	0	0	1	594	1	
egm24	Global	5	1	0	0	1	0	575	1	
egm24	Global	6	1	1	0	1	1	673	1	
egm24	Global	7	1	1	1	1	0	775	1	
egm24	Global	8	1	0	1	0	1	664	1	
egm24	Global	9	1	0	0	1	0	611	1	
egm24	Global	10	1	1	0	0	0	778	1	
egm24	Global	11	1	0	1	1	0	651	1	
egm24	Global	12	1	1	1	0	0	623	1	
egm24	Global	13	1	0	1	1	1	640	1	
egm24	Global	14	1	0	1	1	1	690	1	
egm24	Global	15	1	0	1	0	0	785	1	
egm24	Global	16	1	0	0	1	1	595	1	
egm24	Global	17	1	0	0	1	1	561	1	
egm24	Global	18	1	0	1	0	1	593	1	
egm24	Global	19	1	1	0	0	0	573	1	
egm24	Global	20	1	0	0	0	1	631	1	
egm24	Global	21	1	1	1	0	0	639	1	
egm24	Global	22	1	1	1	1	1	641	1	
egm24	Global	23	1	0	0	1	0	643	1	
egm24	Global	24	1	0	1	0	1	478	1	
egm24	Global	25	1	1	1	0	1	756	1	
egm24	Global	26	1	0	0	0	0	515	1	
egm24	Global	27	1	0	0	1	1	583	1	
egm24	Global	28	1	0	0	0	0	499	1	
egm24	Global	29	1	0	1	1	1	508	1	
egm24	Global	30	1	1	0	0	0	592	1	
egm24	Global	31	1	0	1	1	0	691	1	
egm24	Global	32	1	1	1	0	1	634	1	
egm24	Local	1	1	1	1	0	1	786	1	
egm24	Local	2	1	0	0	1	0	756	1	
egm24	Local	3	1	0	0	1	0	612	1	
egm24	Local	4	1	0	1	0	1	635	1	
egm24	Local	5	1	0	0	0	0	611	1	
egm24	Local	6	1	0	0	0	1	562	1	
egm24	Local	7	1	0	0	1	0	426	1	
egm24	Local	8	1	0	0	1	1	572	1	
egm24	Local	9	1	1	0	0	1	526	1	
egm24	Local	10	1	0	0	0	1	459	1	
egm24	Local	11	1	0	1	1	0	752	1	
egm24	Local	12	1	0	1	0	0	743	1	
egm24	Local	13	1	0	0	0	0	493	1	
egm24	Local	14	1	0	1	1	1	631	1	
egm24	Local	15	1	1	1	1	0	791	1	
egm24	Local	16	1	0	1	0	0	706	1	
egm24	Local	17	1	1	1	1	0	634	1	
egm24	Local	18	1	0	1	0	1	731	1	
egm24	Local	19	1	1	0	1	0	631	1	
egm24	Local	20	1	0	0	1	0	488	1	
egm24	Local	21	1	0	0	1	1	608	1	
egm24	Local	22	1	1	1	0	1	615	1	
egm24	Local	23	1	0	0	1	1	597	1	
egm24	Local	24	1	1	1	1	0	627	1	
egm24	Local	25	1	0	0	0	1	595	1	
egm24	Local	26	1	0	1	0	1	593	1	
egm24	Local	27	1	1	1	1	0	532	1	
egm24	Local	28	1	1	0	0	1	641	1	
egm24	Local	29	1	1	1	1	0	579	1	
egm24	Local	30	1	1	1	1	1	623	1	
egm24	Local	31	1	1	0	0	0	632	1	
egm24	Local	32	1	0	1	0	1	576	1	
egm24	Global	1	0	0	1	0	1	1767	1	
egm24	Global	2	0	1	1	0	0	577	1	
egm24	Global	3	0	1	1	1	1	587	1	
egm24	Global	4	0	1	1	1	0	471	1	
egm24	Global	5	0	1	0	1	1	573	1	
egm24	Global	6	0	0	0	1	1	567	1	
egm24	Global	7	0	0	1	1	0	561	1	
egm24	Global	8	0	0	1	0	0	554	1	
egm24	Global	9	0	0	0	1	1	474	1	
egm24	Global	10	0	1	1	0	0	496	1	
egm24	Global	11	0	1	0	0	0	474	1	
egm24	Global	12	0	1	0	1	1	465	1	
egm24	Global	13	0	0	1	1	1	655	1	
egm24	Global	14	0	1	0	0	1	571	1	
egm24	Global	15	0	0	0	0	0	469	1	
egm24	Global	16	0	0	1	1	0	548	1	
egm24	Global	17	0	1	1	0	0	522	1	
egm24	Global	18	0	0	0	1	1	559	1	
