SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
emw117	Global	1	1	0	1	1	1	700	1	
emw117	Global	2	1	0	0	0	1	429	1	
emw117	Global	3	1	0	0	1	1	494	1	
emw117	Global	4	1	0	1	0	0	150	0	
emw117	Global	5	1	1	0	1	1	678	1	
emw117	Global	6	1	0	1	1	0	619	1	
emw117	Global	7	1	1	1	0	1	730	1	
emw117	Global	8	1	0	1	0	1	606	1	
emw117	Global	9	1	0	0	0	0	619	1	
emw117	Global	10	1	1	1	1	0	522	1	
emw117	Global	11	1	1	0	0	1	527	1	
emw117	Global	12	1	1	1	1	0	612	1	
emw117	Global	13	1	1	1	1	1	563	1	
emw117	Global	14	1	0	1	0	1	556	1	
emw117	Global	15	1	1	1	0	0	572	1	
emw117	Global	16	1	0	0	1	0	534	1	
emw117	Global	17	1	0	0	0	0	507	1	
emw117	Global	18	1	0	0	1	1	621	1	
emw117	Global	19	1	0	0	1	1	548	1	
emw117	Global	20	1	0	1	1	0	594	1	
emw117	Global	21	1	1	0	0	1	576	1	
emw117	Global	22	1	0	1	1	1	578	1	
emw117	Global	23	1	0	0	0	0	564	1	
emw117	Global	24	1	1	1	0	1	636	1	
emw117	Global	25	1	0	0	1	0	428	1	
emw117	Global	26	1	0	1	1	0	678	1	
emw117	Global	27	1	1	0	0	1	523	1	
emw117	Global	28	1	0	1	0	0	489	1	
emw117	Global	29	1	0	0	0	1	553	1	
emw117	Global	30	1	0	0	1	1	465	1	
emw117	Global	31	1	0	1	0	0	544	1	
emw117	Global	32	1	1	0	1	0	430	1	
emw117	Local	1	1	1	0	0	0	522	1	
emw117	Local	2	1	1	1	1	1	559	1	
emw117	Local	3	1	1	0	1	1	591	1	
emw117	Local	4	1	1	0	0	0	523	1	
emw117	Local	5	1	1	1	0	0	600	1	
emw117	Local	6	1	1	0	0	0	397	1	
emw117	Local	7	1	1	1	1	0	532	1	
emw117	Local	8	1	0	0	0	1	545	1	
emw117	Local	9	1	0	0	1	1	431	1	
emw117	Local	10	1	0	0	0	0	473	1	
emw117	Local	11	1	1	0	1	1	504	1	
emw117	Local	12	1	0	1	1	0	409	1	
emw117	Local	13	1	0	0	1	1	505	1	
emw117	Local	14	1	0	1	0	1	563	1	
emw117	Local	15	1	0	1	1	0	491	1	
emw117	Local	16	1	1	1	1	1	452	1	
emw117	Local	17	1	1	0	1	1	401	1	
emw117	Local	18	1	0	0	1	0	471	1	
emw117	Local	19	1	1	0	1	0	509	1	
emw117	Local	20	1	1	1	1	1	393	1	
emw117	Local	21	1	1	0	1	1	383	1	
emw117	Local	22	1	0	1	1	0	420	1	
emw117	Local	23	1	1	1	0	0	372	1	
emw117	Local	24	1	0	1	1	0	399	1	
emw117	Local	25	1	1	1	0	1	397	1	
emw117	Local	26	1	0	1	0	0	332	1	
emw117	Local	27	1	0	0	0	0	482	1	
emw117	Local	28	1	0	1	0	0	386	1	
emw117	Local	29	1	0	1	0	0	359	1	
emw117	Local	30	1	1	0	0	1	400	1	
emw117	Local	31	1	1	1	0	0	382	1	
emw117	Local	32	1	1	0	0	1	363	1	
emw117	Global	1	0	0	0	1	0	486	1	
emw117	Global	2	0	0	1	0	0	350	1	
emw117	Global	3	0	0	1	0	1	560	1	
emw117	Global	4	0	1	0	0	0	352	1	
emw117	Global	5	0	0	1	1	0	489	1	
emw117	Global	6	0	1	0	0	1	409	1	
emw117	Global	7	0	0	0	1	1	150	0	
emw117	Global	8	0	1	0	1	1	430	1	
emw117	Global	9	0	1	1	1	1	496	1	
emw117	Global	10	0	0	1	0	1	490	1	
emw117	Global	11	0	1	1	1	0	434	1	
emw117	Global	12	0	1	0	1	1	435	1	
emw117	Global	13	0	0	0	0	0	455	1	
emw117	Global	14	0	1	0	0	1	419	1	
emw117	Global	15	0	0	1	0	1	467	1	
emw117	Global	16	0	1	1	0	1	338	1	
emw117	Global	17	0	1	1	1	1	378	1	
emw117	Global	18	0	0	0	1	1	414	1	
