SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
er127	Global	1	1	0	1	1	0	1330	1	
er127	Global	2	1	1	0	1	0	635	1	
er127	Global	3	1	0	0	1	1	611	1	
er127	Global	4	1	0	0	1	1	1002	1	
er127	Global	5	1	0	1	1	0	805	1	
er127	Global	6	1	0	0	1	0	681	1	
er127	Global	7	1	1	1	1	1	664	1	
er127	Global	8	1	0	1	0	0	820	1	
er127	Global	9	1	1	0	1	1	698	1	
er127	Global	10	1	0	1	0	1	875	1	
er127	Global	11	1	1	1	0	0	647	1	
er127	Global	12	1	1	0	0	1	721	1	
er127	Global	13	1	0	1	1	0	1044	1	
er127	Global	14	1	1	0	0	0	916	1	
er127	Global	15	1	1	1	1	1	749	1	
er127	Global	16	1	1	0	0	1	539	1	
er127	Global	17	1	1	0	0	1	857	1	
er127	Global	18	1	1	1	0	1	612	1	
er127	Global	19	1	1	1	0	1	635	1	
er127	Global	20	1	0	0	0	1	667	1	
er127	Global	21	1	1	0	0	0	729	1	
er127	Global	22	1	1	1	1	1	741	1	
er127	Global	23	1	0	1	1	0	634	1	
er127	Global	24	1	0	1	0	0	611	1	
er127	Global	25	1	0	1	1	1	1418	1	
er127	Global	26	1	0	0	0	0	668	1	
er127	Global	27	1	1	0	1	1	746	1	
er127	Global	28	1	0	0	1	1	568	1	
er127	Global	29	1	1	0	1	0	426	1	
er127	Global	30	1	1	1	0	0	619	1	
er127	Global	31	1	0	1	0	0	578	1	
er127	Global	32	1	0	0	0	0	500	1	
er127	Local	1	1	0	1	1	0	703	1	
er127	Local	2	1	0	0	1	0	839	1	
er127	Local	3	1	1	0	0	1	568	1	
er127	Local	4	1	1	0	1	0	570	1	
er127	Local	5	1	1	0	0	0	548	1	
er127	Local	6	1	1	0	1	1	899	1	
er127	Local	7	1	1	0	0	1	619	1	
er127	Local	8	1	0	0	1	0	602	1	
er127	Local	9	1	1	0	0	0	639	1	
er127	Local	10	1	1	1	0	0	593	1	
er127	Local	11	1	0	1	0	0	613	1	
er127	Local	12	1	0	0	1	0	540	1	
er127	Local	13	1	1	1	0	0	578	1	
er127	Local	14	1	1	1	1	0	444	1	
er127	Local	15	1	1	0	1	0	536	1	
er127	Local	16	1	0	1	1	0	613	1	
er127	Local	17	1	0	1	1	1	596	1	
er127	Local	18	1	1	1	1	1	521	1	
er127	Local	19	1	0	1	1	1	460	1	
er127	Local	20	1	0	0	0	1	529	1	
er127	Local	21	1	0	0	0	0	550	1	
er127	Local	22	1	1	1	0	1	150	0	
er127	Local	23	1	1	1	0	0	604	1	
er127	Local	24	1	0	0	0	1	633	1	
er127	Local	25	1	0	1	0	0	586	1	
er127	Local	26	1	1	1	0	0	533	1	
er127	Local	27	1	0	0	0	0	554	1	
er127	Local	28	1	0	1	0	1	531	1	
er127	Local	29	1	0	1	1	1	656	1	
er127	Local	30	1	0	1	1	0	644	1	
er127	Local	31	1	1	0	1	1	670	1	
er127	Local	32	1	0	0	1	0	563	1	
er127	Global	1	0	1	0	0	1	1604	1	
er127	Global	2	0	1	1	1	1	676	1	
er127	Global	3	0	1	1	0	1	729	1	
er127	Global	4	0	1	1	1	1	549	1	
er127	Global	5	0	0	1	1	1	692	1	
er127	Global	6	0	1	0	0	1	619	1	
er127	Global	7	0	1	0	1	0	546	1	
er127	Global	8	0	1	0	0	1	649	1	
er127	Global	9	0	0	0	1	1	739	1	
er127	Global	10	0	1	1	1	0	921	1	
er127	Global	11	0	1	0	1	1	786	1	
er127	Global	12	0	0	1	1	1	612	1	
er127	Global	13	0	0	0	0	1	467	1	
er127	Global	14	0	0	1	1	1	474	1	
er127	Global	15	0	0	1	0	1	424	1	
er127	Global	16	0	1	0	1	1	474	1	
er127	Global	17	0	1	1	0	1	633	1	
er127	Global	18	0	1	1	0	1	521	1	
er127	Global	19	0	1	1	0	1	621	1	
er127	Global	20	0	1	1	0	1	523	1	
er127	Global	21	0	1	0	1	1	440	1	
er127	Global	22	0	1	1	0	0	572	1	
er127	Global	23	0	1	1	1	1	814	1	
er127	Global	24	0	1	0	1	0	852	1	
er127	Global	25	0	0	0	0	1	581	1	
er127	Global	26	0	1	1	0	0	504	1	
er127	Global	27	0	0	0	0	0	634	1	
er127	Global	28	0	1	0	0	0	555	1	
er127	Global	29	0	0	1	1	0	150	0	
er127	Global	30	0	0	0	0	0	691	1	
er127	Global	31	0	0	0	1	1	698	1	
er127	Global	32	0	1	0	1	0	971	1	
er127	Local	1	0	1	1	1	0	833	1	
er127	Local	2	0	1	0	0	1	1041	1	
er127	Local	3	0	0	0	1	0	705	1	
er127	Local	4	0	1	0	1	1	1513	1	
er127	Local	5	0	1	1	1	1	1519	1	
er127	Local	6	0	1	1	0	0	773	1	
er127	Local	7	0	0	1	0	0	942	1	
er127	Local	8	0	0	1	1	0	827	1	
er127	Local	9	0	0	1	0	0	546	1	
er127	Local	10	0	0	0	0	1	1241	1	
er127	Local	11	0	0	0	0	0	744	1	
er127	Local	12	0	1	0	0	0	1446	1	
er127	Local	13	0	1	0	1	1	788	1	
er127	Local	14	0	1	1	1	0	790	1	
er127	Local	15	0	1	1	1	0	150	0	
er127	Local	16	0	0	1	0	0	651	1	
er127	Local	17	0	1	0	1	0	823	1	
er127	Local	18	0	0	0	1	0	700	1	
er127	Local	19	0	1	0	0	1	741	1	
er127	Local	20	0	1	0	0	1	1067	1	
er127	Local	21	0	0	1	0	0	748	1	
er127	Local	22	0	0	1	0	0	826	1	
er127	Local	23	0	0	1	1	0	746	1	
er127	Local	24	0	1	0	1	0	503	1	
er127	Local	25	0	1	0	1	1	769	1	
er127	Local	26	0	0	1	0	1	946	1	
er127	Local	27	0	1	0	0	1	750	1	
er127	Local	28	0	1	0	1	0	508	1	
er127	Local	29	0	0	0	0	0	760	1	
er127	Local	30	0	0	1	0	0	648	1	
er127	Local	31	0	1	1	1	1	1035	1	
er127	Local	32	0	0	1	1	1	1097	1	
