SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
fc168	Global	1	0	1	1	0	0	1064	1	
fc168	Global	2	0	0	0	1	0	394	1	
fc168	Global	3	0	1	0	1	0	320	1	
fc168	Global	4	0	1	1	1	0	324	1	
fc168	Global	5	0	0	0	0	0	411	1	
fc168	Global	6	0	1	0	0	0	322	1	
fc168	Global	7	0	0	1	1	0	457	1	
fc168	Global	8	0	0	1	0	1	606	1	
fc168	Global	9	0	1	0	1	1	395	1	
fc168	Global	10	0	0	0	0	1	369	1	
fc168	Global	11	0	0	1	0	0	340	1	
fc168	Global	12	0	0	1	1	1	476	1	
fc168	Global	13	0	0	0	0	1	522	1	
fc168	Global	14	0	0	0	0	1	296	1	
fc168	Global	15	0	1	0	1	0	410	1	
fc168	Global	16	0	0	1	1	0	150	0	
fc168	Global	17	0	1	1	1	0	514	1	
fc168	Global	18	0	0	0	0	0	406	1	
fc168	Global	19	0	1	1	0	1	460	1	
fc168	Global	20	0	0	1	1	1	497	1	
fc168	Global	21	0	0	0	0	0	339	1	
fc168	Global	22	0	0	1	0	0	475	1	
fc168	Global	23	0	1	0	1	0	345	1	
fc168	Global	24	0	1	1	1	1	513	1	
fc168	Global	25	0	0	0	1	1	420	1	
fc168	Global	26	0	0	0	1	0	396	1	
fc168	Global	27	0	0	1	0	0	467	1	
fc168	Global	28	0	1	1	0	1	609	1	
fc168	Global	29	0	1	1	1	0	376	1	
fc168	Global	30	0	0	1	0	0	363	1	
fc168	Global	31	0	1	0	1	0	341	1	
fc168	Global	32	0	1	0	0	0	324	1	
fc168	Local	1	0	0	1	0	0	951	1	
fc168	Local	2	0	0	0	0	0	523	1	
fc168	Local	3	0	1	0	0	0	600	1	
fc168	Local	4	0	0	0	0	0	398	1	
fc168	Local	5	0	0	1	0	1	572	1	
fc168	Local	6	0	1	1	1	1	542	1	
fc168	Local	7	0	1	0	1	1	421	1	
fc168	Local	8	0	1	0	0	1	382	1	
fc168	Local	9	0	0	0	0	0	363	1	
fc168	Local	10	0	0	1	0	0	621	1	
fc168	Local	11	0	0	1	0	1	150	0	
fc168	Local	12	0	0	0	1	1	813	1	
fc168	Local	13	0	1	0	1	1	539	1	
fc168	Local	14	0	1	0	1	0	394	1	
fc168	Local	15	0	0	1	1	1	584	1	
fc168	Local	16	0	1	1	1	1	492	1	
fc168	Local	17	0	1	0	1	0	756	1	
fc168	Local	18	0	1	1	0	0	795	1	
fc168	Local	19	0	1	1	0	1	783	1	
fc168	Local	20	0	0	0	1	1	570	1	
fc168	Local	21	0	0	0	1	0	628	1	
fc168	Local	22	0	0	1	1	0	636	1	
fc168	Local	23	0	0	1	1	0	669	1	
fc168	Local	24	0	1	1	1	0	530	1	
fc168	Local	25	0	1	1	0	0	511	1	
fc168	Local	26	0	1	1	0	0	395	1	
fc168	Local	27	0	1	0	0	1	545	1	
fc168	Local	28	0	1	0	0	1	400	1	
fc168	Local	29	0	1	1	1	0	734	1	
fc168	Local	30	0	1	0	0	1	634	1	
fc168	Local	31	0	1	1	1	0	843	1	
fc168	Local	32	0	0	0	1	1	548	1	
fc168	Global	1	1	1	0	1	1	945	1	
fc168	Global	2	1	0	0	1	1	382	1	
fc168	Global	3	1	1	1	1	1	554	1	
fc168	Global	4	1	1	1	0	1	555	1	
fc168	Global	5	1	0	1	0	0	491	1	
fc168	Global	6	1	1	1	0	0	523	1	
fc168	Global	7	1	1	0	1	1	368	1	
fc168	Global	8	1	1	1	1	0	523	1	
fc168	Global	9	1	1	1	1	0	440	1	
fc168	Global	10	1	0	1	0	0	150	0	
fc168	Global	11	1	0	0	0	0	435	1	
fc168	Global	12	1	0	0	0	1	423	1	
fc168	Global	13	1	0	0	1	0	488	1	
fc168	Global	14	1	1	0	0	1	440	1	
fc168	Global	15	1	0	0	0	0	444	1	
fc168	Global	16	1	1	1	1	1	527	1	
fc168	Global	17	1	0	0	1	0	388	1	
fc168	Global	18	1	0	0	0	0	150	0	
fc168	Global	19	1	0	1	0	0	508	1	
fc168	Global	20	1	0	1	0	1	520	1	
fc168	Global	21	1	0	1	1	1	547	1	
fc168	Global	22	1	0	0	0	0	426	1	
fc168	Global	23	1	0	1	0	1	668	1	
fc168	Global	24	1	0	0	0	0	457	1	
fc168	Global	25	1	0	0	1	1	542	1	
fc168	Global	26	1	1	0	0	1	445	1	
fc168	Global	27	1	1	1	1	1	688	1	
fc168	Global	28	1	1	1	1	0	463	1	
fc168	Global	29	1	0	0	1	0	460	1	
fc168	Global	30	1	1	0	1	1	553	1	
fc168	Global	31	1	0	1	1	1	713	1	
fc168	Global	32	1	0	1	0	0	483	1	
fc168	Local	1	1	0	1	0	0	810	1	
fc168	Local	2	1	0	0	0	0	736	1	
fc168	Local	3	1	0	0	0	1	484	1	
fc168	Local	4	1	1	1	0	1	628	1	
fc168	Local	5	1	0	1	0	0	557	1	
fc168	Local	6	1	1	0	1	1	573	1	
fc168	Local	7	1	1	1	0	1	511	1	
fc168	Local	8	1	1	1	1	0	490	1	
fc168	Local	9	1	1	0	1	0	442	1	
fc168	Local	10	1	1	0	1	0	342	1	
fc168	Local	11	1	0	1	0	1	494	1	
fc168	Local	12	1	0	0	1	0	431	1	
fc168	Local	13	1	0	1	1	1	697	1	
fc168	Local	14	1	1	1	1	1	458	1	
fc168	Local	15	1	1	0	0	0	663	1	
fc168	Local	16	1	1	0	1	1	482	1	
fc168	Local	17	1	0	0	0	0	507	1	
fc168	Local	18	1	0	1	1	1	612	1	
fc168	Local	19	1	1	0	1	1	475	1	
fc168	Local	20	1	0	0	0	0	466	1	
fc168	Local	21	1	0	1	1	1	496	1	
