SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
fdb103	Global	1	1	0	1	0	1	1530	1	
fdb103	Global	2	1	0	0	0	1	777	1	
fdb103	Global	3	1	1	1	1	0	930	1	
fdb103	Global	4	1	0	1	1	0	805	1	
fdb103	Global	5	1	0	1	0	1	889	1	
fdb103	Global	6	1	1	1	0	1	935	1	
fdb103	Global	7	1	1	0	0	0	794	1	
fdb103	Global	8	1	0	1	0	1	790	1	
fdb103	Global	9	1	0	1	1	1	825	1	
fdb103	Global	10	1	1	0	1	0	640	1	
fdb103	Global	11	1	1	0	1	1	787	1	
fdb103	Global	12	1	1	0	1	0	845	1	
fdb103	Global	13	1	1	1	1	1	854	1	
fdb103	Global	14	1	0	0	0	1	801	1	
fdb103	Global	15	1	1	0	0	1	693	1	
fdb103	Global	16	1	0	0	1	1	692	1	
fdb103	Global	17	1	1	1	1	1	651	1	
fdb103	Global	18	1	0	0	1	0	679	1	
fdb103	Global	19	1	1	1	1	0	813	1	
fdb103	Global	20	1	0	1	1	1	802	1	
fdb103	Global	21	1	0	1	0	1	695	1	
fdb103	Global	22	1	1	1	0	0	847	1	
fdb103	Global	23	1	0	0	0	0	672	1	
fdb103	Global	24	1	1	0	0	1	646	1	
fdb103	Global	25	1	0	0	0	0	800	1	
fdb103	Global	26	1	1	1	1	1	820	1	
fdb103	Global	27	1	1	0	0	1	706	1	
fdb103	Global	28	1	0	0	1	0	763	1	
fdb103	Global	29	1	1	1	0	0	770	1	
fdb103	Global	30	1	1	0	1	0	811	1	
fdb103	Global	31	1	0	0	1	0	745	1	
fdb103	Global	32	1	1	1	0	0	686	1	
fdb103	Local	1	1	0	0	0	0	1012	1	
fdb103	Local	2	1	0	1	1	1	865	1	
fdb103	Local	3	1	1	0	0	1	571	1	
fdb103	Local	4	1	1	0	1	0	885	1	
fdb103	Local	5	1	1	1	1	1	867	1	
fdb103	Local	6	1	0	0	1	0	880	1	
fdb103	Local	7	1	1	0	1	0	708	1	
fdb103	Local	8	1	1	1	1	1	831	1	
fdb103	Local	9	1	0	1	1	1	702	1	
fdb103	Local	10	1	0	1	0	1	751	1	
fdb103	Local	11	1	1	0	1	1	604	1	
fdb103	Local	12	1	1	0	0	1	554	1	
fdb103	Local	13	1	1	1	0	0	498	1	
fdb103	Local	14	1	1	0	0	0	628	1	
fdb103	Local	15	1	0	0	0	1	812	1	
fdb103	Local	16	1	0	1	0	1	722	1	
fdb103	Local	17	1	1	0	1	1	540	1	
fdb103	Local	18	1	0	0	1	1	483	1	
fdb103	Local	19	1	0	1	0	0	675	1	
fdb103	Local	20	1	1	0	0	1	665	1	
fdb103	Local	21	1	1	0	0	0	653	1	
fdb103	Local	22	1	1	1	1	0	1024	1	
fdb103	Local	23	1	1	1	1	0	615	1	
fdb103	Local	24	1	0	0	1	1	846	1	
fdb103	Local	25	1	1	1	0	0	703	1	
fdb103	Local	26	1	0	0	0	0	768	1	
fdb103	Local	27	1	1	1	0	0	808	1	
fdb103	Local	28	1	1	1	1	0	589	1	
fdb103	Local	29	1	1	0	1	1	648	1	
fdb103	Local	30	1	1	1	0	0	1042	1	
fdb103	Local	31	1	1	1	1	0	874	1	
fdb103	Local	32	1	0	1	0	0	695	1	
fdb103	Global	1	0	0	1	1	1	875	1	
fdb103	Global	2	0	0	1	1	0	799	1	
fdb103	Global	3	0	0	1	1	1	715	1	
fdb103	Global	4	0	1	1	1	1	693	1	
fdb103	Global	5	0	0	1	0	1	534	1	
fdb103	Global	6	0	1	0	0	1	627	1	
fdb103	Global	7	0	1	0	1	1	572	1	
fdb103	Global	8	0	1	0	0	1	678	1	
fdb103	Global	9	0	1	0	0	1	723	1	
fdb103	Global	10	0	1	1	1	1	415	1	
fdb103	Global	11	0	0	1	1	0	599	1	
fdb103	Global	12	0	1	0	1	0	444	1	
fdb103	Global	13	0	0	0	1	1	416	1	
fdb103	Global	14	0	0	0	0	0	464	1	
fdb103	Global	15	0	1	0	0	1	541	1	
fdb103	Global	16	0	1	1	0	0	635	1	
fdb103	Global	17	0	1	1	0	0	572	1	
fdb103	Global	18	0	0	0	0	1	518	1	
fdb103	Global	19	0	1	0	1	0	593	1	
fdb103	Global	20	0	1	1	1	1	543	1	
fdb103	Global	21	0	1	1	0	0	581	1	
fdb103	Global	22	0	0	0	0	1	585	1	
fdb103	Global	23	0	0	1	1	0	653	1	
fdb103	Global	24	0	0	0	1	1	536	1	
fdb103	Global	25	0	1	0	1	0	559	1	
fdb103	Global	26	0	0	0	0	0	703	1	
fdb103	Global	27	0	0	1	0	1	560	1	
fdb103	Global	28	0	1	1	0	0	624	1	
fdb103	Global	29	0	0	1	0	0	601	1	
fdb103	Global	30	0	1	1	0	0	742	1	
fdb103	Global	31	0	1	0	1	0	444	1	
