Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	0.94	0.88	0.91	1.00	1.00	1.00	0.95
incong	1.00	0.56	0.78	1.00	0.88	0.94	0.86
Grand Total	0.97	0.72	0.84	1.00	0.94	0.97	0.91
							
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
0.94	1.00	0.88	0.56	1.00	1.00	1.00	0.88
520.5	510.9	863.4	996.1	593.6	615	721.8	863.5
							
							
							
rt	SDev	CCor	UCor				
520.5	93.13	13	15	0	0	0	
510.9	93.32	15	16	0	0	1	
863.4	476.2	14	14	0	1	0	
996.1	488.5	9	9	0	1	1	
593.6	123.2	16	16	1	0	0	
615	53.55	15	16	1	0	1	
721.8	292.4	16	16	1	1	0	
863.5	538.3	14	14	1	1	1	
