SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
fia209	Global	1	0	0	0	0	0	1594	1	
fia209	Global	2	0	1	1	1	0	1697	1	
fia209	Global	3	0	0	0	0	0	666	1	
fia209	Global	4	0	1	1	0	0	432	1	
fia209	Global	5	0	0	0	0	0	417	1	
fia209	Global	6	0	1	1	1	1	505	1	
fia209	Global	7	0	0	0	1	0	651	1	
fia209	Global	8	0	1	1	0	0	607	1	
fia209	Global	9	0	1	0	1	1	580	1	
fia209	Global	10	0	1	0	1	0	624	1	
fia209	Global	11	0	1	1	0	0	608	1	
fia209	Global	12	0	1	1	0	0	487	1	
fia209	Global	13	0	0	1	1	1	751	1	
fia209	Global	14	0	0	0	1	1	150	0	
fia209	Global	15	0	0	0	1	0	975	1	
fia209	Global	16	0	1	1	0	0	559	1	
fia209	Global	17	0	0	1	1	0	471	1	
fia209	Global	18	0	0	1	0	0	470	1	
fia209	Global	19	0	0	1	0	1	500	1	
fia209	Global	20	0	1	0	0	0	422	1	
fia209	Global	21	0	1	1	0	1	528	1	
fia209	Global	22	0	1	0	0	1	573	1	
fia209	Global	23	0	1	0	1	1	487	1	
fia209	Global	24	0	0	1	1	1	471	1	
fia209	Global	25	0	0	1	1	1	405	1	
fia209	Global	26	0	1	0	1	1	468	1	
fia209	Global	27	0	0	1	1	1	370	1	
fia209	Global	28	0	0	0	1	0	469	1	
fia209	Global	29	0	0	0	0	0	396	1	
fia209	Global	30	0	1	0	0	0	562	1	
fia209	Global	31	0	1	1	1	1	499	1	
fia209	Global	32	0	0	0	0	1	452	1	
fia209	Local	1	0	1	0	1	0	906	1	
fia209	Local	2	0	1	1	1	1	594	1	
fia209	Local	3	0	0	1	1	1	735	1	
fia209	Local	4	0	0	0	1	1	651	1	
fia209	Local	5	0	0	1	0	1	639	1	
fia209	Local	6	0	0	1	1	1	681	1	
fia209	Local	7	0	1	1	0	1	584	1	
fia209	Local	8	0	1	0	1	1	500	1	
fia209	Local	9	0	0	0	0	1	502	1	
fia209	Local	10	0	0	1	0	0	631	1	
fia209	Local	11	0	1	0	0	0	624	1	
fia209	Local	12	0	1	0	0	1	552	1	
fia209	Local	13	0	1	0	1	0	489	1	
fia209	Local	14	0	1	0	0	1	537	1	
fia209	Local	15	0	1	1	1	0	632	1	
fia209	Local	16	0	1	1	1	0	616	1	
fia209	Local	17	0	1	0	0	0	583	1	
fia209	Local	18	0	1	1	0	1	587	1	
fia209	Local	19	0	1	0	0	0	614	1	
fia209	Local	20	0	0	1	1	1	581	1	
fia209	Local	21	0	1	1	0	1	673	1	
fia209	Local	22	0	1	1	0	0	542	1	
fia209	Local	23	0	1	0	1	0	589	1	
fia209	Local	24	0	1	0	1	1	689	1	
fia209	Local	25	0	0	0	0	1	800	1	
fia209	Local	26	0	1	1	1	1	1092	1	
fia209	Local	27	0	0	0	0	1	553	1	
fia209	Local	28	0	1	0	1	1	441	1	
fia209	Local	29	0	0	1	0	0	548	1	
fia209	Local	30	0	1	1	0	0	555	1	
fia209	Local	31	0	0	1	1	1	627	1	
fia209	Local	32	0	0	0	1	0	468	1	
fia209	Global	1	1	0	0	0	1	1800	1	
fia209	Global	2	1	1	1	0	0	782	1	
fia209	Global	3	1	0	1	0	0	929	1	
fia209	Global	4	1	0	0	1	1	732	1	
fia209	Global	5	1	1	1	1	1	150	0	
fia209	Global	6	1	1	1	0	1	150	0	
fia209	Global	7	1	0	1	1	0	1461	1	
fia209	Global	8	1	0	0	1	1	572	1	
fia209	Global	9	1	1	0	0	1	598	1	
fia209	Global	10	1	0	1	1	1	150	0	
fia209	Global	11	1	1	0	0	1	1677	1	
fia209	Global	12	1	0	0	0	0	453	1	
fia209	Global	13	1	0	0	0	1	498	1	
fia209	Global	14	1	0	0	1	1	150	0	
fia209	Global	15	1	1	0	0	0	150	0	
fia209	Global	16	1	1	1	0	1	2054	1	
fia209	Global	17	1	1	1	1	1	150	0	
fia209	Global	18	1	1	1	0	0	964	1	
fia209	Global	19	1	1	0	0	1	851	1	
fia209	Global	20	1	0	1	1	1	150	0	
fia209	Global	21	1	1	0	1	0	1514	1	
fia209	Global	22	1	0	1	1	1	150	0	
fia209	Global	23	1	1	0	1	0	614	1	
fia209	Global	24	1	1	0	1	0	573	1	
fia209	Global	25	1	0	1	0	1	150	0	
fia209	Global	26	1	0	0	1	0	1192	1	
fia209	Global	27	1	0	0	0	0	537	1	
fia209	Global	28	1	1	1	0	0	696	1	
fia209	Global	29	1	1	1	1	0	584	1	
fia209	Global	30	1	1	1	1	0	484	1	
fia209	Global	31	1	0	0	1	1	476	1	
fia209	Global	32	1	1	1	0	1	1011	1	
fia209	Local	1	1	0	0	1	1	1279	1	
fia209	Local	2	1	1	1	1	0	673	1	
fia209	Local	3	1	1	1	1	0	559	1	
fia209	Local	4	1	0	1	0	1	447	1	
fia209	Local	5	1	0	0	0	0	602	1	
fia209	Local	6	1	1	1	1	0	150	0	
fia209	Local	7	1	1	0	0	1	955	1	
fia209	Local	8	1	0	1	1	0	369	1	
fia209	Local	9	1	1	0	1	0	1213	1	
fia209	Local	10	1	0	0	0	1	664	1	
fia209	Local	11	1	0	0	1	0	580	1	
fia209	Local	12	1	1	1	1	0	816	1	
fia209	Local	13	1	0	1	1	1	509	1	
fia209	Local	14	1	1	0	0	0	377	1	
fia209	Local	15	1	1	1	0	0	412	1	
fia209	Local	16	1	1	0	0	1	500	1	
fia209	Local	17	1	0	0	1	0	486	1	
fia209	Local	18	1	1	1	0	1	1966	1	
fia209	Local	19	1	0	0	0	1	679	1	
fia209	Local	20	1	0	0	1	0	564	1	
fia209	Local	21	1	1	1	0	1	1662	1	
fia209	Local	22	1	1	1	1	1	701	1	
fia209	Local	23	1	0	0	1	1	477	1	
fia209	Local	24	1	1	0	0	0	516	1	
fia209	Local	25	1	0	0	1	0	719	1	
fia209	Local	26	1	1	0	1	1	683	1	
fia209	Local	27	1	1	1	0	0	506	1	
fia209	Local	28	1	0	1	0	0	150	0	
fia209	Local	29	1	0	1	0	0	1707	1	
fia209	Local	30	1	1	0	0	1	1255	1	
fia209	Local	31	1	1	1	1	0	591	1	
fia209	Local	32	1	1	1	0	0	1171	1	
