SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
fis215	Global	1	1	1	1	0	0	802	1	
fis215	Global	2	1	0	1	0	1	583	1	
fis215	Global	3	1	1	0	1	0	522	1	
fis215	Global	4	1	0	0	0	0	423	1	
fis215	Global	5	1	1	1	1	0	545	1	
fis215	Global	6	1	0	0	1	1	336	1	
fis215	Global	7	1	0	0	1	1	423	1	
fis215	Global	8	1	1	0	0	0	441	1	
fis215	Global	9	1	0	0	1	0	420	1	
fis215	Global	10	1	1	0	1	0	372	1	
fis215	Global	11	1	1	1	0	0	527	1	
fis215	Global	12	1	1	0	0	1	468	1	
fis215	Global	13	1	0	1	1	0	579	1	
fis215	Global	14	1	0	1	1	0	509	1	
fis215	Global	15	1	0	1	0	0	472	1	
fis215	Global	16	1	1	1	1	0	495	1	
fis215	Global	17	1	1	1	0	0	401	1	
fis215	Global	18	1	1	1	0	1	527	1	
fis215	Global	19	1	0	0	0	0	428	1	
fis215	Global	20	1	0	1	1	0	478	1	
fis215	Global	21	1	0	1	0	1	500	1	
fis215	Global	22	1	0	1	1	0	470	1	
fis215	Global	23	1	1	1	1	0	468	1	
fis215	Global	24	1	1	0	1	1	683	1	
fis215	Global	25	1	0	0	1	0	730	1	
fis215	Global	26	1	0	0	1	1	406	1	
fis215	Global	27	1	1	0	0	1	796	1	
fis215	Global	28	1	0	0	0	1	536	1	
fis215	Global	29	1	0	0	0	1	479	1	
fis215	Global	30	1	1	1	0	1	623	1	
fis215	Global	31	1	0	0	0	0	496	1	
fis215	Global	32	1	0	1	1	1	570	1	
fis215	Local	1	1	0	0	0	0	573	1	
fis215	Local	2	1	1	1	1	1	583	1	
fis215	Local	3	1	1	1	1	0	738	1	
fis215	Local	4	1	0	0	1	0	424	1	
fis215	Local	5	1	0	0	0	0	433	1	
fis215	Local	6	1	0	1	0	1	379	1	
fis215	Local	7	1	0	1	0	0	360	1	
fis215	Local	8	1	1	0	0	1	369	1	
fis215	Local	9	1	0	1	0	1	676	1	
fis215	Local	10	1	0	1	1	0	434	1	
fis215	Local	11	1	1	0	0	0	395	1	
fis215	Local	12	1	0	0	1	0	442	1	
fis215	Local	13	1	0	0	1	0	421	1	
fis215	Local	14	1	1	1	0	1	511	1	
fis215	Local	15	1	1	1	1	1	426	1	
fis215	Local	16	1	1	0	1	0	636	1	
fis215	Local	17	1	0	0	1	0	468	1	
fis215	Local	18	1	1	1	0	1	603	1	
fis215	Local	19	1	1	0	0	0	400	1	
fis215	Local	20	1	1	1	0	1	462	1	
fis215	Local	21	1	0	1	1	1	499	1	
fis215	Local	22	1	1	0	0	0	461	1	
fis215	Local	23	1	0	1	1	1	458	1	
fis215	Local	24	1	1	0	1	1	447	1	
fis215	Local	25	1	0	1	0	1	330	1	
fis215	Local	26	1	1	1	1	0	440	1	
fis215	Local	27	1	0	1	1	0	636	1	
fis215	Local	28	1	0	0	0	0	444	1	
fis215	Local	29	1	1	0	1	0	335	1	
fis215	Local	30	1	1	0	1	0	463	1	
fis215	Local	31	1	1	0	0	0	316	1	
fis215	Local	32	1	0	1	0	1	456	1	
fis215	Global	1	0	1	1	0	0	855	1	
fis215	Global	2	0	0	0	1	1	409	1	
fis215	Global	3	0	1	1	0	0	417	1	
fis215	Global	4	0	1	1	1	0	369	1	
fis215	Global	5	0	1	0	0	1	372	1	
fis215	Global	6	0	0	1	1	0	503	1	
fis215	Global	7	0	0	0	0	0	385	1	
fis215	Global	8	0	1	0	1	1	366	1	
fis215	Global	9	0	0	1	0	1	825	1	
fis215	Global	10	0	1	0	1	1	472	1	
fis215	Global	11	0	0	0	0	0	455	1	
fis215	Global	12	0	1	1	0	1	1044	1	
fis215	Global	13	0	0	0	1	0	420	1	
fis215	Global	14	0	0	1	1	0	428	1	
fis215	Global	15	0	1	0	0	0	381	1	
fis215	Global	16	0	1	1	0	1	458	1	
fis215	Global	17	0	0	1	1	1	559	1	
fis215	Global	18	0	1	0	1	0	471	1	
fis215	Global	19	0	0	0	0	0	446	1	
fis215	Global	20	0	0	1	0	0	521	1	
