SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
gc207	Global	1	1	1	0	1	1	634	1	
gc207	Global	2	1	1	1	0	1	451	1	
gc207	Global	3	1	0	1	1	1	512	1	
gc207	Global	4	1	0	0	0	1	419	1	
gc207	Global	5	1	0	0	1	0	403	1	
gc207	Global	6	1	1	1	0	1	150	0	
gc207	Global	7	1	1	0	0	1	461	1	
gc207	Global	8	1	1	1	0	1	402	1	
gc207	Global	9	1	0	0	0	1	392	1	
gc207	Global	10	1	0	0	1	0	341	1	
gc207	Global	11	1	1	1	1	1	150	0	
gc207	Global	12	1	0	1	0	1	449	1	
gc207	Global	13	1	0	1	1	0	150	0	
gc207	Global	14	1	0	1	0	0	585	1	
gc207	Global	15	1	1	0	0	1	373	1	
gc207	Global	16	1	0	1	0	1	432	1	
gc207	Global	17	1	0	1	0	0	441	1	
gc207	Global	18	1	1	0	0	0	517	1	
gc207	Global	19	1	0	0	1	1	448	1	
gc207	Global	20	1	1	0	1	1	355	1	
gc207	Global	21	1	0	0	0	1	397	1	
gc207	Global	22	1	0	1	1	0	150	0	
gc207	Global	23	1	0	1	0	0	595	1	
gc207	Global	24	1	1	1	1	1	424	1	
gc207	Global	25	1	1	1	1	0	554	1	
gc207	Global	26	1	1	0	0	0	338	1	
gc207	Global	27	1	0	0	0	0	378	1	
gc207	Global	28	1	0	0	1	0	367	1	
gc207	Global	29	1	1	0	1	1	370	1	
gc207	Global	30	1	1	1	1	1	150	0	
gc207	Global	31	1	0	1	1	0	150	0	
gc207	Global	32	1	0	0	1	1	368	1	
gc207	Local	1	1	0	1	1	1	736	1	
gc207	Local	2	1	0	0	0	1	484	1	
gc207	Local	3	1	1	0	1	1	389	1	
gc207	Local	4	1	1	1	1	1	417	1	
gc207	Local	5	1	0	1	0	0	353	1	
gc207	Local	6	1	1	1	0	0	363	1	
gc207	Local	7	1	1	0	0	0	420	1	
gc207	Local	8	1	0	0	0	0	372	1	
gc207	Local	9	1	1	0	0	1	407	1	
gc207	Local	10	1	1	1	0	1	559	1	
gc207	Local	11	1	1	0	0	0	295	1	
gc207	Local	12	1	0	0	0	0	362	1	
gc207	Local	13	1	1	0	1	0	348	1	
gc207	Local	14	1	0	0	1	1	316	1	
gc207	Local	15	1	0	0	1	1	408	1	
gc207	Local	16	1	0	1	0	1	328	1	
gc207	Local	17	1	1	1	1	0	358	1	
gc207	Local	18	1	0	1	1	1	150	0	
gc207	Local	19	1	1	1	0	1	323	1	
gc207	Local	20	1	0	1	1	0	377	1	
gc207	Local	21	1	1	0	1	0	380	1	
gc207	Local	22	1	1	1	1	1	457	1	
gc207	Local	23	1	0	0	1	0	398	1	
gc207	Local	24	1	1	1	0	1	364	1	
gc207	Local	25	1	0	0	0	0	351	1	
gc207	Local	26	1	1	0	0	0	360	1	
gc207	Local	27	1	0	0	1	0	394	1	
gc207	Local	28	1	1	1	1	0	352	1	
gc207	Local	29	1	0	1	0	1	482	1	
gc207	Local	30	1	1	1	1	0	378	1	
gc207	Local	31	1	0	1	0	0	422	1	
gc207	Local	32	1	1	0	1	1	360	1	
gc207	Global	1	0	0	0	1	0	509	1	
gc207	Global	2	0	1	0	1	0	345	1	
gc207	Global	3	0	0	1	0	1	528	1	
gc207	Global	4	0	1	0	0	1	365	1	
gc207	Global	5	0	1	0	1	1	345	1	
gc207	Global	6	0	1	1	1	1	392	1	
gc207	Global	7	0	0	0	0	1	431	1	
gc207	Global	8	0	0	1	1	0	150	0	
gc207	Global	9	0	1	0	0	0	378	1	
gc207	Global	10	0	1	1	1	0	431	1	
gc207	Global	11	0	0	0	1	0	368	1	
gc207	Global	12	0	0	1	1	1	491	1	
gc207	Global	13	0	1	0	1	0	371	1	
gc207	Global	14	0	0	1	1	1	366	1	
gc207	Global	15	0	1	1	0	1	378	1	
gc207	Global	16	0	1	0	1	0	381	1	
gc207	Global	17	0	0	1	0	0	425	1	
gc207	Global	18	0	0	1	0	1	355	1	
gc207	Global	19	0	0	1	0	0	380	1	
gc207	Global	20	0	1	1	0	1	369	1	
gc207	Global	21	0	0	1	1	1	3396	1	
gc207	Global	22	0	0	0	1	0	481	1	
gc207	Global	23	0	0	1	1	0	369	1	
gc207	Global	24	0	1	0	0	0	356	1	
gc207	Global	25	0	0	1	0	1	397	1	
gc207	Global	26	0	0	0	0	0	348	1	
gc207	Global	27	0	0	0	0	1	323	1	
gc207	Global	28	0	1	0	0	1	338	1	
gc207	Global	29	0	0	0	0	1	337	1	
gc207	Global	30	0	1	0	1	1	337	1	
gc207	Global	31	0	1	1	1	1	321	1	
gc207	Global	32	0	0	1	0	0	150	0	
gc207	Local	1	0	1	1	0	1	715	1	
gc207	Local	2	0	0	0	1	1	366	1	
gc207	Local	3	0	0	0	0	1	425	1	
gc207	Local	4	0	0	0	0	1	362	1	
gc207	Local	5	0	1	1	1	0	444	1	
gc207	Local	6	0	1	0	0	0	150	0	
gc207	Local	7	0	0	0	0	0	384	1	
gc207	Local	8	0	1	0	0	0	357	1	
gc207	Local	9	0	0	1	0	1	494	1	
gc207	Local	10	0	1	1	0	1	568	1	
gc207	Local	11	0	1	1	0	0	378	1	
gc207	Local	12	0	0	0	1	1	391	1	
gc207	Local	13	0	1	0	0	1	412	1	
gc207	Local	14	0	1	1	0	0	508	1	
gc207	Local	15	0	1	1	1	0	367	1	
gc207	Local	16	0	1	1	1	0	314	1	
gc207	Local	17	0	1	1	0	1	471	1	
gc207	Local	18	0	1	0	1	1	533	1	
gc207	Local	19	0	1	1	1	1	434	1	
gc207	Local	20	0	0	1	0	0	428	1	
gc207	Local	21	0	1	1	1	1	373	1	
gc207	Local	22	0	0	1	1	1	449	1	
gc207	Local	23	0	1	0	1	1	420	1	
gc207	Local	24	0	0	1	1	1	460	1	
gc207	Local	25	0	1	1	0	0	345	1	
gc207	Local	26	0	1	0	1	0	424	1	
gc207	Local	27	0	0	0	1	1	322	1	
gc207	Local	28	0	0	0	0	1	424	1	
gc207	Local	29	0	1	0	1	1	450	1	
gc207	Local	30	0	1	0	1	0	367	1	
gc207	Local	31	0	1	0	0	0	442	1	
gc207	Local	32	0	1	1	1	0	429	1	
