SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
gi36	Global	1	0	0	0	1	1	795	1	
gi36	Global	2	0	0	0	1	0	367	1	
gi36	Global	3	0	1	1	0	1	962	1	
gi36	Global	4	0	1	0	0	0	408	1	
gi36	Global	5	0	1	0	0	1	376	1	
gi36	Global	6	0	0	0	1	1	539	1	
gi36	Global	7	0	1	1	0	0	490	1	
gi36	Global	8	0	1	1	0	1	538	1	
gi36	Global	9	0	0	1	1	1	150	0	
gi36	Global	10	0	0	0	1	0	150	0	
gi36	Global	11	0	0	1	0	1	640	1	
gi36	Global	12	0	0	1	0	1	882	1	
gi36	Global	13	0	1	1	0	1	568	1	
gi36	Global	14	0	0	0	0	1	458	1	
gi36	Global	15	0	0	0	1	1	431	1	
gi36	Global	16	0	1	0	0	1	496	1	
gi36	Global	17	0	1	1	1	1	530	1	
gi36	Global	18	0	1	1	1	1	535	1	
gi36	Global	19	0	1	1	1	0	452	1	
gi36	Global	20	0	0	1	1	1	473	1	
gi36	Global	21	0	1	1	0	1	552	1	
gi36	Global	22	0	0	0	0	0	424	1	
gi36	Global	23	0	0	1	1	0	522	1	
gi36	Global	24	0	1	0	1	1	423	1	
gi36	Global	25	0	1	1	0	0	480	1	
gi36	Global	26	0	0	1	1	1	473	1	
gi36	Global	27	0	0	0	0	1	527	1	
gi36	Global	28	0	0	0	0	0	564	1	
gi36	Global	29	0	0	0	1	1	541	1	
gi36	Global	30	0	1	0	0	0	731	1	
gi36	Global	31	0	0	1	1	1	535	1	
gi36	Global	32	0	1	0	1	0	532	1	
gi36	Local	1	0	1	1	1	1	1007	1	
gi36	Local	2	0	0	1	1	1	842	1	
gi36	Local	3	0	0	1	0	1	476	1	
gi36	Local	4	0	0	0	0	1	474	1	
gi36	Local	5	0	1	1	0	1	905	1	
gi36	Local	6	0	0	0	1	1	464	1	
gi36	Local	7	0	1	1	0	1	679	1	
gi36	Local	8	0	1	1	0	0	556	1	
gi36	Local	9	0	0	1	1	0	653	1	
gi36	Local	10	0	1	1	1	0	656	1	
gi36	Local	11	0	1	0	1	1	676	1	
gi36	Local	12	0	1	1	1	1	682	1	
gi36	Local	13	0	0	0	1	0	457	1	
gi36	Local	14	0	1	0	1	0	550	1	
gi36	Local	15	0	1	0	0	0	428	1	
gi36	Local	16	0	0	1	1	1	686	1	
gi36	Local	17	0	0	0	0	0	517	1	
gi36	Local	18	0	0	1	0	1	584	1	
gi36	Local	19	0	0	1	1	1	612	1	
gi36	Local	20	0	1	0	0	1	491	1	
gi36	Local	21	0	1	0	0	1	571	1	
gi36	Local	22	0	0	1	0	1	637	1	
gi36	Local	23	0	1	0	0	0	575	1	
gi36	Local	24	0	0	0	0	0	150	0	
gi36	Local	25	0	0	1	1	1	458	1	
gi36	Local	26	0	0	0	1	0	503	1	
gi36	Local	27	0	0	0	1	1	544	1	
gi36	Local	28	0	1	1	0	1	703	1	
gi36	Local	29	0	0	1	0	0	150	0	
gi36	Local	30	0	1	0	0	0	518	1	
gi36	Local	31	0	1	0	1	0	426	1	
gi36	Local	32	0	0	0	1	0	412	1	
gi36	Global	1	1	0	1	1	1	1809	1	
gi36	Global	2	1	0	1	0	0	150	0	
gi36	Global	3	1	0	1	0	0	892	1	
gi36	Global	4	1	0	0	0	0	150	0	
gi36	Global	5	1	1	1	1	1	903	1	
gi36	Global	6	1	1	0	0	0	854	1	
gi36	Global	7	1	1	0	0	0	625	1	
gi36	Global	8	1	0	0	0	1	442	1	
gi36	Global	9	1	0	0	1	1	629	1	
