Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	0.94	0.97	1.00	1.00	1.00	0.98
Grand Total	1.00	0.97	0.98	1.00	1.00	1.00	0.99
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00
561.30	505.70	549.50	602.50	595.70	706.50	547.60	600.90
							
							
							
rt	SDev	CCor	UCor				
561.30	115.5	15	16	0	0	0	
505.70	67.5	13	16	0	0	1	
549.50	62.13	16	16	0	1	0	
602.50	93.05	15	15	0	1	1	
595.70	73.11	15	16	1	0	0	
706.50	169.3	16	16	1	0	1	
547.60	76.33	16	16	1	1	0	
600.90	105.2	16	16	1	1	1	
