Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Incong	1.00	1.00	1.00	1.00	0.94	0.97	0.98
Grand Total	1.00	1.00	1.00	1.00	0.97	0.98	0.99
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94
545.40	483.10	631.90	654.70	497.00	687.60	493.70	578.10
							
							
rt	SDev	CCor	UCor				
545.40	181.3	14	16	0	0	0	
483.10	98.25	16	16	0	0	1	
631.90	154.2	16	16	0	1	0	
654.70	89.59	14	16	0	1	1	
497.00	107.3	16	16	1	0	0	
687.60	174.5	16	16	1	0	1	
493.70	51.66	14	16	1	1	0	
578.10	144.6	15	15	1	1	1	
