SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
gr69	Global	1	0	1	0	0	1	656	1	
gr69	Global	2	0	1	0	0	0	412	1	
gr69	Global	3	0	0	0	1	1	468	1	
gr69	Global	4	0	1	1	0	0	546	1	
gr69	Global	5	0	1	1	0	1	417	1	
gr69	Global	6	0	0	1	0	0	401	1	
gr69	Global	7	0	1	1	1	1	455	1	
gr69	Global	8	0	1	0	0	0	452	1	
gr69	Global	9	0	0	0	0	1	425	1	
gr69	Global	10	0	0	1	1	0	379	1	
gr69	Global	11	0	1	1	0	0	439	1	
gr69	Global	12	0	1	0	1	0	403	1	
gr69	Global	13	0	1	1	1	1	537	1	
gr69	Global	14	0	1	1	1	0	448	1	
gr69	Global	15	0	0	1	1	0	435	1	
gr69	Global	16	0	1	0	0	1	501	1	
gr69	Global	17	0	1	0	0	1	550	1	
gr69	Global	18	0	0	0	1	0	391	1	
gr69	Global	19	0	1	1	0	0	380	1	
gr69	Global	20	0	1	0	1	0	408	1	
gr69	Global	21	0	0	1	1	0	456	1	
gr69	Global	22	0	1	0	1	0	381	1	
gr69	Global	23	0	0	1	0	1	378	1	
gr69	Global	24	0	0	1	1	0	414	1	
gr69	Global	25	0	0	0	0	0	406	1	
gr69	Global	26	0	0	0	1	1	486	1	
gr69	Global	27	0	0	1	1	1	503	1	
gr69	Global	28	0	0	1	0	1	416	1	
gr69	Global	29	0	1	1	0	0	360	1	
gr69	Global	30	0	0	0	0	0	554	1	
gr69	Global	31	0	0	0	1	1	450	1	
gr69	Global	32	0	0	0	1	1	415	1	
gr69	Local	1	0	0	0	0	0	457	1	
gr69	Local	2	0	0	0	0	0	478	1	
gr69	Local	3	0	1	1	0	0	620	1	
gr69	Local	4	0	1	1	1	1	595	1	
gr69	Local	5	0	0	0	0	1	529	1	
gr69	Local	6	0	1	1	0	0	558	1	
gr69	Local	7	0	0	1	1	1	662	1	
gr69	Local	8	0	1	0	1	0	458	1	
gr69	Local	9	0	1	1	1	1	447	1	
gr69	Local	10	0	0	1	0	1	514	1	
gr69	Local	11	0	0	1	1	0	613	1	
gr69	Local	12	0	0	1	0	1	508	1	
gr69	Local	13	0	1	1	1	1	624	1	
gr69	Local	14	0	1	0	1	0	472	1	
gr69	Local	15	0	1	0	0	1	471	1	
gr69	Local	16	0	1	0	1	1	429	1	
gr69	Local	17	0	0	1	1	0	615	1	
gr69	Local	18	0	0	0	1	1	422	1	
gr69	Local	19	0	0	1	0	1	519	1	
gr69	Local	20	0	0	0	0	0	395	1	
gr69	Local	21	0	0	0	0	1	497	1	
gr69	Local	22	0	0	1	1	0	491	1	
gr69	Local	23	0	1	1	0	1	435	1	
gr69	Local	24	0	1	1	0	0	390	1	
gr69	Local	25	0	1	0	1	1	507	1	
gr69	Local	26	0	0	0	1	1	495	1	
gr69	Local	27	0	1	0	0	1	440	1	
gr69	Local	28	0	0	1	0	0	428	1	
gr69	Local	29	0	0	0	1	1	397	1	
gr69	Local	30	0	0	1	1	0	500	1	
