Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	0.94	1.00	0.97	1.00	1.00	1.00	0.98
incong	0.88	0.81	0.84	0.88	0.94	0.91	0.88
Grand Total	0.91	0.91	0.91	0.94	0.97	0.95	0.93
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
0.94	0.88	1.00	0.81	1.00	0.88	1.00	0.94
393.9	440.5	445.8	490.5	446.3	537.8	366.6	385.6
							
							
rt	SDev	CCor	UCor				
393.9	45.93	14	15	0	0	0	
440.5	72.36	14	14	0	0	1	
445.8	97.82	16	16	0	1	0	
490.5	54.57	13	13	0	1	1	
446.3	69.69	16	16	1	0	0	
537.8	93.97	14	14	1	0	1	
366.6	38.23	16	16	1	1	0	
385.6	64.81	13	15	1	1	1	
