SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
hb183	Global	1	0	1	1	1	1	150	0	
hb183	Global	2	0	1	0	0	1	392	1	
hb183	Global	3	0	1	1	0	1	508	1	
hb183	Global	4	0	1	0	0	1	336	1	
hb183	Global	5	0	1	1	1	0	616	1	
hb183	Global	6	0	1	1	0	1	527	1	
hb183	Global	7	0	1	0	1	0	412	1	
hb183	Global	8	0	0	1	0	0	372	1	
hb183	Global	9	0	0	1	0	0	375	1	
hb183	Global	10	0	1	0	1	1	410	1	
hb183	Global	11	0	0	1	1	0	458	1	
hb183	Global	12	0	1	0	0	0	391	1	
hb183	Global	13	0	0	1	0	0	395	1	
hb183	Global	14	0	0	1	1	1	394	1	
hb183	Global	15	0	1	0	0	1	150	0	
hb183	Global	16	0	1	0	1	1	810	1	
hb183	Global	17	0	1	1	0	0	359	1	
hb183	Global	18	0	1	0	0	0	377	1	
hb183	Global	19	0	0	0	1	0	404	1	
hb183	Global	20	0	1	1	1	0	442	1	
hb183	Global	21	0	0	1	1	1	430	1	
hb183	Global	22	0	0	1	1	1	447	1	
hb183	Global	23	0	1	0	1	1	306	1	
hb183	Global	24	0	1	0	1	1	383	1	
hb183	Global	25	0	1	0	1	1	484	1	
hb183	Global	26	0	1	0	0	0	388	1	
hb183	Global	27	0	1	1	1	1	376	1	
hb183	Global	28	0	1	1	0	0	150	0	
hb183	Global	29	0	0	0	1	0	475	1	
hb183	Global	30	0	0	0	0	0	377	1	
hb183	Global	31	0	1	1	0	1	468	1	
hb183	Global	32	0	1	0	0	1	379	1	
hb183	Local	1	0	0	0	1	1	554	1	
hb183	Local	2	0	0	1	1	0	570	1	
hb183	Local	3	0	1	0	0	0	452	1	
hb183	Local	4	0	1	0	0	0	449	1	
hb183	Local	5	0	0	0	1	1	340	1	
hb183	Local	6	0	0	0	0	1	436	1	
hb183	Local	7	0	1	0	0	0	384	1	
hb183	Local	8	0	1	1	1	1	524	1	
hb183	Local	9	0	1	1	0	0	521	1	
hb183	Local	10	0	0	1	0	1	589	1	
hb183	Local	11	0	1	1	0	0	600	1	
hb183	Local	12	0	1	1	1	0	734	1	
hb183	Local	13	0	1	1	1	0	658	1	
hb183	Local	14	0	1	0	0	1	541	1	
hb183	Local	15	0	1	0	1	0	396	1	
hb183	Local	16	0	1	0	1	1	418	1	
hb183	Local	17	0	0	0	1	0	362	1	
hb183	Local	18	0	1	0	0	0	404	1	
hb183	Local	19	0	1	1	0	0	150	0	
hb183	Local	20	0	0	0	1	0	437	1	
hb183	Local	21	0	1	0	0	1	545	1	
hb183	Local	22	0	0	1	0	1	431	1	
hb183	Local	23	0	1	1	0	1	409	1	
hb183	Local	24	0	1	1	0	0	601	1	
hb183	Local	25	0	1	1	0	0	150	0	
hb183	Local	26	0	1	0	1	1	524	1	
hb183	Local	27	0	0	1	1	0	490	1	
hb183	Local	28	0	0	1	1	1	474	1	
hb183	Local	29	0	0	1	1	0	416	1	
hb183	Local	30	0	1	1	1	1	512	1	
hb183	Local	31	0	1	0	1	1	516	1	
hb183	Local	32	0	1	0	0	1	383	1	
hb183	Global	1	1	1	1	0	0	391	1	
hb183	Global	2	1	1	1	1	1	499	1	
hb183	Global	3	1	0	1	0	1	150	0	
hb183	Global	4	1	1	1	0	0	492	1	
hb183	Global	5	1	1	0	0	0	396	1	
hb183	Global	6	1	0	1	0	1	402	1	
hb183	Global	7	1	1	1	0	1	593	1	
hb183	Global	8	1	0	0	1	1	380	1	
hb183	Global	9	1	0	1	0	1	449	1	
hb183	Global	10	1	0	0	0	0	396	1	
hb183	Global	11	1	0	1	1	1	474	1	
hb183	Global	12	1	1	1	0	0	521	1	
hb183	Global	13	1	0	0	1	0	628	1	
hb183	Global	14	1	1	0	0	0	429	1	
hb183	Global	15	1	1	0	1	1	462	1	
hb183	Global	16	1	1	0	1	0	443	1	
hb183	Global	17	1	0	0	1	0	695	1	
hb183	Global	18	1	1	0	1	1	463	1	
hb183	Global	19	1	0	1	1	1	150	0	
hb183	Global	20	1	1	0	0	0	422	1	
hb183	Global	21	1	1	0	0	1	319	1	
hb183	Global	22	1	0	0	1	0	436	1	
hb183	Global	23	1	0	0	1	1	447	1	
hb183	Global	24	1	0	0	0	1	338	1	
hb183	Global	25	1	0	0	0	1	370	1	
hb183	Global	26	1	0	1	1	0	150	0	
hb183	Global	27	1	0	0	0	0	509	1	
hb183	Global	28	1	0	1	0	1	521	1	
hb183	Global	29	1	1	1	1	0	540	1	
hb183	Global	30	1	1	1	1	0	483	1	
hb183	Global	31	1	0	1	1	0	523	1	
hb183	Global	32	1	1	1	1	1	488	1	
hb183	Local	1	1	1	1	1	0	686	1	
hb183	Local	2	1	0	0	1	1	413	1	
hb183	Local	3	1	1	0	0	0	429	1	
hb183	Local	4	1	1	0	0	1	319	1	
hb183	Local	5	1	0	1	0	1	523	1	
hb183	Local	6	1	0	0	1	0	440	1	
hb183	Local	7	1	0	0	1	1	339	1	
hb183	Local	8	1	1	0	1	1	363	1	
hb183	Local	9	1	1	1	0	1	389	1	
hb183	Local	10	1	1	1	0	0	297	1	
hb183	Local	11	1	1	0	0	1	316	1	
hb183	Local	12	1	0	1	1	1	353	1	
hb183	Local	13	1	1	1	1	0	354	1	
hb183	Local	14	1	1	1	0	0	420	1	
hb183	Local	15	1	1	1	1	0	348	1	
hb183	Local	16	1	1	0	0	0	387	1	
hb183	Local	17	1	1	1	0	1	400	1	
hb183	Local	18	1	0	0	0	1	342	1	
hb183	Local	19	1	1	0	1	1	334	1	
hb183	Local	20	1	1	0	0	1	348	1	
hb183	Local	21	1	0	0	1	1	348	1	
hb183	Local	22	1	0	1	1	0	308	1	
hb183	Local	23	1	0	0	0	1	353	1	
hb183	Local	24	1	0	1	0	1	490	1	
hb183	Local	25	1	1	0	0	0	378	1	
hb183	Local	26	1	1	0	1	1	351	1	
hb183	Local	27	1	1	1	0	1	408	1	
hb183	Local	28	1	0	1	1	0	150	0	
hb183	Local	29	1	0	1	1	0	859	1	
hb183	Local	30	1	0	0	1	1	406	1	
hb183	Local	31	1	1	1	0	1	372	1	
hb183	Local	32	1	0	1	1	1	351	1	
