Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	0	1		0	1		
0	0.88	1.00	0.94	1.00	1.00	1.00	0.97
1	1.00	0.88	0.94	0.88	0.88	0.88	0.91
Grand Total	0.94	0.94	0.94	0.94	0.94	0.94	0.94
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
0.88	1.00	1.00	0.88	1.00	0.88	1.00	0.88
504.3	519.7	575.8	693.7	514.4	576.9	663	557.4
							
							
							
rt	SDev	CCor	UCor				
504.3	45.9	13	14	0	0	0	
519.7	70.72	15	16	0	0	1	
575.8	135.2	16	16	0	1	0	
693.7	170.8	14	14	0	1	1	
514.4	78.18	15	16	1	0	0	
576.9	109.1	14	14	1	0	1	
663	241.9	16	16	1	1	0	
557.4	88.41	14	14	1	1	1	
