SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ik63	Global	1	1	0	0	1	1	1927	1	
ik63	Global	2	1	0	0	1	0	150	0	
ik63	Global	3	1	1	0	0	1	1076	1	
ik63	Global	4	1	0	0	1	1	1024	1	
ik63	Global	5	1	0	0	0	1	772	1	
ik63	Global	6	1	1	0	0	1	805	1	
ik63	Global	7	1	1	1	1	0	809	1	
ik63	Global	8	1	0	1	0	1	823	1	
ik63	Global	9	1	1	1	0	0	631	1	
ik63	Global	10	1	0	0	0	1	751	1	
ik63	Global	11	1	0	1	0	1	1215	1	
ik63	Global	12	1	0	0	1	1	754	1	
ik63	Global	13	1	1	1	0	0	753	1	
ik63	Global	14	1	0	1	0	0	689	1	
ik63	Global	15	1	1	1	0	0	696	1	
ik63	Global	16	1	0	1	0	1	625	1	
ik63	Global	17	1	1	1	1	1	1281	1	
ik63	Global	18	1	0	1	1	0	915	1	
ik63	Global	19	1	0	0	1	0	965	1	
ik63	Global	20	1	1	1	1	1	819	1	
ik63	Global	21	1	1	0	0	1	689	1	
ik63	Global	22	1	0	0	1	0	640	1	
ik63	Global	23	1	0	0	1	0	786	1	
ik63	Global	24	1	0	1	1	1	748	1	
ik63	Global	25	1	1	0	0	1	706	1	
ik63	Global	26	1	1	1	0	0	643	1	
ik63	Global	27	1	1	0	0	0	621	1	
ik63	Global	28	1	1	0	0	1	724	1	
ik63	Global	29	1	1	1	1	1	704	1	
ik63	Global	30	1	1	1	1	1	673	1	
ik63	Global	31	1	0	1	1	0	654	1	
ik63	Global	32	1	1	0	1	1	562	1	
ik63	Local	1	1	0	1	1	1	1404	1	
ik63	Local	2	1	1	0	1	0	1189	1	
ik63	Local	3	1	0	0	0	1	686	1	
ik63	Local	4	1	1	1	1	1	725	1	
ik63	Local	5	1	0	1	1	1	793	1	
ik63	Local	6	1	0	1	1	0	899	1	
ik63	Local	7	1	0	0	1	0	691	1	
ik63	Local	8	1	0	0	1	1	642	1	
ik63	Local	9	1	1	1	0	0	828	1	
ik63	Local	10	1	1	0	0	1	588	1	
ik63	Local	11	1	0	1	1	0	599	1	
ik63	Local	12	1	1	1	0	0	693	1	
ik63	Local	13	1	0	0	1	1	564	1	
ik63	Local	14	1	0	0	0	1	580	1	
ik63	Local	15	1	1	0	0	0	504	1	
ik63	Local	16	1	1	0	1	1	474	1	
ik63	Local	17	1	1	0	0	0	536	1	
ik63	Local	18	1	1	1	0	0	639	1	
ik63	Local	19	1	0	1	1	1	617	1	
ik63	Local	20	1	0	1	0	1	592	1	
ik63	Local	21	1	1	0	1	1	595	1	
ik63	Local	22	1	0	0	0	1	601	1	
ik63	Local	23	1	0	0	0	1	614	1	
ik63	Local	24	1	0	1	0	0	597	1	
ik63	Local	25	1	1	1	0	1	530	1	
ik63	Local	26	1	0	1	0	1	535	1	
ik63	Local	27	1	0	0	1	0	556	1	
ik63	Local	28	1	1	1	0	1	845	1	
ik63	Local	29	1	1	0	0	0	630	1	
ik63	Local	30	1	1	1	1	1	734	1	
ik63	Local	31	1	1	0	1	1	690	1	
ik63	Local	32	1	0	1	1	1	497	1	
ik63	Global	1	0	1	0	0	0	1544	1	
ik63	Global	2	0	0	1	0	1	1441	1	
ik63	Global	3	0	1	1	0	1	919	1	
ik63	Global	4	0	0	1	1	0	577	1	
ik63	Global	5	0	0	0	0	1	595	1	
ik63	Global	6	0	1	1	0	0	600	1	
ik63	Global	7	0	0	1	1	1	565	1	
ik63	Global	8	0	0	1	1	0	447	1	
ik63	Global	9	0	0	0	1	0	786	1	
ik63	Global	10	0	0	0	0	1	597	1	
ik63	Global	11	0	1	0	1	0	578	1	
ik63	Global	12	0	1	0	1	1	596	1	
ik63	Global	13	0	1	1	0	0	825	1	
ik63	Global	14	0	1	0	0	1	585	1	
ik63	Global	15	0	0	0	1	1	605	1	
ik63	Global	16	0	1	1	0	0	538	1	
ik63	Global	17	0	1	0	0	0	681	1	
ik63	Global	18	0	0	0	0	1	624	1	
ik63	Global	19	0	0	1	1	1	648	1	
ik63	Global	20	0	1	1	1	0	730	1	
ik63	Global	21	0	0	1	1	0	1486	1	
ik63	Global	22	0	1	0	1	0	601	1	
ik63	Global	23	0	1	0	0	1	766	1	
ik63	Global	24	0	0	0	1	0	591	1	
ik63	Global	25	0	0	1	0	0	731	1	
ik63	Global	26	0	1	0	1	0	687	1	
ik63	Global	27	0	0	1	0	0	566	1	
ik63	Global	28	0	1	0	0	1	552	1	
ik63	Global	29	0	0	0	1	1	464	1	
ik63	Global	30	0	1	1	1	1	687	1	
ik63	Global	31	0	0	1	1	0	558	1	
ik63	Global	32	0	0	1	0	1	478	1	
ik63	Local	1	0	0	0	1	1	1171	1	
ik63	Local	2	0	0	0	1	1	1081	1	
ik63	Local	3	0	1	1	1	1	822	1	
ik63	Local	4	0	1	0	0	1	820	1	
ik63	Local	5	0	0	0	0	1	706	1	
ik63	Local	6	0	1	1	1	1	715	1	
ik63	Local	7	0	1	0	0	1	629	1	
ik63	Local	8	0	1	1	1	0	790	1	
ik63	Local	9	0	1	1	0	1	768	1	
ik63	Local	10	0	0	1	1	1	745	1	
ik63	Local	11	0	1	1	1	0	735	1	
ik63	Local	12	0	0	0	1	0	779	1	
ik63	Local	13	0	0	0	0	0	660	1	
ik63	Local	14	0	0	0	0	0	560	1	
ik63	Local	15	0	0	0	0	0	616	1	
ik63	Local	16	0	0	1	0	0	887	1	
ik63	Local	17	0	0	0	1	1	581	1	
