SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ja40	Global	1	1	0	1	1	1	838	1	
ja40	Global	2	1	0	1	1	0	791	1	
ja40	Global	3	1	0	0	1	1	721	1	
ja40	Global	4	1	0	1	0	0	732	1	
ja40	Global	5	1	1	0	1	1	848	1	
ja40	Global	6	1	0	0	1	1	745	1	
ja40	Global	7	1	0	1	1	0	790	1	
ja40	Global	8	1	1	1	1	0	1033	1	
ja40	Global	9	1	1	1	1	1	679	1	
ja40	Global	10	1	0	0	1	1	1253	1	
ja40	Global	11	1	1	1	1	0	748	1	
ja40	Global	12	1	1	0	0	1	633	1	
ja40	Global	13	1	0	0	0	1	826	1	
ja40	Global	14	1	1	0	0	1	641	1	
ja40	Global	15	1	0	0	1	0	1011	1	
ja40	Global	16	1	0	0	1	0	624	1	
ja40	Global	17	1	1	0	0	0	1241	1	
ja40	Global	18	1	0	1	0	0	656	1	
ja40	Global	19	1	0	1	0	1	659	1	
ja40	Global	20	1	1	1	0	1	1111	1	
ja40	Global	21	1	1	1	0	0	639	1	
ja40	Global	22	1	1	0	0	0	538	1	
ja40	Global	23	1	1	1	0	0	640	1	
ja40	Global	24	1	1	0	0	1	643	1	
ja40	Global	25	1	0	1	1	1	829	1	
ja40	Global	26	1	0	1	1	1	988	1	
ja40	Global	27	1	1	0	1	1	606	1	
ja40	Global	28	1	1	0	0	0	1091	1	
ja40	Global	29	1	1	1	0	0	776	1	
ja40	Global	30	1	0	0	1	0	609	1	
ja40	Global	31	1	1	1	0	0	712	1	
ja40	Global	32	1	1	0	0	0	482	1	
ja40	Local	1	1	0	0	1	0	1379	1	
ja40	Local	2	1	1	1	1	1	816	1	
ja40	Local	3	1	1	0	0	0	630	1	
ja40	Local	4	1	1	1	1	0	903	1	
ja40	Local	5	1	0	0	0	0	670	1	
ja40	Local	6	1	0	1	1	1	668	1	
ja40	Local	7	1	0	1	1	0	585	1	
ja40	Local	8	1	0	0	1	0	669	1	
ja40	Local	9	1	1	0	0	0	578	1	
ja40	Local	10	1	0	0	1	0	524	1	
ja40	Local	11	1	1	0	1	0	665	1	
ja40	Local	12	1	1	0	0	1	615	1	
ja40	Local	13	1	0	0	1	0	622	1	
ja40	Local	14	1	1	0	0	0	1109	1	
ja40	Local	15	1	0	1	0	1	1051	1	
ja40	Local	16	1	0	1	0	0	827	1	
ja40	Local	17	1	1	0	0	1	555	1	
ja40	Local	18	1	1	1	0	0	523	1	
ja40	Local	19	1	0	1	1	0	1112	1	
ja40	Local	20	1	1	1	0	0	808	1	
ja40	Local	21	1	0	0	1	1	717	1	
ja40	Local	22	1	1	0	0	1	1247	1	
ja40	Local	23	1	0	1	1	1	662	1	
ja40	Local	24	1	0	1	0	1	474	1	
ja40	Local	25	1	0	1	1	1	624	1	
ja40	Local	26	1	1	1	0	0	969	1	
ja40	Local	27	1	1	1	0	0	425	1	
ja40	Local	28	1	1	1	0	0	666	1	
ja40	Local	29	1	0	1	1	1	688	1	
ja40	Local	30	1	0	0	1	1	1023	1	
ja40	Local	31	1	0	0	0	1	467	1	
ja40	Local	32	1	0	0	1	0	650	1	
ja40	Global	1	0	1	1	0	1	765	1	
ja40	Global	2	0	0	1	0	0	580	1	
ja40	Global	3	0	1	0	1	0	752	1	
ja40	Global	4	0	0	0	1	1	847	1	
ja40	Global	5	0	0	1	1	0	600	1	
ja40	Global	6	0	0	0	1	0	790	1	
ja40	Global	7	0	1	0	0	0	840	1	
ja40	Global	8	0	1	0	1	1	1121	1	
ja40	Global	9	0	0	1	1	1	1465	1	
ja40	Global	10	0	0	0	1	1	1185	1	
ja40	Global	11	0	0	0	0	1	1705	1	
ja40	Global	12	0	1	0	0	1	773	1	
ja40	Global	13	0	0	1	1	0	150	0	
ja40	Global	14	0	1	0	0	1	783	1	
ja40	Global	15	0	1	1	0	0	150	0	
ja40	Global	16	0	1	1	1	0	150	0	
ja40	Global	17	0	1	0	0	1	744	1	
ja40	Global	18	0	0	1	0	1	150	0	
ja40	Global	19	0	0	1	0	0	150	0	
ja40	Global	20	0	1	1	1	0	150	0	
ja40	Global	21	0	0	0	0	1	579	1	
ja40	Global	22	0	0	1	0	0	150	0	
ja40	Global	23	0	0	1	1	1	150	0	
ja40	Global	24	0	0	1	1	1	150	0	
ja40	Global	25	0	0	1	1	1	150	0	
ja40	Global	26	0	1	1	0	0	150	0	
ja40	Global	27	0	0	0	0	0	730	1	
ja40	Global	28	0	1	0	1	1	758	1	
ja40	Global	29	0	1	0	1	1	822	1	
ja40	Global	30	0	1	1	0	0	150	0	
ja40	Global	31	0	0	0	0	1	674	1	
ja40	Global	32	0	0	0	1	1	456	1	
ja40	Local	1	0	0	1	1	1	2078	1	
ja40	Local	2	0	0	0	0	0	692	1	
ja40	Local	3	0	0	1	0	1	851	1	
ja40	Local	4	0	1	0	1	0	676	1	
ja40	Local	5	0	0	1	1	1	729	1	
ja40	Local	6	0	1	0	1	1	1045	1	
ja40	Local	7	0	1	0	0	0	709	1	
ja40	Local	8	0	1	1	0	0	848	1	
ja40	Local	9	0	1	1	1	1	969	1	
ja40	Local	10	0	0	1	0	0	801	1	
ja40	Local	11	0	0	1	0	1	789	1	
ja40	Local	12	0	0	1	0	0	639	1	
ja40	Local	13	0	0	0	1	1	746	1	
ja40	Local	14	0	1	1	0	1	767	1	
ja40	Local	15	0	1	0	1	1	632	1	
ja40	Local	16	0	0	1	0	1	721	1	
ja40	Local	17	0	0	0	0	0	515	1	
ja40	Local	18	0	0	0	1	1	574	1	
ja40	Local	19	0	0	0	0	0	600	1	
ja40	Local	20	0	0	0	1	0	646	1	
ja40	Local	21	0	0	1	1	0	680	1	
ja40	Local	22	0	0	1	0	1	711	1	
ja40	Local	23	0	1	0	0	1	601	1	
ja40	Local	24	0	0	0	0	0	655	1	
ja40	Local	25	0	1	0	0	1	762	1	
ja40	Local	26	0	1	1	1	1	762	1	
ja40	Local	27	0	1	0	1	1	601	1	
ja40	Local	28	0	1	0	1	1	686	1	
ja40	Local	29	0	0	1	1	1	629	1	
ja40	Local	30	0	1	1	1	0	1014	1	
ja40	Local	31	0	0	0	0	0	555	1	
ja40	Local	32	0	1	1	1	0	619	1	
