SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jaa96	Global	1	0	0	1	0	0	664	1	
jaa96	Global	2	0	0	1	1	1	443	1	
jaa96	Global	3	0	1	0	0	1	551	1	
jaa96	Global	4	0	0	0	0	1	479	1	
jaa96	Global	5	0	0	0	1	1	535	1	
jaa96	Global	6	0	0	0	1	0	676	1	
jaa96	Global	7	0	1	0	0	1	458	1	
jaa96	Global	8	0	0	1	0	0	623	1	
jaa96	Global	9	0	0	1	1	0	150	0	
jaa96	Global	10	0	0	0	0	1	535	1	
jaa96	Global	11	0	0	0	1	0	420	1	
jaa96	Global	12	0	0	0	1	0	684	1	
jaa96	Global	13	0	0	1	1	0	150	0	
jaa96	Global	14	0	0	1	0	0	1060	1	
jaa96	Global	15	0	0	1	1	0	326	1	
jaa96	Global	16	0	0	1	0	1	636	1	
jaa96	Global	17	0	0	1	1	1	1077	1	
jaa96	Global	18	0	0	1	0	0	664	1	
jaa96	Global	19	0	0	0	1	1	1012	1	
jaa96	Global	20	0	1	0	1	0	673	1	
jaa96	Global	21	0	1	0	0	0	774	1	
jaa96	Global	22	0	0	1	0	0	591	1	
jaa96	Global	23	0	0	0	1	1	651	1	
jaa96	Global	24	0	0	1	0	1	941	1	
jaa96	Global	25	0	1	1	0	1	1113	1	
jaa96	Global	26	0	0	1	1	1	569	1	
jaa96	Global	27	0	1	1	1	1	515	1	
jaa96	Global	28	0	1	0	1	1	503	1	
jaa96	Global	29	0	0	1	1	1	545	1	
jaa96	Global	30	0	1	0	0	1	583	1	
jaa96	Global	31	0	1	0	0	1	547	1	
jaa96	Global	32	0	1	0	0	0	994	1	
jaa96	Local	1	0	0	1	0	0	936	1	
jaa96	Local	2	0	1	0	1	1	859	1	
jaa96	Local	3	0	1	1	0	1	821	1	
jaa96	Local	4	0	0	1	0	0	883	1	
jaa96	Local	5	0	1	1	1	0	761	1	
jaa96	Local	6	0	1	0	1	0	649	1	
jaa96	Local	7	0	0	1	0	0	667	1	
jaa96	Local	8	0	1	0	0	1	680	1	
jaa96	Local	9	0	1	0	1	0	671	1	
jaa96	Local	10	0	1	1	0	0	677	1	
jaa96	Local	11	0	1	1	1	1	762	1	
jaa96	Local	12	0	0	1	1	0	585	1	
jaa96	Local	13	0	1	1	0	0	773	1	
jaa96	Local	14	0	0	0	1	1	686	1	
jaa96	Local	15	0	1	1	0	1	589	1	
jaa96	Local	16	0	1	1	1	0	817	1	
jaa96	Local	17	0	1	1	1	1	735	1	
