SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jh159	Global	1	0	1	1	0	0	150	0	
jh159	Global	2	0	0	0	1	0	533	1	
jh159	Global	3	0	0	0	1	1	522	1	
jh159	Global	4	0	1	0	1	1	463	1	
jh159	Global	5	0	1	1	1	1	468	1	
jh159	Global	6	0	0	1	0	0	330	1	
jh159	Global	7	0	1	0	1	0	416	1	
jh159	Global	8	0	0	1	1	1	150	0	
jh159	Global	9	0	1	0	0	0	539	1	
jh159	Global	10	0	1	0	0	1	506	1	
jh159	Global	11	0	1	0	0	0	500	1	
jh159	Global	12	0	1	1	0	0	670	1	
jh159	Global	13	0	1	0	0	0	395	1	
jh159	Global	14	0	0	1	0	1	513	1	
jh159	Global	15	0	0	0	1	1	557	1	
jh159	Global	16	0	1	1	0	1	485	1	
jh159	Global	17	0	0	0	0	0	453	1	
jh159	Global	18	0	1	0	1	1	434	1	
jh159	Global	19	0	1	0	0	1	372	1	
jh159	Global	20	0	1	0	1	1	335	1	
jh159	Global	21	0	1	1	0	1	375	1	
jh159	Global	22	0	0	1	1	0	346	1	
jh159	Global	23	0	1	1	1	0	482	1	
jh159	Global	24	0	1	0	1	0	322	1	
jh159	Global	25	0	0	0	0	0	336	1	
jh159	Global	26	0	0	1	0	0	552	1	
jh159	Global	27	0	0	1	1	0	352	1	
jh159	Global	28	0	0	1	0	0	305	1	
jh159	Global	29	0	0	1	1	0	308	1	
jh159	Global	30	0	0	0	0	0	305	1	
jh159	Global	31	0	1	1	1	0	348	1	
jh159	Global	32	0	1	1	1	1	150	0	
jh159	Local	1	0	1	1	0	1	573	1	
jh159	Local	2	0	1	0	0	1	327	1	
jh159	Local	3	0	0	1	1	1	150	0	
jh159	Local	4	0	1	0	1	1	570	1	
jh159	Local	5	0	0	0	1	0	868	1	
jh159	Local	6	0	1	0	0	0	568	1	
jh159	Local	7	0	1	1	0	1	650	1	
jh159	Local	8	0	1	1	0	1	404	1	
jh159	Local	9	0	1	0	0	1	450	1	
jh159	Local	10	0	1	0	1	0	407	1	
jh159	Local	11	0	0	0	0	0	479	1	
jh159	Local	12	0	0	1	1	0	150	0	
jh159	Local	13	0	0	1	0	1	707	1	
jh159	Local	14	0	0	1	1	0	699	1	
jh159	Local	15	0	1	0	1	0	780	1	
jh159	Local	16	0	1	1	1	1	519	1	
jh159	Local	17	0	1	0	0	0	426	1	
jh159	Local	18	0	1	1	1	0	596	1	
jh159	Local	19	0	0	0	0	1	705	1	
jh159	Local	20	0	0	1	1	1	498	1	
jh159	Local	21	0	0	0	0	0	348	1	
jh159	Local	22	0	1	0	0	0	150	0	
jh159	Local	23	0	1	1	0	0	642	1	
jh159	Local	24	0	0	0	1	1	428	1	
jh159	Local	25	0	0	1	1	0	621	1	
jh159	Local	26	0	1	0	1	0	428	1	
jh159	Local	27	0	1	1	0	1	446	1	
jh159	Local	28	0	0	1	1	0	473	1	
jh159	Local	29	0	1	0	1	0	312	1	
jh159	Local	30	0	0	0	1	1	340	1	
jh159	Local	31	0	1	1	0	1	150	0	
jh159	Local	32	0	0	1	0	0	532	1	
jh159	Global	1	1	1	0	1	1	1530	1	
jh159	Global	2	1	0	1	0	1	150	0	
jh159	Global	3	1	1	1	1	1	699	1	
jh159	Global	4	1	1	0	1	1	371	1	
jh159	Global	5	1	1	1	0	1	326	1	
jh159	Global	6	1	0	1	1	1	397	1	
jh159	Global	7	1	1	1	0	1	395	1	
jh159	Global	8	1	0	0	1	1	329	1	
jh159	Global	9	1	0	0	1	1	319	1	
jh159	Global	10	1	0	0	0	0	276	1	
jh159	Global	11	1	1	0	0	1	308	1	
jh159	Global	12	1	1	1	1	1	608	1	
jh159	Global	13	1	0	1	0	0	150	0	
jh159	Global	14	1	1	1	0	1	150	0	
jh159	Global	15	1	0	0	1	0	416	1	
jh159	Global	16	1	1	1	0	0	600	1	
jh159	Global	17	1	1	0	0	0	382	1	
jh159	Global	18	1	0	1	1	1	150	0	
jh159	Global	19	1	0	1	1	0	565	1	
jh159	Global	20	1	1	1	0	0	327	1	
jh159	Global	21	1	0	0	0	1	382	1	
jh159	Global	22	1	0	0	0	1	402	1	
jh159	Global	23	1	0	1	1	0	425	1	
jh159	Global	24	1	0	0	1	1	498	1	
jh159	Global	25	1	1	0	1	1	412	1	
jh159	Global	26	1	0	0	1	1	324	1	
jh159	Global	27	1	1	1	1	0	418	1	
jh159	Global	28	1	1	0	0	1	506	1	
jh159	Global	29	1	0	1	0	1	380	1	
jh159	Global	30	1	0	1	1	1	497	1	
jh159	Global	31	1	1	0	0	1	362	1	
jh159	Global	32	1	1	0	0	1	388	1	
jh159	Local	1	1	0	0	1	0	552	1	
jh159	Local	2	1	1	1	0	1	150	0	
jh159	Local	3	1	1	1	0	1	643	1	
jh159	Local	4	1	1	1	1	1	374	1	
jh159	Local	5	1	1	1	0	1	385	1	
jh159	Local	6	1	1	0	0	0	150	0	
jh159	Local	7	1	1	0	0	1	530	1	
jh159	Local	8	1	1	0	1	0	335	1	
jh159	Local	9	1	1	0	0	0	351	1	
jh159	Local	10	1	1	1	0	0	320	1	
jh159	Local	11	1	0	1	1	1	343	1	
jh159	Local	12	1	0	0	1	0	438	1	
jh159	Local	13	1	1	0	1	1	354	1	
jh159	Local	14	1	1	1	1	0	347	1	
jh159	Local	15	1	0	1	0	0	443	1	
jh159	Local	16	1	0	1	1	1	430	1	
jh159	Local	17	1	1	1	0	0	312	1	
jh159	Local	18	1	0	1	0	1	332	1	
jh159	Local	19	1	0	1	1	1	386	1	
jh159	Local	20	1	0	1	1	1	327	1	
jh159	Local	21	1	0	0	1	1	333	1	
jh159	Local	22	1	0	0	0	0	150	0	
jh159	Local	23	1	0	1	1	0	330	1	
jh159	Local	24	1	0	0	0	0	328	1	
jh159	Local	25	1	0	0	1	0	334	1	
jh159	Local	26	1	0	0	0	1	150	0	
jh159	Local	27	1	1	1	1	0	150	0	
jh159	Local	28	1	0	0	1	1	674	1	
jh159	Local	29	1	0	0	1	1	319	1	
jh159	Local	30	1	0	1	0	1	350	1	
jh159	Local	31	1	0	0	0	0	367	1	
jh159	Local	32	1	0	0	0	0	370	1	
