SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ji128	Global	1	1	0	1	1	0	2537	1	
ji128	Global	2	1	1	0	1	1	899	1	
ji128	Global	3	1	0	0	0	1	579	1	
ji128	Global	4	1	0	1	0	1	1077	1	
ji128	Global	5	1	1	1	0	1	608	1	
ji128	Global	6	1	1	0	0	0	583	1	
ji128	Global	7	1	0	1	1	0	1491	1	
ji128	Global	8	1	1	0	1	1	1205	1	
ji128	Global	9	1	1	0	1	1	1287	1	
ji128	Global	10	1	0	1	0	1	587	1	
ji128	Global	11	1	0	1	1	0	663	1	
ji128	Global	12	1	1	1	1	0	707	1	
ji128	Global	13	1	0	0	1	1	699	1	
ji128	Global	14	1	0	0	0	0	524	1	
ji128	Global	15	1	0	0	1	1	537	1	
ji128	Global	16	1	1	0	0	0	440	1	
ji128	Global	17	1	0	1	1	0	931	1	
ji128	Global	18	1	1	1	0	1	942	1	
ji128	Global	19	1	1	0	0	1	795	1	
ji128	Global	20	1	1	1	0	0	631	1	
ji128	Global	21	1	0	1	1	0	1391	1	
ji128	Global	22	1	0	0	1	1	727	1	
ji128	Global	23	1	0	0	0	0	530	1	
ji128	Global	24	1	1	1	1	0	488	1	
ji128	Global	25	1	0	0	0	1	536	1	
ji128	Global	26	1	1	1	1	1	2767	1	
ji128	Global	27	1	0	1	0	1	1275	1	
ji128	Global	28	1	0	0	1	1	525	1	
ji128	Global	29	1	0	0	1	1	458	1	
ji128	Global	30	1	0	1	0	0	583	1	
ji128	Global	31	1	1	0	0	1	779	1	
ji128	Global	32	1	0	1	0	0	572	1	
ji128	Local	1	1	0	0	0	0	879	1	
ji128	Local	2	1	0	1	1	0	564	1	
ji128	Local	3	1	0	1	1	1	636	1	
ji128	Local	4	1	1	0	1	0	501	1	
ji128	Local	5	1	1	0	1	0	542	1	
ji128	Local	6	1	1	1	1	0	733	1	
ji128	Local	7	1	0	0	0	1	769	1	
ji128	Local	8	1	0	0	0	0	658	1	
ji128	Local	9	1	0	0	1	0	534	1	
ji128	Local	10	1	1	1	0	1	483	1	
ji128	Local	11	1	1	1	1	0	563	1	
ji128	Local	12	1	0	1	1	1	515	1	
ji128	Local	13	1	1	0	0	1	767	1	
ji128	Local	14	1	0	1	1	0	608	1	
ji128	Local	15	1	0	0	1	0	767	1	
ji128	Local	16	1	1	1	0	1	487	1	
ji128	Local	17	1	1	0	1	1	496	1	
ji128	Local	18	1	0	1	1	0	441	1	
ji128	Local	19	1	1	1	1	0	509	1	
ji128	Local	20	1	1	0	1	0	456	1	
ji128	Local	21	1	1	0	0	1	493	1	
ji128	Local	22	1	1	1	0	1	655	1	
ji128	Local	23	1	1	1	0	1	611	1	
ji128	Local	24	1	1	0	1	0	473	1	
ji128	Local	25	1	1	1	0	1	448	1	
ji128	Local	26	1	0	0	0	0	595	1	
ji128	Local	27	1	0	0	1	0	537	1	
ji128	Local	28	1	1	0	0	1	479	1	
