SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jm101	Global	1	0	0	0	1	1	1418	1	
jm101	Global	2	0	1	0	0	1	972	1	
jm101	Global	3	0	1	1	0	1	748	1	
jm101	Global	4	0	1	0	1	0	690	1	
jm101	Global	5	0	0	1	0	0	777	1	
jm101	Global	6	0	0	1	1	0	946	1	
jm101	Global	7	0	0	1	0	0	702	1	
jm101	Global	8	0	1	1	0	1	751	1	
jm101	Global	9	0	0	1	0	0	798	1	
jm101	Global	10	0	0	0	0	0	691	1	
jm101	Global	11	0	0	0	0	1	1074	1	
jm101	Global	12	0	1	1	1	0	669	1	
jm101	Global	13	0	0	1	0	0	898	1	
jm101	Global	14	0	1	1	1	0	826	1	
jm101	Global	15	0	1	1	0	0	674	1	
jm101	Global	16	0	1	0	1	1	719	1	
jm101	Global	17	0	0	0	1	1	897	1	
jm101	Global	18	0	0	1	1	1	633	1	
jm101	Global	19	0	1	0	1	1	706	1	
jm101	Global	20	0	0	1	0	1	706	1	
jm101	Global	21	0	0	0	0	1	443	1	
jm101	Global	22	0	0	0	1	1	470	1	
jm101	Global	23	0	0	0	0	1	1133	1	
jm101	Global	24	0	0	0	1	0	519	1	
jm101	Global	25	0	1	1	1	0	1410	1	
jm101	Global	26	0	1	0	1	1	747	1	
jm101	Global	27	0	0	1	1	0	737	1	
jm101	Global	28	0	1	1	1	1	1182	1	
jm101	Global	29	0	0	1	1	0	695	1	
jm101	Global	30	0	0	0	0	0	1207	1	
jm101	Global	31	0	1	0	0	0	753	1	
jm101	Global	32	0	1	0	0	1	641	1	
jm101	Local	1	0	0	0	1	1	1362	1	
jm101	Local	2	0	1	1	1	1	1054	1	
jm101	Local	3	0	0	1	1	1	704	1	
jm101	Local	4	0	1	1	0	0	1120	1	
jm101	Local	5	0	1	0	1	0	697	1	
jm101	Local	6	0	1	1	1	0	737	1	
jm101	Local	7	0	1	1	1	0	743	1	
jm101	Local	8	0	0	1	0	1	1116	1	
jm101	Local	9	0	1	0	1	0	773	1	
jm101	Local	10	0	1	1	1	1	830	1	
jm101	Local	11	0	1	0	1	0	589	1	
jm101	Local	12	0	0	1	0	1	753	1	
jm101	Local	13	0	1	0	1	0	624	1	
jm101	Local	14	0	1	1	1	1	857	1	
jm101	Local	15	0	1	0	1	0	811	1	
jm101	Local	16	0	1	0	0	1	729	1	
jm101	Local	17	0	0	0	0	1	1325	1	
jm101	Local	18	0	1	0	1	0	668	1	
jm101	Local	19	0	1	0	0	1	594	1	
jm101	Local	20	0	1	1	1	0	663	1	
jm101	Local	21	0	0	1	0	0	723	1	
jm101	Local	22	0	0	1	1	1	687	1	
jm101	Local	23	0	1	0	1	0	598	1	
jm101	Local	24	0	1	0	0	1	627	1	
jm101	Local	25	0	1	0	0	0	564	1	
jm101	Local	26	0	0	1	0	0	708	1	
jm101	Local	27	0	1	1	0	1	925	1	
jm101	Local	28	0	0	1	0	0	1480	1	
jm101	Local	29	0	1	0	0	0	729	1	
jm101	Local	30	0	1	0	0	1	789	1	
jm101	Local	31	0	1	1	0	0	567	1	
jm101	Local	32	0	1	0	0	0	569	1	
jm101	Global	1	1	0	1	1	1	1528	1	
jm101	Global	2	1	1	0	0	0	904	1	
jm101	Global	3	1	1	0	0	1	895	1	
jm101	Global	4	1	1	0	0	0	551	1	
jm101	Global	5	1	1	0	1	1	623	1	
jm101	Global	6	1	0	0	1	0	336	1	
jm101	Global	7	1	1	0	1	1	584	1	
jm101	Global	8	1	0	1	0	0	1427	1	
jm101	Global	9	1	0	1	0	0	871	1	
jm101	Global	10	1	1	0	0	0	700	1	
jm101	Global	11	1	1	0	1	0	628	1	
jm101	Global	12	1	1	1	1	0	749	1	
jm101	Global	13	1	0	0	0	1	739	1	
jm101	Global	14	1	1	0	1	1	1136	1	
jm101	Global	15	1	1	1	0	1	1834	1	
jm101	Global	16	1	1	1	1	0	684	1	
jm101	Global	17	1	1	1	0	1	979	1	
jm101	Global	18	1	0	1	0	1	1827	1	
jm101	Global	19	1	0	1	1	0	684	1	
jm101	Global	20	1	1	1	0	1	923	1	
jm101	Global	21	1	1	0	1	1	772	1	
jm101	Global	22	1	1	0	1	1	845	1	
jm101	Global	23	1	1	0	0	0	574	1	
