Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	0	1		0	1		
0	1.00	1.00	1.00	1.00	1.00	1.00	1.00
1	1.00	1.00	1.00	1.00	0.94	0.97	0.98
Grand Total	1.00	1.00	1.00	1.00	0.97	0.98	0.99
							
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94
575.4	640.1	602.3	681.9	662.4	732.9	569.6	616.3
							
							
							
rt	SDev	CCor	UCor				
575.4	100.2	16	16	0	0	0	
640.1	145.3	16	16	0	0	1	
602.3	106.7	16	16	0	1	0	
681.9	117	16	16	0	1	1	
662.4	140	16	16	1	0	0	
732.9	157.5	16	16	1	0	1	
569.6	102.4	16	16	1	1	0	
616.3	118.6	15	15	1	1	1	
