SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
jp121	Global	1	1	1	1	0	0	571	1	
jp121	Global	2	1	0	0	1	0	517	1	
jp121	Global	3	1	0	1	0	1	696	1	
jp121	Global	4	1	1	0	1	1	585	1	
jp121	Global	5	1	0	1	0	0	725	1	
jp121	Global	6	1	0	0	1	1	561	1	
jp121	Global	7	1	0	0	0	1	585	1	
jp121	Global	8	1	1	1	0	1	581	1	
jp121	Global	9	1	0	1	0	0	552	1	
jp121	Global	10	1	0	1	1	0	777	1	
jp121	Global	11	1	0	1	0	1	706	1	
jp121	Global	12	1	0	0	0	1	730	1	
jp121	Global	13	1	0	0	0	1	614	1	
jp121	Global	14	1	0	1	1	1	541	1	
jp121	Global	15	1	1	1	1	0	620	1	
jp121	Global	16	1	1	1	0	0	523	1	
jp121	Global	17	1	1	0	0	1	592	1	
jp121	Global	18	1	0	0	0	0	628	1	
jp121	Global	19	1	0	1	1	0	564	1	
jp121	Global	20	1	1	0	1	1	596	1	
jp121	Global	21	1	1	1	1	1	1018	1	
jp121	Global	22	1	1	1	1	1	630	1	
jp121	Global	23	1	0	0	1	1	583	1	
jp121	Global	24	1	1	0	1	0	531	1	
jp121	Global	25	1	1	0	0	0	488	1	
jp121	Global	26	1	1	0	1	0	456	1	
jp121	Global	27	1	0	1	0	1	677	1	
jp121	Global	28	1	0	0	1	1	514	1	
jp121	Global	29	1	0	1	1	0	542	1	
jp121	Global	30	1	1	0	0	1	852	1	
jp121	Global	31	1	1	0	0	0	439	1	
jp121	Global	32	1	1	1	1	1	698	1	
jp121	Local	1	1	0	1	1	1	150	0	
jp121	Local	2	1	0	0	0	1	601	1	
jp121	Local	3	1	1	1	1	1	150	0	
jp121	Local	4	1	1	0	1	1	150	0	
jp121	Local	5	1	0	1	1	1	150	0	
jp121	Local	6	1	0	0	0	1	419	1	
jp121	Local	7	1	0	0	0	0	435	1	
jp121	Local	8	1	1	0	0	1	444	1	
jp121	Local	9	1	1	0	1	1	575	1	
jp121	Local	10	1	0	1	0	1	150	0	
jp121	Local	11	1	1	0	1	1	523	1	
jp121	Local	12	1	0	0	1	0	584	1	
jp121	Local	13	1	0	1	0	1	150	0	
jp121	Local	14	1	1	1	0	1	150	0	
jp121	Local	15	1	0	1	1	0	150	0	
jp121	Local	16	1	0	1	0	1	150	0	
jp121	Local	17	1	1	1	0	0	150	0	
jp121	Local	18	1	0	0	0	0	526	1	
jp121	Local	19	1	1	1	0	1	150	0	
jp121	Local	20	1	1	0	1	0	575	1	
jp121	Local	21	1	0	1	1	1	150	0	
jp121	Local	22	1	1	1	0	0	150	0	
jp121	Local	23	1	0	1	1	1	150	0	
jp121	Local	24	1	1	0	1	0	750	1	
jp121	Local	25	1	1	0	1	1	787	1	
jp121	Local	26	1	0	1	0	0	150	0	
jp121	Local	27	1	0	0	1	1	576	1	
jp121	Local	28	1	0	1	1	1	150	0	
jp121	Local	29	1	1	0	0	1	587	1	
jp121	Local	30	1	0	0	0	0	454	1	
jp121	Local	31	1	0	1	1	1	150	0	
jp121	Local	32	1	0	0	0	1	546	1	
