SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
kb112	Global	1	0	1	0	1	0	790	1	
kb112	Global	2	0	1	0	0	0	784	1	
kb112	Global	3	0	0	1	1	0	755	1	
kb112	Global	4	0	0	1	1	1	722	1	
kb112	Global	5	0	1	0	0	0	676	1	
kb112	Global	6	0	1	0	1	0	570	1	
kb112	Global	7	0	1	1	1	0	676	1	
kb112	Global	8	0	0	0	0	1	809	1	
kb112	Global	9	0	1	0	1	1	911	1	
kb112	Global	10	0	0	1	1	1	720	1	
kb112	Global	11	0	1	0	0	1	667	1	
kb112	Global	12	0	0	1	1	0	744	1	
kb112	Global	13	0	1	1	1	1	710	1	
kb112	Global	14	0	1	0	0	0	704	1	
kb112	Global	15	0	1	1	1	1	665	1	
kb112	Global	16	0	0	0	0	0	597	1	
kb112	Global	17	0	1	1	0	0	754	1	
kb112	Global	18	0	0	1	0	1	641	1	
kb112	Global	19	0	0	0	1	0	667	1	
kb112	Global	20	0	1	0	1	1	641	1	
kb112	Global	21	0	1	1	1	1	739	1	
kb112	Global	22	0	1	1	0	0	609	1	
kb112	Global	23	0	0	1	0	0	695	1	
kb112	Global	24	0	0	0	1	0	568	1	
kb112	Global	25	0	0	1	0	1	642	1	
kb112	Global	26	0	1	0	0	0	580	1	
kb112	Global	27	0	1	1	0	0	648	1	
kb112	Global	28	0	0	0	1	1	642	1	
kb112	Global	29	0	1	0	1	0	748	1	
kb112	Global	30	0	1	1	0	0	674	1	
kb112	Global	31	0	1	0	0	0	655	1	
kb112	Global	32	0	1	1	0	1	619	1	
kb112	Local	1	0	1	1	0	0	1012	1	
kb112	Local	2	0	0	1	1	0	1081	1	
kb112	Local	3	0	1	0	1	0	900	1	
kb112	Local	4	0	1	1	0	1	948	1	
kb112	Local	5	0	0	1	0	0	150	0	
kb112	Local	6	0	1	0	1	1	150	0	
kb112	Local	7	0	0	1	1	0	150	0	
kb112	Local	8	0	1	0	0	0	901	1	
kb112	Local	9	0	0	1	0	1	1053	1	
kb112	Local	10	0	0	0	0	0	927	1	
kb112	Local	11	0	1	0	0	0	865	1	
kb112	Local	12	0	0	0	1	0	772	1	
kb112	Local	13	0	0	0	1	1	989	1	
kb112	Local	14	0	0	0	0	0	807	1	
kb112	Local	15	0	1	0	1	0	635	1	
kb112	Local	16	0	1	0	1	0	707	1	
kb112	Local	17	0	0	0	1	1	852	1	
kb112	Local	18	0	1	1	1	0	1015	1	
kb112	Local	19	0	0	0	0	0	891	1	
kb112	Local	20	0	0	1	1	0	150	0	
kb112	Local	21	0	1	0	0	0	846	1	
kb112	Local	22	0	1	0	0	0	871	1	
kb112	Local	23	0	0	1	1	0	1331	1	
kb112	Local	24	0	1	1	0	1	1244	1	
kb112	Local	25	0	1	1	0	0	1155	1	
kb112	Local	26	0	0	1	1	1	952	1	
kb112	Local	27	0	1	0	1	1	1237	1	
kb112	Local	28	0	0	0	0	0	858	1	
kb112	Local	29	0	0	1	0	0	1205	1	
kb112	Local	30	0	0	1	1	0	150	0	
kb112	Local	31	0	1	1	1	1	898	1	
kb112	Local	32	0	1	1	0	1	786	1	
kb112	Global	1	1	0	1	1	1	1166	1	
kb112	Global	2	1	0	1	0	1	979	1	
kb112	Global	3	1	1	1	0	1	851	1	
kb112	Global	4	1	0	0	0	1	860	1	
kb112	Global	5	1	0	0	1	1	871	1	
kb112	Global	6	1	1	0	1	1	811	1	
kb112	Global	7	1	1	1	0	1	841	1	
kb112	Global	8	1	1	0	0	0	714	1	
kb112	Global	9	1	1	0	0	1	716	1	
kb112	Global	10	1	1	0	1	0	671	1	
kb112	Global	11	1	1	1	1	1	708	1	
kb112	Global	12	1	0	0	0	0	631	1	
