SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
kg81	Global	1	1	0	0	1	1	1009	1	
kg81	Global	2	1	0	0	1	1	845	1	
kg81	Global	3	1	0	1	0	0	630	1	
kg81	Global	4	1	0	0	0	0	598	1	
kg81	Global	5	1	0	1	1	0	619	1	
kg81	Global	6	1	0	1	0	1	770	1	
kg81	Global	7	1	1	0	1	1	699	1	
kg81	Global	8	1	1	1	0	1	740	1	
kg81	Global	9	1	0	0	1	1	682	1	
kg81	Global	10	1	1	1	1	0	777	1	
kg81	Global	11	1	0	1	0	0	618	1	
kg81	Global	12	1	0	0	1	1	697	1	
kg81	Global	13	1	0	1	1	0	833	1	
kg81	Global	14	1	0	1	0	1	849	1	
kg81	Global	15	1	1	1	0	1	778	1	
kg81	Global	16	1	1	0	1	0	587	1	
kg81	Global	17	1	1	1	1	1	1694	1	
kg81	Global	18	1	0	1	0	1	736	1	
kg81	Global	19	1	0	1	0	1	788	1	
kg81	Global	20	1	0	0	0	1	575	1	
kg81	Global	21	1	1	1	1	0	633	1	
kg81	Global	22	1	0	0	0	1	1185	1	
kg81	Global	23	1	0	0	0	1	490	1	
kg81	Global	24	1	0	0	0	0	594	1	
kg81	Global	25	1	0	0	1	0	903	1	
kg81	Global	26	1	0	0	0	0	455	1	
kg81	Global	27	1	0	0	0	0	435	1	
kg81	Global	28	1	0	1	1	1	655	1	
kg81	Global	29	1	0	1	1	0	779	1	
kg81	Global	30	1	0	0	0	1	723	1	
kg81	Global	31	1	1	0	1	0	631	1	
kg81	Global	32	1	1	1	1	1	696	1	
kg81	Local	1	1	1	1	0	1	704	1	
kg81	Local	2	1	0	1	0	0	624	1	
kg81	Local	3	1	0	0	1	1	625	1	
kg81	Local	4	1	0	1	1	0	150	0	
kg81	Local	5	1	0	0	1	0	1231	1	
kg81	Local	6	1	0	0	0	0	620	1	
kg81	Local	7	1	1	0	1	1	835	1	
kg81	Local	8	1	1	1	0	1	738	1	
kg81	Local	9	1	1	1	0	0	952	1	
kg81	Local	10	1	1	0	0	1	764	1	
kg81	Local	11	1	0	1	1	0	540	1	
kg81	Local	12	1	1	1	1	1	866	1	
kg81	Local	13	1	1	0	1	1	535	1	
kg81	Local	14	1	0	1	1	1	540	1	
kg81	Local	15	1	0	0	0	1	467	1	
kg81	Local	16	1	0	1	0	1	585	1	
kg81	Local	17	1	1	1	1	1	541	1	
kg81	Local	18	1	0	0	1	1	435	1	
kg81	Local	19	1	0	0	0	0	631	1	
kg81	Local	20	1	1	1	0	1	1039	1	
kg81	Local	21	1	1	0	0	0	735	1	
kg81	Local	22	1	1	1	1	1	907	1	
kg81	Local	23	1	0	0	1	1	523	1	
kg81	Local	24	1	1	1	0	1	456	1	
kg81	Local	25	1	1	0	0	0	925	1	
kg81	Local	26	1	0	1	1	0	496	1	
kg81	Local	27	1	1	0	0	1	850	1	
kg81	Local	28	1	0	1	1	1	579	1	
kg81	Local	29	1	0	0	1	0	453	1	
kg81	Local	30	1	1	0	1	1	410	1	
kg81	Local	31	1	0	0	0	0	938	1	
kg81	Local	32	1	1	1	0	1	781	1	
kg81	Global	1	0	1	1	0	0	984	1	
kg81	Global	2	0	1	0	1	0	786	1	
kg81	Global	3	0	0	1	1	1	684	1	
kg81	Global	4	0	1	0	1	1	595	1	
kg81	Global	5	0	0	0	1	0	1056	1	
kg81	Global	6	0	1	1	0	1	762	1	
kg81	Global	7	0	0	0	1	1	625	1	
kg81	Global	8	0	1	0	0	1	914	1	
kg81	Global	9	0	0	0	0	1	939	1	
kg81	Global	10	0	1	0	0	0	712	1	
kg81	Global	11	0	0	0	0	0	1202	1	
kg81	Global	12	0	1	0	1	0	588	1	
kg81	Global	13	0	1	1	0	1	704	1	
kg81	Global	14	0	1	0	1	0	1105	1	
kg81	Global	15	0	0	0	0	0	783	1	
kg81	Global	16	0	0	1	1	1	666	1	
kg81	Global	17	0	0	0	0	1	150	0	
kg81	Global	18	0	0	1	1	0	1026	1	
kg81	Global	19	0	0	1	0	1	528	1	
kg81	Global	20	0	1	1	0	0	1037	1	
kg81	Global	21	0	1	0	0	1	492	1	
kg81	Global	22	0	1	1	1	1	1084	1	
kg81	Global	23	0	0	0	1	1	529	1	
kg81	Global	24	0	1	0	1	1	742	1	
kg81	Global	25	0	0	1	1	0	563	1	
kg81	Global	26	0	1	1	1	1	700	1	
kg81	Global	27	0	1	1	0	0	821	1	
kg81	Global	28	0	1	1	0	0	1114	1	
kg81	Global	29	0	1	1	1	1	962	1	
kg81	Global	30	0	0	0	0	1	769	1	
kg81	Global	31	0	1	1	0	1	970	1	
kg81	Global	32	0	0	1	1	0	657	1	
kg81	Local	1	0	0	1	0	1	1393	1	
kg81	Local	2	0	0	1	1	0	737	1	
kg81	Local	3	0	1	0	0	1	861	1	
kg81	Local	4	0	1	0	0	0	799	1	
kg81	Local	5	0	1	1	0	0	1068	1	
kg81	Local	6	0	0	0	0	0	567	1	
kg81	Local	7	0	1	1	1	1	785	1	
kg81	Local	8	0	1	0	0	1	771	1	
kg81	Local	9	0	1	1	1	0	836	1	
kg81	Local	10	0	1	1	1	0	868	1	
kg81	Local	11	0	1	0	1	0	680	1	
kg81	Local	12	0	0	0	1	0	775	1	
kg81	Local	13	0	0	0	0	1	1088	1	
kg81	Local	14	0	1	1	1	1	861	1	
kg81	Local	15	0	0	0	1	1	752	1	
kg81	Local	16	0	0	0	1	0	783	1	
kg81	Local	17	0	0	1	0	1	914	1	
kg81	Local	18	0	0	1	1	1	787	1	
kg81	Local	19	0	1	1	1	0	573	1	
kg81	Local	20	0	1	0	1	1	1151	1	
kg81	Local	21	0	1	0	1	0	555	1	
kg81	Local	22	0	0	1	0	1	627	1	
kg81	Local	23	0	0	1	0	0	844	1	
kg81	Local	24	0	0	0	1	0	685	1	
kg81	Local	25	0	1	0	0	1	684	1	
kg81	Local	26	0	0	1	1	0	779	1	
kg81	Local	27	0	1	0	1	1	700	1	
kg81	Local	28	0	1	0	0	0	621	1	
kg81	Local	29	0	1	1	0	1	796	1	
kg81	Local	30	0	0	1	0	0	752	1	
kg81	Local	31	0	0	0	0	0	583	1	
kg81	Local	32	0	1	1	0	0	579	1	
