Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	1.00	1.00	1.00	0.94	0.97	0.98
Grand Total	1.00	1.00	1.00	1.00	0.97	0.98	0.99
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94
384.3	447.1	442.3	513	467.9	475.4	465.9	477.9
							
							
							
rt	SDev	CCor	UCor				
384.3	29.93	14	16	0	0	0	
447.1	89.75	16	16	0	0	1	
442.3	60.34	15	16	0	1	0	
513	68.3	16	16	0	1	1	
467.9	46.3	14	16	1	0	0	
475.4	42.03	16	16	1	0	1	
465.9	54.53	15	16	1	1	0	
477.9	78.13	15	15	1	1	1	
