SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
la153	Global	1	0	1	0	0	0	848	1	
la153	Global	2	0	1	1	1	0	361	1	
la153	Global	3	0	0	1	0	1	322	1	
la153	Global	4	0	1	0	0	1	320	1	
la153	Global	5	0	1	0	1	1	423	1	
la153	Global	6	0	0	1	0	1	150	0	
la153	Global	7	0	0	0	0	1	515	1	
la153	Global	8	0	0	1	1	1	391	1	
la153	Global	9	0	0	0	0	1	372	1	
la153	Global	10	0	1	1	0	0	343	1	
la153	Global	11	0	1	0	1	1	654	1	
la153	Global	12	0	1	0	0	0	482	1	
la153	Global	13	0	1	1	1	0	370	1	
la153	Global	14	0	1	0	0	0	373	1	
la153	Global	15	0	0	0	1	1	353	1	
la153	Global	16	0	0	1	1	0	378	1	
la153	Global	17	0	1	0	0	1	359	1	
la153	Global	18	0	1	0	1	1	312	1	
la153	Global	19	0	1	0	1	0	349	1	
la153	Global	20	0	0	1	1	1	396	1	
la153	Global	21	0	1	1	1	0	323	1	
la153	Global	22	0	0	1	0	1	385	1	
la153	Global	23	0	1	0	1	0	502	1	
la153	Global	24	0	1	0	1	1	279	1	
la153	Global	25	0	0	1	0	1	433	1	
la153	Global	26	0	1	1	0	1	458	1	
la153	Global	27	0	0	1	1	1	367	1	
la153	Global	28	0	0	1	0	0	578	1	
la153	Global	29	0	1	1	1	1	548	1	
la153	Global	30	0	0	0	0	0	827	1	
la153	Global	31	0	0	0	1	0	410	1	
la153	Global	32	0	1	1	0	0	394	1	
la153	Local	1	0	0	1	1	1	608	1	
la153	Local	2	0	0	1	1	1	559	1	
la153	Local	3	0	0	0	1	1	463	1	
la153	Local	4	0	0	0	0	1	420	1	
la153	Local	5	0	1	1	0	0	620	1	
la153	Local	6	0	1	0	1	0	467	1	
la153	Local	7	0	1	0	1	0	402	1	
la153	Local	8	0	0	1	0	0	704	1	
la153	Local	9	0	0	0	0	1	433	1	
la153	Local	10	0	0	1	0	1	754	1	
la153	Local	11	0	0	0	1	1	394	1	
la153	Local	12	0	1	0	0	0	448	1	
la153	Local	13	0	0	0	0	0	467	1	
la153	Local	14	0	1	1	1	1	682	1	
la153	Local	15	0	0	1	0	0	537	1	
la153	Local	16	0	0	1	1	0	150	0	
la153	Local	17	0	0	1	0	0	643	1	
la153	Local	18	0	0	0	0	1	437	1	
la153	Local	19	0	1	1	1	1	424	1	
la153	Local	20	0	0	0	1	0	434	1	
la153	Local	21	0	0	1	1	0	548	1	
la153	Local	22	0	1	0	0	0	418	1	
la153	Local	23	0	0	1	1	0	490	1	
la153	Local	24	0	1	1	1	1	443	1	
la153	Local	25	0	1	0	0	0	574	1	
la153	Local	26	0	0	0	1	0	416	1	
la153	Local	27	0	1	0	1	1	432	1	
la153	Local	28	0	0	1	0	0	657	1	
la153	Local	29	0	0	1	0	0	413	1	
la153	Local	30	0	1	0	1	0	413	1	
la153	Local	31	0	1	0	0	1	541	1	
la153	Local	32	0	0	1	0	1	420	1	
la153	Global	1	1	0	0	0	0	609	1	
la153	Global	2	1	1	0	0	0	448	1	
la153	Global	3	1	1	1	1	0	150	0	
la153	Global	4	1	1	1	1	0	440	1	
la153	Global	5	1	1	1	0	0	579	1	
la153	Global	6	1	0	1	0	0	663	1	
la153	Global	7	1	0	1	1	0	347	1	
la153	Global	8	1	1	1	0	1	150	0	
la153	Global	9	1	1	1	1	1	746	1	
la153	Global	10	1	1	1	0	1	712	1	
la153	Global	11	1	1	0	0	0	674	1	
la153	Global	12	1	0	0	0	1	432	1	
la153	Global	13	1	1	0	1	1	345	1	
la153	Global	14	1	0	0	1	0	865	1	
la153	Global	15	1	1	0	1	1	412	1	
la153	Global	16	1	0	0	1	0	548	1	
la153	Global	17	1	0	1	1	1	150	0	
la153	Global	18	1	1	0	0	1	545	1	
la153	Global	19	1	1	0	0	1	336	1	
la153	Global	20	1	1	0	0	1	343	1	
la153	Global	21	1	1	1	0	1	655	1	
la153	Global	22	1	0	0	1	0	419	1	
la153	Global	23	1	0	1	0	0	483	1	
la153	Global	24	1	1	1	1	1	531	1	
la153	Global	25	1	1	1	1	1	656	1	
la153	Global	26	1	1	0	1	0	468	1	
la153	Global	27	1	1	0	1	0	418	1	
la153	Global	28	1	1	1	0	0	538	1	
la153	Global	29	1	0	0	1	1	425	1	
la153	Global	30	1	0	1	0	1	723	1	
la153	Global	31	1	1	0	0	0	607	1	
la153	Global	32	1	0	1	1	0	628	1	
la153	Local	1	1	1	1	1	1	512	1	
la153	Local	2	1	0	0	0	1	483	1	
la153	Local	3	1	0	0	0	0	507	1	
la153	Local	4	1	0	1	1	0	487	1	
la153	Local	5	1	1	0	1	0	359	1	
la153	Local	6	1	1	1	0	1	150	0	
la153	Local	7	1	1	1	1	1	586	1	
la153	Local	8	1	0	0	1	1	357	1	
la153	Local	9	1	0	1	1	1	423	1	
la153	Local	10	1	1	1	0	0	625	1	
la153	Local	11	1	0	1	0	1	457	1	
la153	Local	12	1	1	1	0	1	390	1	
la153	Local	13	1	0	0	1	0	523	1	
la153	Local	14	1	0	1	0	0	432	1	
la153	Local	15	1	0	1	1	0	497	1	
la153	Local	16	1	0	1	1	1	427	1	
la153	Local	17	1	0	0	1	1	317	1	
la153	Local	18	1	1	0	0	1	401	1	
la153	Local	19	1	0	0	1	0	384	1	
la153	Local	20	1	0	1	0	1	460	1	
la153	Local	21	1	1	1	0	1	361	1	
la153	Local	22	1	0	0	0	1	355	1	
la153	Local	23	1	0	0	0	0	436	1	
la153	Local	24	1	1	0	0	0	399	1	
la153	Local	25	1	1	1	0	0	542	1	
