SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
lc119	Global	1	1	0	1	0	0	981	1	
lc119	Global	2	1	1	0	1	1	1036	1	
lc119	Global	3	1	0	0	0	1	451	1	
lc119	Global	4	1	0	1	0	0	150	0	
lc119	Global	5	1	0	1	1	0	737	1	
lc119	Global	6	1	0	0	1	1	727	1	
lc119	Global	7	1	1	0	1	1	443	1	
lc119	Global	8	1	1	0	1	1	406	1	
lc119	Global	9	1	0	0	1	0	660	1	
lc119	Global	10	1	0	1	1	0	680	1	
lc119	Global	11	1	0	1	1	1	150	0	
lc119	Global	12	1	1	0	0	0	505	1	
lc119	Global	13	1	1	1	0	1	1074	1	
lc119	Global	14	1	0	1	0	1	766	1	
lc119	Global	15	1	1	1	1	0	647	1	
lc119	Global	16	1	1	1	1	0	617	1	
lc119	Global	17	1	1	1	0	0	440	1	
lc119	Global	18	1	0	0	0	0	403	1	
lc119	Global	19	1	1	0	0	1	841	1	
lc119	Global	20	1	0	1	0	0	538	1	
lc119	Global	21	1	0	1	1	1	150	0	
lc119	Global	22	1	1	0	1	1	694	1	
lc119	Global	23	1	1	1	1	0	607	1	
lc119	Global	24	1	1	0	0	1	516	1	
lc119	Global	25	1	1	1	1	1	624	1	
lc119	Global	26	1	1	0	1	0	520	1	
lc119	Global	27	1	1	0	1	0	516	1	
lc119	Global	28	1	0	0	0	0	495	1	
lc119	Global	29	1	0	1	0	1	769	1	
lc119	Global	30	1	0	0	0	0	522	1	
lc119	Global	31	1	0	0	0	1	695	1	
lc119	Global	32	1	0	1	0	1	1024	1	
lc119	Local	1	1	1	0	1	0	501	1	
lc119	Local	2	1	1	1	0	1	494	1	
lc119	Local	3	1	1	0	0	1	400	1	
lc119	Local	4	1	0	1	1	1	422	1	
lc119	Local	5	1	0	0	1	1	360	1	
lc119	Local	6	1	1	0	0	1	378	1	
lc119	Local	7	1	0	1	0	0	573	1	
lc119	Local	8	1	0	0	1	1	439	1	
lc119	Local	9	1	1	0	1	1	370	1	
lc119	Local	10	1	1	1	0	1	373	1	
lc119	Local	11	1	0	1	1	0	528	1	
lc119	Local	12	1	1	1	0	0	373	1	
lc119	Local	13	1	1	0	0	1	472	1	
lc119	Local	14	1	1	1	0	1	407	1	
lc119	Local	15	1	1	1	0	0	150	0	
lc119	Local	16	1	0	0	0	0	556	1	
lc119	Local	17	1	0	0	1	0	428	1	
lc119	Local	18	1	0	0	0	0	422	1	
lc119	Local	19	1	0	0	1	1	599	1	
lc119	Local	20	1	1	0	0	0	533	1	
lc119	Local	21	1	1	1	1	0	410	1	
lc119	Local	22	1	1	1	1	0	474	1	
lc119	Local	23	1	0	0	1	1	552	1	
lc119	Local	24	1	0	1	1	0	552	1	
lc119	Local	25	1	1	1	0	1	457	1	
lc119	Local	26	1	0	0	1	1	462	1	
lc119	Local	27	1	0	0	0	1	363	1	
lc119	Local	28	1	0	1	1	0	500	1	
lc119	Local	29	1	1	1	0	1	470	1	
lc119	Local	30	1	0	1	1	0	556	1	
lc119	Local	31	1	0	1	1	0	501	1	
lc119	Local	32	1	0	0	0	1	494	1	
lc119	Global	1	0	1	1	1	0	1338	1	
lc119	Global	2	0	0	1	0	1	755	1	
lc119	Global	3	0	0	0	0	1	570	1	
lc119	Global	4	0	1	0	1	0	492	1	
lc119	Global	5	0	0	0	0	1	500	1	
lc119	Global	6	0	0	1	0	0	630	1	
lc119	Global	7	0	1	0	0	0	479	1	
lc119	Global	8	0	0	1	0	1	527	1	
lc119	Global	9	0	1	0	0	1	476	1	
lc119	Global	10	0	1	1	1	0	546	1	
lc119	Global	11	0	0	1	1	1	1161	1	
lc119	Global	12	0	1	1	1	1	902	1	
lc119	Global	13	0	0	0	1	0	598	1	
lc119	Global	14	0	1	0	1	0	723	1	
lc119	Global	15	0	1	0	1	0	615	1	
lc119	Global	16	0	1	1	0	0	598	1	
lc119	Global	17	0	1	0	1	0	483	1	
lc119	Global	18	0	1	0	1	0	428	1	
lc119	Global	19	0	0	1	0	0	597	1	
lc119	Global	20	0	1	0	0	1	498	1	
lc119	Global	21	0	0	1	0	0	588	1	
lc119	Global	22	0	0	0	1	0	448	1	
lc119	Global	23	0	0	1	1	1	587	1	
lc119	Global	24	0	0	0	1	1	383	1	
lc119	Global	25	0	1	0	0	0	475	1	
lc119	Global	26	0	0	1	0	0	1434	1	
lc119	Global	27	0	1	1	1	0	534	1	
lc119	Global	28	0	1	0	0	0	467	1	
lc119	Global	29	0	1	1	1	1	618	1	
lc119	Global	30	0	0	0	0	1	505	1	
lc119	Global	31	0	0	1	0	1	658	1	
lc119	Global	32	0	1	1	1	1	502	1	
lc119	Local	1	0	1	0	0	0	1183	1	
lc119	Local	2	0	1	1	1	0	150	0	
lc119	Local	3	0	0	1	1	1	1434	1	
lc119	Local	4	0	1	1	0	0	654	1	
lc119	Local	5	0	0	1	0	1	898	1	
lc119	Local	6	0	1	0	0	0	545	1	
lc119	Local	7	0	1	1	1	1	496	1	
lc119	Local	8	0	1	0	0	1	442	1	
lc119	Local	9	0	0	1	1	0	573	1	
lc119	Local	10	0	0	0	0	1	150	0	
lc119	Local	11	0	0	1	0	0	596	1	
lc119	Local	12	0	0	1	0	0	513	1	
lc119	Local	13	0	1	0	1	1	573	1	
lc119	Local	14	0	1	0	1	1	471	1	
lc119	Local	15	0	0	1	1	0	525	1	
lc119	Local	16	0	0	1	1	0	458	1	
lc119	Local	17	0	1	1	0	0	447	1	
lc119	Local	18	0	1	0	1	1	498	1	
lc119	Local	19	0	1	0	1	1	556	1	
lc119	Local	20	0	0	0	0	1	693	1	
lc119	Local	21	0	0	1	0	1	492	1	
lc119	Local	22	0	1	0	1	0	460	1	
lc119	Local	23	0	0	0	0	1	561	1	
lc119	Local	24	0	1	0	0	0	529	1	
lc119	Local	25	0	1	1	1	1	518	1	
lc119	Local	26	0	1	0	0	0	1170	1	
lc119	Local	27	0	0	0	1	0	496	1	
lc119	Local	28	0	1	1	0	0	474	1	
lc119	Local	29	0	0	0	1	1	489	1	
lc119	Local	30	0	1	1	1	0	150	0	
lc119	Local	31	0	1	1	0	0	542	1	
lc119	Local	32	0	1	0	1	0	349	1	
