SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
le116	Global	1	0	1	0	1	0	1392	1	
le116	Global	2	0	0	0	0	1	599	1	
le116	Global	3	0	0	0	1	1	492	1	
le116	Global	4	0	1	0	0	1	500	1	
le116	Global	5	0	0	1	1	1	510	1	
le116	Global	6	0	0	0	0	1	497	1	
le116	Global	7	0	0	0	1	1	579	1	
le116	Global	8	0	1	0	0	0	535	1	
le116	Global	9	0	1	1	0	1	532	1	
le116	Global	10	0	1	0	0	0	681	1	
le116	Global	11	0	0	1	0	0	520	1	
le116	Global	12	0	0	1	1	1	596	1	
le116	Global	13	0	0	0	0	0	601	1	
le116	Global	14	0	0	0	1	1	558	1	
le116	Global	15	0	1	0	1	0	486	1	
le116	Global	16	0	0	1	1	1	535	1	
le116	Global	17	0	0	1	1	0	540	1	
le116	Global	18	0	1	0	0	0	666	1	
le116	Global	19	0	1	1	0	0	832	1	
le116	Global	20	0	1	0	1	0	503	1	
le116	Global	21	0	0	0	1	1	785	1	
le116	Global	22	0	1	1	0	0	412	1	
le116	Global	23	0	0	1	0	1	564	1	
le116	Global	24	0	0	0	1	0	636	1	
le116	Global	25	0	0	1	1	0	469	1	
le116	Global	26	0	0	1	1	1	803	1	
le116	Global	27	0	1	1	0	0	567	1	
le116	Global	28	0	0	1	1	1	721	1	
le116	Global	29	0	0	0	0	1	588	1	
le116	Global	30	0	1	1	1	1	647	1	
le116	Global	31	0	0	1	0	1	545	1	
le116	Global	32	0	0	1	0	1	576	1	
le116	Local	1	0	1	0	1	0	863	1	
le116	Local	2	0	1	1	0	0	906	1	
le116	Local	3	0	0	0	1	0	650	1	
le116	Local	4	0	0	0	1	0	668	1	
le116	Local	5	0	1	1	0	0	1009	1	
le116	Local	6	0	0	1	1	1	757	1	
le116	Local	7	0	0	0	0	0	604	1	
le116	Local	8	0	1	1	1	1	569	1	
le116	Local	9	0	1	0	1	1	683	1	
le116	Local	10	0	1	0	1	0	530	1	
le116	Local	11	0	1	1	1	1	807	1	
le116	Local	12	0	0	0	0	0	787	1	
le116	Local	13	0	1	1	0	1	534	1	
le116	Local	14	0	0	0	0	0	555	1	
le116	Local	15	0	1	1	0	0	803	1	
le116	Local	16	0	0	0	1	1	840	1	
le116	Local	17	0	1	0	0	1	545	1	
le116	Local	18	0	0	0	0	1	615	1	
le116	Local	19	0	0	0	0	1	574	1	
le116	Local	20	0	0	0	1	0	520	1	
le116	Local	21	0	0	1	0	1	724	1	
le116	Local	22	0	0	1	1	0	720	1	
le116	Local	23	0	0	0	0	1	562	1	
le116	Local	24	0	1	1	0	0	666	1	
le116	Local	25	0	0	1	1	0	712	1	
le116	Local	26	0	0	1	1	1	778	1	
le116	Local	27	0	1	0	0	1	683	1	
le116	Local	28	0	0	1	1	1	650	1	
le116	Local	29	0	0	0	1	1	564	1	
le116	Local	30	0	1	1	0	0	670	1	
le116	Local	31	0	1	1	1	0	1020	1	
le116	Local	32	0	0	1	0	1	697	1	
le116	Global	1	1	1	1	1	1	1204	1	
le116	Global	2	1	1	0	0	0	838	1	
le116	Global	3	1	1	0	0	0	599	1	
le116	Global	4	1	0	1	0	0	580	1	
le116	Global	5	1	0	0	1	1	600	1	
le116	Global	6	1	1	0	1	0	477	1	
le116	Global	7	1	1	1	0	0	820	1	
le116	Global	8	1	0	1	0	0	721	1	
le116	Global	9	1	1	1	1	1	788	1	
le116	Global	10	1	1	1	0	1	918	1	
le116	Global	11	1	1	1	0	1	728	1	
le116	Global	12	1	1	0	1	1	596	1	
le116	Global	13	1	0	1	0	0	625	1	
le116	Global	14	1	1	1	0	1	1089	1	
le116	Global	15	1	1	1	1	0	582	1	
le116	Global	16	1	0	1	0	1	674	1	
le116	Global	17	1	1	0	0	0	503	1	
le116	Global	18	1	0	1	1	0	753	1	
le116	Global	19	1	0	1	1	1	592	1	
le116	Global	20	1	0	0	1	0	988	1	
le116	Global	21	1	0	0	0	0	486	1	
le116	Global	22	1	1	1	1	0	502	1	
le116	Global	23	1	1	0	0	1	520	1	
le116	Global	24	1	1	0	0	1	627	1	
le116	Global	25	1	1	0	1	0	652	1	
le116	Global	26	1	1	1	1	1	631	1	
le116	Global	27	1	1	0	1	1	1128	1	
le116	Global	28	1	0	0	0	0	642	1	
le116	Global	29	1	0	0	0	0	708	1	
le116	Global	30	1	1	0	1	1	685	1	
le116	Global	31	1	0	1	1	1	692	1	
le116	Global	32	1	1	0	1	1	531	1	
le116	Local	1	1	1	1	0	1	1391	1	
le116	Local	2	1	1	1	0	0	1022	1	
le116	Local	3	1	0	0	1	0	507	1	
le116	Local	4	1	1	0	1	1	583	1	
le116	Local	5	1	1	0	0	0	570	1	
le116	Local	6	1	1	1	1	1	740	1	
le116	Local	7	1	1	1	0	0	1034	1	
le116	Local	8	1	0	0	1	1	976	1	
le116	Local	9	1	1	0	0	0	608	1	
le116	Local	10	1	0	0	0	1	919	1	
le116	Local	11	1	0	0	0	1	744	1	
le116	Local	12	1	0	1	0	1	934	1	
le116	Local	13	1	0	1	1	1	777	1	
le116	Local	14	1	1	1	1	0	778	1	
le116	Local	15	1	1	0	1	1	619	1	
le116	Local	16	1	0	0	1	1	682	1	
le116	Local	17	1	1	0	1	1	537	1	
le116	Local	18	1	0	0	0	0	503	1	
le116	Local	19	1	1	1	1	1	641	1	
le116	Local	20	1	0	1	0	0	1011	1	
le116	Local	21	1	1	1	1	0	1168	1	
le116	Local	22	1	1	1	0	0	1095	1	
le116	Local	23	1	1	1	0	0	852	1	
le116	Local	24	1	1	1	1	1	614	1	
le116	Local	25	1	0	0	0	1	821	1	
le116	Local	26	1	1	0	0	0	150	0	
le116	Local	27	1	0	0	0	0	874	1	
le116	Local	28	1	1	0	1	1	718	1	
le116	Local	29	1	0	1	1	0	1089	1	
le116	Local	30	1	0	0	1	0	582	1	
le116	Local	31	1	0	1	0	0	657	1	
le116	Local	32	1	0	1	1	1	645	1	
