Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
0	1.00	1.00	1.00	1.00	1.00	1.00	1.00
1	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Grand Total	1.00	1.00	1.00	1.00	1.00	1.00	1.00
							
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
628.70	677.00	811.50	900.50	724.00	808.10	769.60	800.10
							
rt	SDev	CCor	UCor				
628.70	81.45	14	16	0	0	0	
677.00	158.9	16	16	0	0	1	
811.50	190.6	16	16	0	1	0	
900.50	154.8	16	16	0	1	1	
724.00	117.1	16	16	1	0	0	
808.10	142.7	16	16	1	0	1	
769.60	201.1	16	16	1	1	0	
800.10	162.7	16	16	1	1	1	
