SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
lh59	Global	1	0	1	1	0	0	1065	1	
lh59	Global	2	0	1	1	0	0	931	1	
lh59	Global	3	0	1	1	1	1	918	1	
lh59	Global	4	0	0	0	0	0	951	1	
lh59	Global	5	0	1	0	1	1	804	1	
lh59	Global	6	0	0	0	1	0	792	1	
lh59	Global	7	0	1	1	0	0	603	1	
lh59	Global	8	0	0	1	1	0	600	1	
lh59	Global	9	0	1	0	0	0	605	1	
lh59	Global	10	0	0	1	0	0	778	1	
lh59	Global	11	0	1	1	0	1	691	1	
lh59	Global	12	0	0	0	1	1	642	1	
lh59	Global	13	0	1	0	0	1	693	1	
lh59	Global	14	0	0	0	1	0	580	1	
lh59	Global	15	0	0	0	0	0	615	1	
lh59	Global	16	0	0	0	0	1	558	1	
lh59	Global	17	0	0	1	0	0	599	1	
lh59	Global	18	0	1	0	0	1	612	1	
lh59	Global	19	0	1	0	1	1	627	1	
lh59	Global	20	0	0	0	1	1	547	1	
lh59	Global	21	0	1	0	1	0	578	1	
lh59	Global	22	0	1	1	1	0	612	1	
lh59	Global	23	0	0	1	1	0	555	1	
lh59	Global	24	0	1	0	0	1	547	1	
lh59	Global	25	0	0	1	1	0	586	1	
lh59	Global	26	0	0	1	0	1	574	1	
lh59	Global	27	0	1	1	0	0	608	1	
lh59	Global	28	0	1	1	1	1	566	1	
lh59	Global	29	0	0	0	0	1	552	1	
lh59	Global	30	0	1	1	1	0	553	1	
lh59	Global	31	0	1	1	1	1	593	1	
lh59	Global	32	0	0	0	1	0	597	1	
lh59	Local	1	0	0	1	0	0	798	1	
lh59	Local	2	0	1	1	0	1	1034	1	
lh59	Local	3	0	0	1	0	1	728	1	
lh59	Local	4	0	1	1	1	0	812	1	
lh59	Local	5	0	0	1	1	0	714	1	
lh59	Local	6	0	1	1	0	0	652	1	
lh59	Local	7	0	0	0	0	0	680	1	
lh59	Local	8	0	0	0	0	1	751	1	
lh59	Local	9	0	1	0	1	0	950	1	
lh59	Local	10	0	0	1	1	0	779	1	
lh59	Local	11	0	0	1	1	1	644	1	
lh59	Local	12	0	1	0	0	0	606	1	
lh59	Local	13	0	0	0	1	0	587	1	
lh59	Local	14	0	0	1	1	0	687	1	
lh59	Local	15	0	1	0	1	1	734	1	
lh59	Local	16	0	1	0	0	0	706	1	
lh59	Local	17	0	0	0	0	0	659	1	
