SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ll218	Global	1	0	0	1	1	0	631	1	
ll218	Global	2	0	1	0	1	1	488	1	
ll218	Global	3	0	1	0	0	0	424	1	
ll218	Global	4	0	0	1	0	0	450	1	
ll218	Global	5	0	1	0	0	1	823	1	
ll218	Global	6	0	0	1	0	0	444	1	
ll218	Global	7	0	1	0	1	0	384	1	
ll218	Global	8	0	0	1	1	0	364	1	
ll218	Global	9	0	1	1	1	0	376	1	
ll218	Global	10	0	0	1	1	0	475	1	
ll218	Global	11	0	1	0	1	0	377	1	
ll218	Global	12	0	1	1	0	0	468	1	
ll218	Global	13	0	0	0	0	1	659	1	
ll218	Global	14	0	0	0	1	0	462	1	
ll218	Global	15	0	1	0	1	1	763	1	
ll218	Global	16	0	0	0	0	0	419	1	
ll218	Global	17	0	1	1	0	1	571	1	
ll218	Global	18	0	1	0	1	0	389	1	
ll218	Global	19	0	0	0	1	0	401	1	
ll218	Global	20	0	0	1	0	1	150	0	
ll218	Global	21	0	0	1	1	0	519	1	
ll218	Global	22	0	0	0	0	0	427	1	
ll218	Global	23	0	1	1	1	1	412	1	
ll218	Global	24	0	1	1	1	1	484	1	
ll218	Global	25	0	0	0	1	0	412	1	
ll218	Global	26	0	0	1	1	0	460	1	
ll218	Global	27	0	0	0	0	1	441	1	
ll218	Global	28	0	0	0	0	1	516	1	
ll218	Global	29	0	0	1	0	0	648	1	
ll218	Global	30	0	1	1	0	1	490	1	
ll218	Global	31	0	0	1	0	1	570	1	
ll218	Global	32	0	0	0	0	0	404	1	
ll218	Local	1	0	0	1	1	0	150	0	
ll218	Local	2	0	0	1	0	1	631	1	
ll218	Local	3	0	1	0	0	1	720	1	
ll218	Local	4	0	0	1	1	1	602	1	
ll218	Local	5	0	1	0	1	0	479	1	
ll218	Local	6	0	0	0	0	0	440	1	
ll218	Local	7	0	1	1	1	1	611	1	
ll218	Local	8	0	1	1	0	1	594	1	
ll218	Local	9	0	0	1	0	1	439	1	
ll218	Local	10	0	0	1	1	1	434	1	
ll218	Local	11	0	1	0	0	1	444	1	
ll218	Local	12	0	0	1	0	1	447	1	
ll218	Local	13	0	0	1	0	0	586	1	
ll218	Local	14	0	0	0	1	1	558	1	
ll218	Local	15	0	1	0	0	1	542	1	
ll218	Local	16	0	0	1	0	0	421	1	
ll218	Local	17	0	0	0	0	0	423	1	
ll218	Local	18	0	1	1	0	0	552	1	
ll218	Local	19	0	1	1	1	1	150	0	
ll218	Local	20	0	0	0	1	0	452	1	
ll218	Local	21	0	0	0	1	1	753	1	
ll218	Local	22	0	1	0	1	1	150	0	
ll218	Local	23	0	1	1	1	1	586	1	
ll218	Local	24	0	1	0	1	1	429	1	
ll218	Local	25	0	0	0	1	1	399	1	
ll218	Local	26	0	1	0	0	0	365	1	
ll218	Local	27	0	0	1	1	0	424	1	
ll218	Local	28	0	1	0	0	0	370	1	
ll218	Local	29	0	1	1	1	0	581	1	
ll218	Local	30	0	0	1	0	1	521	1	
ll218	Local	31	0	1	0	0	0	516	1	
ll218	Local	32	0	0	0	1	1	608	1	
