SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ln110	Global	1	0	1	0	1	0	1087	1	
ln110	Global	2	0	1	0	0	0	532	1	
ln110	Global	3	0	0	1	1	0	593	1	
ln110	Global	4	0	1	0	0	1	687	1	
ln110	Global	5	0	1	0	0	0	550	1	
ln110	Global	6	0	0	0	0	1	604	1	
ln110	Global	7	0	0	0	1	0	770	1	
ln110	Global	8	0	0	0	1	0	547	1	
ln110	Global	9	0	0	0	1	1	833	1	
ln110	Global	10	0	0	0	0	1	593	1	
ln110	Global	11	0	1	1	1	0	500	1	
ln110	Global	12	0	0	1	0	1	662	1	
ln110	Global	13	0	1	0	1	0	738	1	
ln110	Global	14	0	0	1	0	1	552	1	
ln110	Global	15	0	0	0	0	0	624	1	
ln110	Global	16	0	1	1	0	0	752	1	
ln110	Global	17	0	0	1	1	0	592	1	
ln110	Global	18	0	1	0	1	1	587	1	
ln110	Global	19	0	0	1	1	0	623	1	
ln110	Global	20	0	1	1	1	1	816	1	
ln110	Global	21	0	0	1	1	1	565	1	
ln110	Global	22	0	1	1	0	0	695	1	
ln110	Global	23	0	1	1	0	1	720	1	
ln110	Global	24	0	0	0	1	0	570	1	
ln110	Global	25	0	1	1	0	0	516	1	
ln110	Global	26	0	0	0	0	0	536	1	
ln110	Global	27	0	0	1	0	0	511	1	
ln110	Global	28	0	1	1	1	0	554	1	
ln110	Global	29	0	0	0	0	1	618	1	
ln110	Global	30	0	1	1	0	0	537	1	
ln110	Global	31	0	0	1	1	0	896	1	
ln110	Global	32	0	1	0	1	1	664	1	
ln110	Local	1	0	1	0	0	1	1288	1	
ln110	Local	2	0	0	1	1	1	1124	1	
ln110	Local	3	0	1	1	1	0	940	1	
ln110	Local	4	0	0	0	0	0	768	1	
ln110	Local	5	0	0	1	0	1	873	1	
ln110	Local	6	0	0	1	1	1	790	1	
ln110	Local	7	0	1	0	0	0	664	1	
ln110	Local	8	0	0	1	0	1	812	1	
ln110	Local	9	0	0	0	1	0	706	1	
ln110	Local	10	0	1	1	0	1	955	1	
ln110	Local	11	0	1	0	0	1	913	1	
ln110	Local	12	0	0	1	0	1	610	1	
ln110	Local	13	0	1	1	1	0	857	1	
ln110	Local	14	0	1	1	1	1	772	1	
ln110	Local	15	0	0	0	0	1	821	1	
ln110	Local	16	0	1	0	0	0	626	1	
ln110	Local	17	0	0	1	0	1	659	1	
ln110	Local	18	0	1	0	1	0	599	1	
ln110	Local	19	0	1	0	1	1	900	1	
ln110	Local	20	0	1	1	1	0	676	1	
