Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
Cong	0.81	1.00	0.91	0.94	1.00	0.97	0.94
Incong	0.94	0.81	0.88	1.00	1.00	1.00	0.94
Grand Total	0.88	0.91	0.89	0.97	1.00	0.98	0.94
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
0.81	0.94	1.00	0.81	0.94	1.00	1.00	1.00
465.7	504.9	423.9	481.6	439.5	548.3	356.9	380.7
							
							
rt	SDev	CCor	UCor				
465.7	82.5	13	13	0	0	0	
504.9	83.64	15	15	0	0	1	
423.9	41.72	15	16	0	1	0	
481.6	113.3	13	13	0	1	1	
439.5	71.51	15	15	1	0	0	
548.3	116.3	16	16	1	0	1	
356.9	34.48	14	16	1	1	0	
380.7	47.66	15	16	1	1	1	
