Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	0	1		0	1		
0	1.00	1.00	1.00	0.94	1.00	0.97	0.98
1	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Grand Total	1.00	1.00	1.00	0.97	1.00	0.98	0.99
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	0.94	1.00	1.00	1.00
728.30	654.90	693.80	1024.00	864.80	872.60	640.60	672.40
							
							
							
							
							
							
rt	SDev	CCor	UCor				
728.3	142.5	16	16	0	0	0	
654.9	99.95	14	16	0	0	1	
693.8	233.5	16	16	0	1	0	
1024	415.7	16	16	0	1	1	
864.8	350.8	15	15	1	0	0	
872.6	230.3	16	16	1	0	1	
640.6	96.19	15	16	1	1	0	
672.4	128.4	15	16	1	1	1	
