SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mi58	Global	1	0	0	0	0	1	827	1	
mi58	Global	2	0	0	0	0	1	538	1	
mi58	Global	3	0	0	0	1	0	433	1	
mi58	Global	4	0	1	0	1	1	371	1	
mi58	Global	5	0	1	1	0	0	494	1	
mi58	Global	6	0	0	1	0	1	615	1	
mi58	Global	7	0	0	1	1	1	398	1	
mi58	Global	8	0	1	0	1	0	397	1	
mi58	Global	9	0	1	1	1	1	763	1	
mi58	Global	10	0	1	0	1	0	442	1	
mi58	Global	11	0	0	1	1	1	902	1	
mi58	Global	12	0	0	0	0	0	405	1	
mi58	Global	13	0	1	1	1	0	732	1	
mi58	Global	14	0	0	1	0	1	512	1	
mi58	Global	15	0	1	1	0	0	467	1	
mi58	Global	16	0	0	1	1	0	553	1	
mi58	Global	17	0	1	0	1	1	466	1	
mi58	Global	18	0	0	1	1	0	592	1	
mi58	Global	19	0	0	0	0	1	572	1	
mi58	Global	20	0	0	0	0	0	470	1	
mi58	Global	21	0	1	1	1	0	572	1	
mi58	Global	22	0	1	0	1	0	526	1	
mi58	Global	23	0	0	1	0	0	628	1	
mi58	Global	24	0	1	0	0	0	412	1	
mi58	Global	25	0	1	0	1	1	484	1	
mi58	Global	26	0	0	0	1	1	428	1	
mi58	Global	27	0	0	0	0	1	510	1	
mi58	Global	28	0	0	1	0	0	441	1	
mi58	Global	29	0	1	1	0	1	461	1	
mi58	Global	30	0	1	0	0	0	449	1	
mi58	Global	31	0	0	1	1	0	909	1	
mi58	Global	32	0	1	1	0	1	150	0	
mi58	Local	1	0	0	1	0	1	657	1	
mi58	Local	2	0	1	1	1	0	740	1	
mi58	Local	3	0	0	1	1	0	698	1	
mi58	Local	4	0	1	1	1	0	507	1	
mi58	Local	5	0	1	1	0	1	742	1	
mi58	Local	6	0	1	0	0	0	428	1	
mi58	Local	7	0	0	1	0	1	797	1	
mi58	Local	8	0	0	0	1	1	538	1	
mi58	Local	9	0	0	1	0	0	680	1	
mi58	Local	10	0	1	0	0	0	655	1	
mi58	Local	11	0	0	0	1	1	475	1	
mi58	Local	12	0	1	0	1	0	458	1	
mi58	Local	13	0	0	0	1	1	455	1	
mi58	Local	14	0	0	1	1	0	500	1	
mi58	Local	15	0	1	1	1	0	437	1	
mi58	Local	16	0	1	1	0	1	697	1	
mi58	Local	17	0	1	1	1	1	841	1	
mi58	Local	18	0	0	1	1	1	515	1	
mi58	Local	19	0	0	0	0	1	422	1	
mi58	Local	20	0	0	1	0	0	616	1	
mi58	Local	21	0	0	0	0	0	862	1	
mi58	Local	22	0	0	1	0	0	537	1	
mi58	Local	23	0	0	0	0	1	776	1	
mi58	Local	24	0	1	0	0	0	497	1	
mi58	Local	25	0	1	0	0	1	595	1	
mi58	Local	26	0	1	1	0	1	544	1	
mi58	Local	27	0	0	0	1	1	439	1	
mi58	Local	28	0	0	0	1	0	410	1	
mi58	Local	29	0	0	0	1	0	482	1	
mi58	Local	30	0	0	0	1	0	426	1	
mi58	Local	31	0	1	0	0	1	548	1	
mi58	Local	32	0	1	1	1	1	402	1	
mi58	Global	1	1	0	0	1	1	553	1	
