SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mp72	Global	1	0	1	0	1	0	794	1	
mp72	Global	2	0	0	1	1	1	862	1	
mp72	Global	3	0	1	1	0	1	657	1	
mp72	Global	4	0	1	1	1	1	509	1	
mp72	Global	5	0	1	0	1	1	368	1	
mp72	Global	6	0	0	0	1	0	460	1	
mp72	Global	7	0	1	0	0	0	376	1	
mp72	Global	8	0	0	1	0	1	627	1	
mp72	Global	9	0	1	1	0	0	660	1	
mp72	Global	10	0	0	1	1	0	408	1	
mp72	Global	11	0	0	0	0	1	656	1	
mp72	Global	12	0	1	0	1	0	508	1	
mp72	Global	13	0	1	1	0	0	487	1	
mp72	Global	14	0	0	0	1	1	423	1	
mp72	Global	15	0	1	0	0	0	473	1	
mp72	Global	16	0	0	0	0	0	399	1	
mp72	Global	17	0	0	1	1	0	430	1	
mp72	Global	18	0	0	1	0	0	295	1	
mp72	Global	19	0	1	1	0	0	282	1	
mp72	Global	20	0	1	1	0	0	299	1	
mp72	Global	21	0	1	0	0	0	302	1	
mp72	Global	22	0	0	0	0	0	345	1	
mp72	Global	23	0	0	1	1	0	297	1	
mp72	Global	24	0	0	1	0	0	292	1	
mp72	Global	25	0	1	0	1	0	375	1	
mp72	Global	26	0	1	1	1	0	306	1	
mp72	Global	27	0	1	0	1	0	285	1	
mp72	Global	28	0	1	1	1	1	150	0	
mp72	Global	29	0	1	0	1	0	521	1	
mp72	Global	30	0	1	0	0	1	292	1	
mp72	Global	31	0	0	0	0	1	447	1	
mp72	Global	32	0	0	1	1	0	578	1	
mp72	Local	1	0	1	1	1	1	150	0	
mp72	Local	2	0	0	1	1	0	719	1	
mp72	Local	3	0	0	0	0	1	530	1	
mp72	Local	4	0	1	0	0	0	599	1	
mp72	Local	5	0	1	0	1	0	500	1	
mp72	Local	6	0	1	1	1	0	534	1	
mp72	Local	7	0	1	1	1	1	515	1	
mp72	Local	8	0	1	0	1	0	590	1	
mp72	Local	9	0	1	1	0	0	530	1	
mp72	Local	10	0	0	0	0	1	487	1	
mp72	Local	11	0	0	0	1	0	503	1	
mp72	Local	12	0	0	1	0	1	657	1	
mp72	Local	13	0	0	0	0	0	477	1	
mp72	Local	14	0	0	0	0	1	467	1	
mp72	Local	15	0	1	1	0	1	150	0	
mp72	Local	16	0	1	1	0	0	714	1	
mp72	Local	17	0	0	0	1	0	829	1	
mp72	Local	18	0	0	1	1	0	532	1	
mp72	Local	19	0	1	0	0	0	473	1	
mp72	Local	20	0	0	1	0	1	720	1	
mp72	Local	21	0	1	1	1	0	650	1	
mp72	Local	22	0	1	0	1	1	620	1	
mp72	Local	23	0	1	0	1	1	1083	1	
mp72	Local	24	0	1	0	1	1	744	1	
mp72	Local	25	0	0	0	0	0	622	1	
mp72	Local	26	0	1	1	0	1	605	1	
mp72	Local	27	0	0	1	1	1	634	1	
mp72	Local	28	0	1	1	0	1	546	1	
mp72	Local	29	0	0	1	0	1	585	1	
mp72	Local	30	0	0	1	1	0	717	1	
mp72	Local	31	0	0	0	1	0	543	1	
mp72	Local	32	0	0	0	0	0	358	1	
mp72	Global	1	1	1	0	0	1	930	1	
mp72	Global	2	1	0	1	1	0	150	0	
mp72	Global	3	1	1	0	0	1	554	1	
mp72	Global	4	1	0	1	1	1	875	1	
mp72	Global	5	1	0	1	0	1	799	1	
mp72	Global	6	1	1	1	1	0	643	1	
mp72	Global	7	1	0	0	1	0	565	1	
mp72	Global	8	1	1	1	0	0	527	1	
mp72	Global	9	1	1	1	1	0	548	1	
mp72	Global	10	1	1	0	1	1	467	1	
mp72	Global	11	1	0	0	1	1	770	1	
mp72	Global	12	1	0	0	1	1	307	1	
mp72	Global	13	1	0	0	0	1	383	1	
mp72	Global	14	1	1	1	1	0	540	1	
mp72	Global	15	1	1	1	0	0	594	1	
mp72	Global	16	1	0	0	0	0	344	1	
mp72	Global	17	1	0	1	1	0	536	1	
mp72	Global	18	1	1	1	0	0	493	1	
mp72	Global	19	1	1	0	0	1	725	1	
mp72	Global	20	1	1	0	1	0	585	1	
mp72	Global	21	1	0	0	1	1	692	1	
mp72	Global	22	1	1	1	1	1	731	1	
mp72	Global	23	1	1	1	0	1	631	1	
mp72	Global	24	1	0	0	1	0	352	1	
mp72	Global	25	1	0	0	1	1	313	1	
mp72	Global	26	1	1	0	0	0	334	1	
mp72	Global	27	1	1	1	0	1	588	1	
mp72	Global	28	1	1	0	0	0	464	1	
mp72	Global	29	1	1	1	0	0	565	1	
mp72	Global	30	1	1	1	1	0	479	1	
mp72	Global	31	1	0	1	0	1	150	0	
mp72	Global	32	1	0	0	0	1	469	1	
mp72	Local	1	1	1	1	1	0	739	1	
mp72	Local	2	1	0	0	1	0	321	1	
mp72	Local	3	1	0	0	0	1	503	1	
mp72	Local	4	1	0	1	0	0	593	1	
mp72	Local	5	1	1	0	1	0	589	1	
mp72	Local	6	1	1	1	1	1	536	1	
mp72	Local	7	1	0	0	0	0	575	1	
mp72	Local	8	1	1	0	1	0	305	1	
mp72	Local	9	1	0	1	1	1	532	1	
mp72	Local	10	1	1	1	0	1	425	1	
mp72	Local	11	1	0	0	1	1	410	1	
mp72	Local	12	1	0	0	0	1	482	1	
mp72	Local	13	1	0	0	1	0	427	1	
mp72	Local	14	1	1	1	0	0	380	1	
mp72	Local	15	1	0	1	1	0	281	1	
