SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
mw20	Global	1	1	0	1	1	0	150	0	
mw20	Global	2	1	0	1	0	0	1017	1	
mw20	Global	3	1	1	0	1	1	1790	1	
mw20	Global	4	1	1	0	1	0	667	1	
mw20	Global	5	1	1	1	0	0	849	1	
mw20	Global	6	1	1	1	0	0	666	1	
mw20	Global	7	1	0	0	0	1	775	1	
mw20	Global	8	1	1	1	1	0	768	1	
mw20	Global	9	1	0	1	1	0	793	1	
mw20	Global	10	1	1	1	1	0	556	1	
mw20	Global	11	1	1	1	0	1	644	1	
mw20	Global	12	1	0	0	1	1	670	1	
mw20	Global	13	1	0	0	1	1	667	1	
mw20	Global	14	1	1	0	0	1	649	1	
mw20	Global	15	1	0	0	0	1	515	1	
mw20	Global	16	1	1	0	1	1	543	1	
mw20	Global	17	1	0	1	0	1	653	1	
mw20	Global	18	1	1	0	0	0	609	1	
mw20	Global	19	1	0	1	0	1	792	1	
mw20	Global	20	1	1	0	0	1	562	1	
mw20	Global	21	1	1	1	1	0	523	1	
mw20	Global	22	1	0	0	0	1	616	1	
mw20	Global	23	1	0	1	1	1	591	1	
mw20	Global	24	1	1	0	0	0	418	1	
mw20	Global	25	1	0	0	1	0	562	1	
mw20	Global	26	1	1	1	1	1	683	1	
mw20	Global	27	1	1	1	0	0	770	1	
mw20	Global	28	1	1	0	1	1	563	1	
mw20	Global	29	1	1	0	1	0	491	1	
mw20	Global	30	1	0	0	0	0	539	1	
mw20	Global	31	1	0	1	1	1	546	1	
mw20	Global	32	1	1	1	0	1	961	1	
mw20	Local	1	1	1	1	0	1	778	1	
mw20	Local	2	1	0	0	0	1	650	1	
mw20	Local	3	1	0	1	1	0	453	1	
mw20	Local	4	1	0	0	1	0	729	1	
mw20	Local	5	1	1	0	1	0	525	1	
mw20	Local	6	1	0	1	0	1	459	1	
mw20	Local	7	1	1	0	1	0	807	1	
mw20	Local	8	1	1	0	0	1	500	1	
mw20	Local	9	1	0	0	0	1	589	1	
mw20	Local	10	1	1	1	0	0	513	1	
mw20	Local	11	1	1	0	1	0	524	1	
mw20	Local	12	1	0	1	1	0	498	1	
mw20	Local	13	1	1	0	0	0	475	1	
mw20	Local	14	1	0	1	1	1	482	1	
mw20	Local	15	1	1	0	1	1	458	1	
mw20	Local	16	1	0	0	1	1	487	1	
mw20	Local	17	1	0	1	0	0	631	1	
mw20	Local	18	1	0	1	1	0	512	1	
mw20	Local	19	1	1	0	0	1	507	1	
mw20	Local	20	1	0	0	1	1	447	1	
mw20	Local	21	1	1	1	1	1	458	1	
mw20	Local	22	1	1	0	0	1	511	1	
mw20	Local	23	1	0	0	0	1	450	1	
mw20	Local	24	1	0	1	0	1	463	1	
mw20	Local	25	1	0	1	1	0	508	1	
mw20	Local	26	1	0	1	0	0	327	1	
mw20	Local	27	1	0	0	1	0	397	1	
mw20	Local	28	1	0	0	0	0	396	1	
mw20	Local	29	1	1	1	0	1	498	1	
mw20	Local	30	1	1	1	1	0	476	1	
mw20	Local	31	1	1	1	0	1	475	1	
mw20	Local	32	1	0	1	1	0	577	1	
mw20	Global	1	0	0	0	0	0	1004	1	
mw20	Global	2	0	1	1	1	1	150	0	
mw20	Global	3	0	1	0	1	0	656	1	
mw20	Global	4	0	1	0	1	0	612	1	
mw20	Global	5	0	0	0	0	0	483	1	
mw20	Global	6	0	1	1	1	0	483	1	
mw20	Global	7	0	1	0	0	1	579	1	
mw20	Global	8	0	0	0	0	1	607	1	
mw20	Global	9	0	0	1	0	0	580	1	
mw20	Global	10	0	0	0	0	0	472	1	
mw20	Global	11	0	0	0	1	1	526	1	
mw20	Global	12	0	1	1	0	0	531	1	
mw20	Global	13	0	1	1	0	0	552	1	
mw20	Global	14	0	0	0	0	1	545	1	
mw20	Global	15	0	1	1	0	1	615	1	
mw20	Global	16	0	0	1	0	1	550	1	
mw20	Global	17	0	0	1	1	0	495	1	
mw20	Global	18	0	0	0	0	1	552	1	
mw20	Global	19	0	0	1	0	0	513	1	
mw20	Global	20	0	0	0	1	0	764	1	
mw20	Global	21	0	0	1	1	0	771	1	
mw20	Global	22	0	1	0	1	1	588	1	
mw20	Global	23	0	0	0	1	0	504	1	
mw20	Global	24	0	0	0	1	0	498	1	
mw20	Global	25	0	0	1	1	0	484	1	
mw20	Global	26	0	1	1	1	0	492	1	
mw20	Global	27	0	0	1	1	0	484	1	
mw20	Global	28	0	0	1	1	1	596	1	
mw20	Global	29	0	0	1	0	0	817	1	
mw20	Global	30	0	1	0	0	1	351	1	
mw20	Global	31	0	1	0	1	1	545	1	
mw20	Global	32	0	0	1	0	1	455	1	
mw20	Local	1	0	0	1	0	1	1155	1	
mw20	Local	2	0	1	0	0	1	872	1	
mw20	Local	3	0	0	1	0	1	868	1	
mw20	Local	4	0	1	0	0	0	536	1	
mw20	Local	5	0	0	1	1	0	1015	1	
mw20	Local	6	0	1	0	1	1	612	1	
mw20	Local	7	0	0	0	1	0	563	1	
mw20	Local	8	0	1	1	1	1	683	1	
mw20	Local	9	0	1	0	0	1	578	1	
mw20	Local	10	0	1	1	0	0	756	1	
mw20	Local	11	0	1	0	1	1	684	1	
mw20	Local	12	0	0	0	0	0	603	1	
mw20	Local	13	0	0	0	1	1	752	1	
mw20	Local	14	0	0	0	1	1	567	1	
mw20	Local	15	0	1	1	1	1	673	1	
mw20	Local	16	0	0	1	0	0	615	1	
mw20	Local	17	0	1	0	0	0	509	1	
mw20	Local	18	0	0	1	0	1	585	1	
mw20	Local	19	0	0	1	1	0	765	1	
mw20	Local	20	0	0	1	0	1	692	1	
mw20	Local	21	0	1	1	0	0	699	1	
mw20	Local	22	0	1	0	0	0	532	1	
mw20	Local	23	0	1	1	1	0	585	1	
mw20	Local	24	0	0	0	1	1	676	1	
mw20	Local	25	0	0	0	1	0	546	1	
mw20	Local	26	0	1	0	0	1	561	1	
mw20	Local	27	0	1	1	1	0	537	1	
mw20	Local	28	0	1	0	0	1	464	1	
mw20	Local	29	0	0	1	1	1	612	1	
mw20	Local	30	0	1	1	1	0	531	1	
mw20	Local	31	0	1	1	0	0	552	1	
mw20	Local	32	0	0	0	1	0	521	1	
