SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
na111	Global	1	1	0	1	0	1	1284	1	
na111	Global	2	1	0	1	1	1	895	1	
na111	Global	3	1	1	1	0	1	919	1	
na111	Global	4	1	0	1	1	1	1160	1	
na111	Global	5	1	0	1	0	1	861	1	
na111	Global	6	1	0	0	1	0	704	1	
na111	Global	7	1	0	0	1	1	777	1	
na111	Global	8	1	0	0	1	0	706	1	
na111	Global	9	1	0	1	1	0	938	1	
na111	Global	10	1	1	1	0	1	1023	1	
na111	Global	11	1	0	0	0	0	708	1	
na111	Global	12	1	0	0	0	1	652	1	
na111	Global	13	1	1	1	0	1	840	1	
na111	Global	14	1	1	0	1	0	657	1	
na111	Global	15	1	1	0	0	1	645	1	
na111	Global	16	1	0	0	0	1	911	1	
na111	Global	17	1	0	0	0	1	753	1	
na111	Global	18	1	0	1	0	1	744	1	
na111	Global	19	1	0	0	1	0	638	1	
na111	Global	20	1	1	0	1	1	640	1	
na111	Global	21	1	0	1	0	0	690	1	
na111	Global	22	1	0	1	1	0	657	1	
na111	Global	23	1	0	1	0	1	861	1	
na111	Global	24	1	0	1	1	0	640	1	
na111	Global	25	1	1	1	1	1	626	1	
na111	Global	26	1	0	0	0	1	650	1	
na111	Global	27	1	0	1	1	0	693	1	
na111	Global	28	1	1	0	1	0	676	1	
na111	Global	29	1	0	0	0	0	729	1	
na111	Global	30	1	1	0	1	0	493	1	
na111	Global	31	1	0	1	1	0	911	1	
na111	Global	32	1	0	0	0	1	632	1	
na111	Local	1	1	0	0	1	0	1179	1	
na111	Local	2	1	1	1	0	0	705	1	
na111	Local	3	1	0	1	0	1	810	1	
na111	Local	4	1	1	1	1	1	712	1	
na111	Local	5	1	1	1	1	1	674	1	
na111	Local	6	1	1	0	1	1	656	1	
na111	Local	7	1	1	1	1	0	539	1	
na111	Local	8	1	1	1	1	0	578	1	
na111	Local	9	1	1	1	1	1	716	1	
na111	Local	10	1	0	1	1	0	918	1	
na111	Local	11	1	1	1	0	0	664	1	
na111	Local	12	1	1	1	0	0	620	1	
na111	Local	13	1	0	0	0	1	674	1	
na111	Local	14	1	0	0	1	0	720	1	
na111	Local	15	1	1	1	0	0	754	1	
na111	Local	16	1	0	1	0	1	594	1	
na111	Local	17	1	1	1	0	1	839	1	
na111	Local	18	1	0	1	1	0	600	1	
na111	Local	19	1	1	0	1	0	613	1	
na111	Local	20	1	1	0	0	0	604	1	
na111	Local	21	1	1	0	1	1	665	1	
na111	Local	22	1	0	0	1	0	615	1	
na111	Local	23	1	1	0	0	0	662	1	
na111	Local	24	1	1	0	0	0	466	1	
na111	Local	25	1	0	0	1	0	768	1	
na111	Local	26	1	0	0	0	1	625	1	
na111	Local	27	1	0	0	0	0	434	1	
na111	Local	28	1	1	0	0	0	587	1	
na111	Local	29	1	0	0	1	1	655	1	
na111	Local	30	1	1	1	0	1	643	1	
na111	Local	31	1	1	1	1	0	533	1	
na111	Local	32	1	0	0	0	1	674	1	
na111	Global	1	0	1	1	0	1	1214	1	
na111	Global	2	0	1	1	0	1	665	1	
na111	Global	3	0	1	0	0	1	607	1	
na111	Global	4	0	1	1	1	0	524	1	
na111	Global	5	0	1	1	1	0	569	1	
na111	Global	6	0	1	0	1	1	579	1	
na111	Global	7	0	0	1	0	1	639	1	
na111	Global	8	0	1	0	0	0	561	1	
na111	Global	9	0	1	0	0	1	809	1	
na111	Global	10	0	0	1	1	0	791	1	
na111	Global	11	0	1	1	0	1	618	1	
na111	Global	12	0	0	0	0	1	609	1	
na111	Global	13	0	0	1	0	0	632	1	
na111	Global	14	0	0	0	1	1	552	1	
na111	Global	15	0	0	1	1	1	616	1	
na111	Global	16	0	0	1	1	0	583	1	
na111	Global	17	0	0	0	1	1	691	1	
na111	Global	18	0	1	0	0	1	674	1	
na111	Global	19	0	1	0	0	0	520	1	
na111	Global	20	0	0	0	0	1	571	1	
na111	Global	21	0	0	0	1	0	725	1	
na111	Global	22	0	1	0	1	1	649	1	
na111	Global	23	0	0	1	1	0	531	1	
na111	Global	24	0	1	1	0	0	832	1	
na111	Global	25	0	0	0	1	1	552	1	
na111	Global	26	0	0	1	1	0	800	1	
na111	Global	27	0	1	1	0	0	564	1	
na111	Global	28	0	1	1	0	0	525	1	
na111	Global	29	0	1	0	1	0	786	1	
na111	Global	30	0	0	0	1	1	612	1	
na111	Global	31	0	0	1	1	1	683	1	
na111	Global	32	0	1	0	0	1	634	1	
na111	Local	1	0	0	1	1	1	1438	1	
na111	Local	2	0	0	1	1	1	722	1	
na111	Local	3	0	1	0	0	1	3157	1	
na111	Local	4	0	1	0	0	1	789	1	
na111	Local	5	0	0	0	0	0	816	1	
na111	Local	6	0	0	1	1	0	814	1	
na111	Local	7	0	1	0	1	1	899	1	
na111	Local	8	0	1	0	1	1	723	1	
na111	Local	9	0	0	0	0	0	695	1	
na111	Local	10	0	0	0	1	0	736	1	
na111	Local	11	0	0	0	0	1	868	1	
na111	Local	12	0	0	0	1	0	656	1	
na111	Local	13	0	0	0	1	1	652	1	
na111	Local	14	0	1	1	0	0	616	1	
na111	Local	15	0	1	0	0	0	599	1	
na111	Local	16	0	0	0	0	0	564	1	
na111	Local	17	0	1	1	0	0	580	1	
na111	Local	18	0	0	0	1	0	464	1	
na111	Local	19	0	1	0	1	1	655	1	
na111	Local	20	0	1	1	1	1	658	1	
na111	Local	21	0	0	1	1	0	670	1	
na111	Local	22	0	1	1	1	0	636	1	
na111	Local	23	0	1	1	1	1	612	1	
na111	Local	24	0	1	0	0	1	555	1	
na111	Local	25	0	1	1	0	1	459	1	
na111	Local	26	0	0	0	1	1	648	1	
na111	Local	27	0	1	1	0	1	570	1	
na111	Local	28	0	1	1	0	0	660	1	
na111	Local	29	0	0	1	0	0	728	1	
na111	Local	30	0	0	1	1	0	692	1	
na111	Local	31	0	1	1	0	1	699	1	
na111	Local	32	0	0	1	0	0	644	1	
