SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
nb78	Global	1	1	0	1	0	0	669	1	
nb78	Global	2	1	1	1	1	0	723	1	
nb78	Global	3	1	1	1	1	1	583	1	
nb78	Global	4	1	1	1	1	0	498	1	
nb78	Global	5	1	0	0	0	1	516	1	
nb78	Global	6	1	1	0	0	0	480	1	
nb78	Global	7	1	0	0	0	1	496	1	
nb78	Global	8	1	1	1	1	1	602	1	
nb78	Global	9	1	1	1	1	0	519	1	
nb78	Global	10	1	1	1	0	1	546	1	
nb78	Global	11	1	0	0	0	0	457	1	
nb78	Global	12	1	0	0	0	0	526	1	
nb78	Global	13	1	0	0	1	1	443	1	
nb78	Global	14	1	1	0	1	0	398	1	
nb78	Global	15	1	0	1	1	1	477	1	
nb78	Global	16	1	1	0	1	0	451	1	
nb78	Global	17	1	1	0	1	0	456	1	
nb78	Global	18	1	1	1	1	0	429	1	
nb78	Global	19	1	0	1	0	1	470	1	
nb78	Global	20	1	0	1	0	0	453	1	
nb78	Global	21	1	1	1	0	1	938	1	
nb78	Global	22	1	0	0	0	1	550	1	
nb78	Global	23	1	0	0	1	1	527	1	
nb78	Global	24	1	1	0	0	1	356	1	
nb78	Global	25	1	1	1	1	0	421	1	
nb78	Global	26	1	1	1	0	1	503	1	
nb78	Global	27	1	1	0	1	1	481	1	
nb78	Global	28	1	0	0	1	0	489	1	
nb78	Global	29	1	1	0	1	1	489	1	
nb78	Global	30	1	0	1	0	0	417	1	
nb78	Global	31	1	0	1	0	0	529	1	
nb78	Global	32	1	0	0	0	1	422	1	
nb78	Local	1	1	1	0	1	0	673	1	
nb78	Local	2	1	1	0	0	0	543	1	
nb78	Local	3	1	1	1	0	0	710	1	
nb78	Local	4	1	0	0	1	0	504	1	
nb78	Local	5	1	0	0	0	0	418	1	
nb78	Local	6	1	0	0	0	0	490	1	
nb78	Local	7	1	1	1	0	0	594	1	
nb78	Local	8	1	0	0	1	1	463	1	
nb78	Local	9	1	0	1	1	0	580	1	
nb78	Local	10	1	0	0	1	1	528	1	
nb78	Local	11	1	1	1	1	0	733	1	
nb78	Local	12	1	1	1	0	1	689	1	
nb78	Local	13	1	0	0	0	0	568	1	
nb78	Local	14	1	0	1	1	0	466	1	
nb78	Local	15	1	0	1	1	0	408	1	
nb78	Local	16	1	0	0	1	1	464	1	
nb78	Local	17	1	1	0	0	0	439	1	
nb78	Local	18	1	1	0	1	1	562	1	
nb78	Local	19	1	1	1	1	0	442	1	
nb78	Local	20	1	0	1	1	1	414	1	
nb78	Local	21	1	0	1	0	1	534	1	
nb78	Local	22	1	0	1	1	0	563	1	
nb78	Local	23	1	1	0	0	0	387	1	
nb78	Local	24	1	0	0	0	1	616	1	
nb78	Local	25	1	1	1	0	1	727	1	
nb78	Local	26	1	1	1	0	1	411	1	
nb78	Local	27	1	0	1	0	1	515	1	
nb78	Local	28	1	0	1	1	0	462	1	
nb78	Local	29	1	1	0	1	1	483	1	
nb78	Local	30	1	0	1	0	1	507	1	
nb78	Local	31	1	0	0	0	1	415	1	
nb78	Local	32	1	1	0	1	1	503	1	
nb78	Global	1	0	1	0	0	1	630	1	
nb78	Global	2	0	0	0	0	0	471	1	
nb78	Global	3	0	1	0	1	1	405	1	
nb78	Global	4	0	0	1	0	0	427	1	
nb78	Global	5	0	0	1	0	0	493	1	
nb78	Global	6	0	1	0	1	1	455	1	
nb78	Global	7	0	0	1	0	0	420	1	
nb78	Global	8	0	1	0	1	0	428	1	
nb78	Global	9	0	1	0	1	1	413	1	
nb78	Global	10	0	0	1	0	0	413	1	
nb78	Global	11	0	0	0	0	1	413	1	
nb78	Global	12	0	0	1	1	1	493	1	
nb78	Global	13	0	1	1	0	0	439	1	
nb78	Global	14	0	0	0	1	0	410	1	
nb78	Global	15	0	0	0	0	0	426	1	
nb78	Global	16	0	1	0	0	0	396	1	
nb78	Global	17	0	0	1	1	1	498	1	
nb78	Global	18	0	0	0	0	0	420	1	
nb78	Global	19	0	1	1	1	0	428	1	
nb78	Global	20	0	1	0	1	1	398	1	
nb78	Global	21	0	0	1	0	0	484	1	
nb78	Global	22	0	0	1	1	0	388	1	
nb78	Global	23	0	0	1	1	1	473	1	
nb78	Global	24	0	1	1	1	1	535	1	
nb78	Global	25	0	1	1	0	1	532	1	
nb78	Global	26	0	0	1	1	0	506	1	
nb78	Global	27	0	0	0	0	1	435	1	
nb78	Global	28	0	1	0	1	0	495	1	
nb78	Global	29	0	1	1	1	0	488	1	
nb78	Global	30	0	1	0	1	1	441	1	
nb78	Global	31	0	1	1	0	0	428	1	
nb78	Global	32	0	1	0	0	1	685	1	
nb78	Local	1	0	0	1	1	1	783	1	
nb78	Local	2	0	0	0	0	0	586	1	
nb78	Local	3	0	1	1	0	1	693	1	
nb78	Local	4	0	1	0	1	0	556	1	
nb78	Local	5	0	0	0	0	0	501	1	
nb78	Local	6	0	1	0	1	0	534	1	
nb78	Local	7	0	1	1	1	1	643	1	
nb78	Local	8	0	1	1	1	0	150	0	
nb78	Local	9	0	1	0	1	1	747	1	
nb78	Local	10	0	0	1	1	1	769	1	
nb78	Local	11	0	0	0	0	1	625	1	
nb78	Local	12	0	0	0	0	0	570	1	
nb78	Local	13	0	1	0	0	0	628	1	
nb78	Local	14	0	1	0	1	1	573	1	
nb78	Local	15	0	1	1	0	1	719	1	
nb78	Local	16	0	1	1	1	1	681	1	
nb78	Local	17	0	1	1	0	0	624	1	
nb78	Local	18	0	0	1	0	0	656	1	
nb78	Local	19	0	0	1	0	0	748	1	
nb78	Local	20	0	1	0	1	0	666	1	
nb78	Local	21	0	1	0	1	1	583	1	
nb78	Local	22	0	0	0	1	0	971	1	
nb78	Local	23	0	1	0	0	0	627	1	
nb78	Local	24	0	1	1	0	0	739	1	
nb78	Local	25	0	1	1	1	1	561	1	
nb78	Local	26	0	1	1	1	1	625	1	
nb78	Local	27	0	0	1	0	1	922	1	
nb78	Local	28	0	1	0	0	0	827	1	
nb78	Local	29	0	0	1	1	0	787	1	
nb78	Local	30	0	1	0	1	1	805	1	
nb78	Local	31	0	1	1	0	0	761	1	
nb78	Local	32	0	0	0	0	0	697	1	
