Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	0.94	0.97	1.00	1.00	1.00	0.98
Grand Total	1.00	0.97	0.98	1.00	1.00	1.00	0.99
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00
560.30	579.40	542.80	651.80	617.30	648.90	580.90	628.10
							
							
							
rt	SDev	CCor	UCor				
560.3	168.8	16	16	0	0	0	
579.4	122.4	16	16	0	0	1	
542.8	133.4	16	16	0	1	0	
651.8	113.2	13	15	0	1	1	
617.3	109.4	16	16	1	0	0	
648.9	99.9	15	16	1	0	1	
580.9	105.3	16	16	1	1	0	
628.1	133.8	16	16	1	1	1	
