SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
nm149	Global	1	1	1	0	0	1	622	1	
nm149	Global	2	1	1	1	0	0	150	0	
nm149	Global	3	1	1	1	1	0	150	0	
nm149	Global	4	1	0	1	1	0	150	0	
nm149	Global	5	1	1	0	1	1	637	1	
nm149	Global	6	1	0	0	0	0	567	1	
nm149	Global	7	1	0	0	0	0	449	1	
nm149	Global	8	1	0	0	0	0	524	1	
nm149	Global	9	1	1	1	1	1	625	1	
nm149	Global	10	1	0	0	1	1	482	1	
nm149	Global	11	1	1	1	0	0	150	0	
nm149	Global	12	1	1	0	1	0	661	1	
nm149	Global	13	1	1	0	1	1	489	1	
nm149	Global	14	1	1	1	0	1	569	1	
nm149	Global	15	1	0	0	1	0	539	1	
nm149	Global	16	1	1	1	1	0	722	1	
nm149	Global	17	1	0	0	0	0	516	1	
nm149	Global	18	1	0	0	1	1	504	1	
nm149	Global	19	1	0	1	1	1	649	1	
nm149	Global	20	1	0	1	0	0	756	1	
nm149	Global	21	1	0	1	0	0	715	1	
nm149	Global	22	1	1	1	1	0	533	1	
nm149	Global	23	1	1	1	1	0	682	1	
nm149	Global	24	1	0	1	0	1	497	1	
nm149	Global	25	1	0	0	1	0	587	1	
nm149	Global	26	1	0	0	0	1	479	1	
nm149	Global	27	1	0	1	0	1	655	1	
nm149	Global	28	1	1	1	1	1	587	1	
nm149	Global	29	1	1	1	0	1	614	1	
nm149	Global	30	1	1	0	0	0	533	1	
nm149	Global	31	1	0	0	1	1	458	1	
nm149	Global	32	1	0	0	0	1	487	1	
nm149	Local	1	1	1	1	0	1	680	1	
nm149	Local	2	1	0	0	0	0	495	1	
nm149	Local	3	1	0	1	1	0	577	1	
nm149	Local	4	1	1	1	0	0	603	1	
nm149	Local	5	1	0	1	0	0	736	1	
nm149	Local	6	1	0	0	0	1	444	1	
nm149	Local	7	1	1	0	1	0	559	1	
nm149	Local	8	1	1	0	0	1	480	1	
nm149	Local	9	1	0	0	0	0	472	1	
nm149	Local	10	1	0	0	1	0	638	1	
nm149	Local	11	1	1	1	0	0	729	1	
nm149	Local	12	1	1	1	0	0	660	1	
nm149	Local	13	1	1	1	1	0	496	1	
nm149	Local	14	1	1	1	1	0	402	1	
nm149	Local	15	1	0	0	0	1	296	1	
nm149	Local	16	1	1	1	1	0	331	1	
nm149	Local	17	1	1	0	0	0	329	1	
nm149	Local	18	1	0	0	0	0	264	1	
nm149	Local	19	1	0	1	1	0	263	1	
nm149	Local	20	1	0	0	1	1	239	1	
nm149	Local	21	1	0	1	0	0	315	1	
nm149	Local	22	1	1	1	1	0	150	0	
nm149	Local	23	1	1	0	1	1	695	1	
nm149	Local	24	1	0	1	0	0	336	1	
nm149	Local	25	1	1	0	1	1	150	0	
nm149	Local	26	1	1	0	1	0	715	1	
nm149	Local	27	1	1	1	0	0	565	1	
nm149	Local	28	1	1	0	1	0	367	1	
nm149	Local	29	1	0	1	1	0	378	1	
nm149	Local	30	1	1	1	1	1	150	0	
nm149	Local	31	1	1	0	1	0	829	1	
nm149	Local	32	1	0	0	0	0	150	0	
nm149	Global	1	0	1	0	1	0	789	1	
nm149	Global	2	0	0	0	0	0	672	1	
nm149	Global	3	0	1	1	0	0	150	0	
nm149	Global	4	0	1	1	0	0	150	0	
nm149	Global	5	0	0	1	0	0	578	1	
nm149	Global	6	0	0	0	1	1	150	0	
nm149	Global	7	0	0	1	0	0	545	1	
nm149	Global	8	0	0	0	0	1	399	1	
nm149	Global	9	0	0	0	0	1	430	1	
nm149	Global	10	0	1	1	0	1	423	1	
nm149	Global	11	0	0	0	1	0	329	1	
nm149	Global	12	0	0	1	0	1	150	0	
nm149	Global	13	0	0	0	1	0	564	1	
nm149	Global	14	0	1	1	1	1	332	1	
nm149	Global	15	0	1	0	0	0	386	1	
nm149	Global	16	0	0	1	0	0	543	1	
nm149	Global	17	0	0	1	1	1	326	1	
