SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
np187	Global	1	0	1	1	0	0	717	1	
np187	Global	2	0	0	1	1	1	568	1	
np187	Global	3	0	1	0	1	0	682	1	
np187	Global	4	0	1	0	1	0	497	1	
np187	Global	5	0	0	0	0	0	411	1	
np187	Global	6	0	1	0	1	1	762	1	
np187	Global	7	0	1	1	1	1	1986	1	
np187	Global	8	0	0	1	0	1	516	1	
np187	Global	9	0	1	1	0	0	480	1	
np187	Global	10	0	1	0	0	0	616	1	
np187	Global	11	0	1	1	1	1	759	1	
np187	Global	12	0	1	0	0	1	406	1	
np187	Global	13	0	1	0	0	0	460	1	
np187	Global	14	0	0	1	1	0	569	1	
np187	Global	15	0	0	1	1	1	587	1	
np187	Global	16	0	0	1	0	1	575	1	
np187	Global	17	0	0	0	1	1	561	1	
np187	Global	18	0	0	0	0	0	673	1	
np187	Global	19	0	1	0	1	0	623	1	
np187	Global	20	0	0	0	1	0	575	1	
np187	Global	21	0	0	0	0	0	465	1	
np187	Global	22	0	0	0	1	1	536	1	
np187	Global	23	0	0	1	0	1	686	1	
np187	Global	24	0	0	1	0	0	733	1	
np187	Global	25	0	1	0	1	1	681	1	
np187	Global	26	0	1	1	1	0	1120	1	
np187	Global	27	0	1	1	1	1	545	1	
np187	Global	28	0	0	1	1	1	663	1	
np187	Global	29	0	0	1	0	1	595	1	
np187	Global	30	0	0	1	0	1	424	1	
np187	Global	31	0	0	0	0	1	522	1	
np187	Global	32	0	1	0	0	0	479	1	
np187	Local	1	0	1	1	1	1	760	1	
np187	Local	2	0	0	0	0	1	551	1	
np187	Local	3	0	0	0	1	1	543	1	
np187	Local	4	0	0	1	1	1	606	1	
np187	Local	5	0	0	0	0	0	595	1	
np187	Local	6	0	1	0	1	0	473	1	
np187	Local	7	0	0	1	0	0	623	1	
np187	Local	8	0	0	1	0	0	440	1	
np187	Local	9	0	1	1	1	0	331	1	
np187	Local	10	0	0	1	1	0	353	1	
np187	Local	11	0	1	0	1	1	451	1	
np187	Local	12	0	0	1	1	0	519	1	
np187	Local	13	0	1	1	0	0	483	1	
np187	Local	14	0	0	0	0	0	403	1	
np187	Local	15	0	0	0	1	0	425	1	
np187	Local	16	0	1	0	0	1	755	1	
np187	Local	17	0	1	1	0	0	626	1	
np187	Local	18	0	0	0	1	0	555	1	
np187	Local	19	0	1	1	1	0	555	1	
np187	Local	20	0	1	0	0	0	516	1	
np187	Local	21	0	1	0	1	0	415	1	
np187	Local	22	0	0	0	1	1	535	1	
np187	Local	23	0	1	0	0	0	628	1	
np187	Local	24	0	1	1	0	1	629	1	
np187	Local	25	0	1	1	0	1	557	1	
np187	Local	26	0	1	1	0	1	533	1	
np187	Local	27	0	1	0	0	1	418	1	
np187	Local	28	0	1	1	0	0	634	1	
np187	Local	29	0	1	1	1	0	435	1	
np187	Local	30	0	1	1	1	1	749	1	
np187	Local	31	0	0	0	1	1	402	1	
np187	Local	32	0	1	0	0	1	457	1	
np187	Global	1	1	1	0	1	0	589	1	
np187	Global	2	1	0	1	1	0	601	1	
np187	Global	3	1	0	0	0	0	598	1	
np187	Global	4	1	0	1	0	0	555	1	
np187	Global	5	1	0	0	1	0	692	1	
