SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
ns135	Global	1	1	0	0	0	1	678	1	
ns135	Global	2	1	0	1	0	1	820	1	
ns135	Global	3	1	0	0	0	0	481	1	
ns135	Global	4	1	0	0	0	0	490	1	
ns135	Global	5	1	1	1	0	1	834	1	
ns135	Global	6	1	0	0	1	1	625	1	
ns135	Global	7	1	1	0	0	1	482	1	
ns135	Global	8	1	1	0	0	1	490	1	
ns135	Global	9	1	1	1	1	1	722	1	
ns135	Global	10	1	0	0	1	0	548	1	
ns135	Global	11	1	0	1	0	0	643	1	
ns135	Global	12	1	1	1	0	1	669	1	
ns135	Global	13	1	0	0	0	1	595	1	
ns135	Global	14	1	1	0	1	0	496	1	
ns135	Global	15	1	1	1	1	1	618	1	
ns135	Global	16	1	0	1	0	1	561	1	
ns135	Global	17	1	1	0	0	0	585	1	
ns135	Global	18	1	1	1	0	1	573	1	
ns135	Global	19	1	1	1	0	0	527	1	
ns135	Global	20	1	0	1	1	0	564	1	
ns135	Global	21	1	1	0	1	0	508	1	
ns135	Global	22	1	1	0	1	0	432	1	
ns135	Global	23	1	0	0	1	1	473	1	
ns135	Global	24	1	1	1	1	1	832	1	
ns135	Global	25	1	1	0	1	0	447	1	
ns135	Global	26	1	0	1	1	0	594	1	
ns135	Global	27	1	0	1	1	0	536	1	
ns135	Global	28	1	0	1	1	1	574	1	
ns135	Global	29	1	0	1	1	1	520	1	
ns135	Global	30	1	0	0	0	0	508	1	
ns135	Global	31	1	1	1	0	1	527	1	
ns135	Global	32	1	1	0	1	1	540	1	
ns135	Local	1	1	1	0	1	0	979	1	
ns135	Local	2	1	0	1	1	0	651	1	
ns135	Local	3	1	0	1	1	0	575	1	
ns135	Local	4	1	0	1	1	1	529	1	
ns135	Local	5	1	1	0	1	1	534	1	
ns135	Local	6	1	1	1	0	0	563	1	
ns135	Local	7	1	1	0	1	0	395	1	
ns135	Local	8	1	0	0	1	1	450	1	
ns135	Local	9	1	1	0	0	0	479	1	
ns135	Local	10	1	0	0	0	0	407	1	
ns135	Local	11	1	0	1	0	1	567	1	
ns135	Local	12	1	1	1	0	1	585	1	
ns135	Local	13	1	0	0	1	1	493	1	
ns135	Local	14	1	1	1	1	0	357	1	
ns135	Local	15	1	1	1	0	0	334	1	
ns135	Local	16	1	0	0	0	0	380	1	
ns135	Local	17	1	0	0	1	1	441	1	
ns135	Local	18	1	1	0	0	1	404	1	
ns135	Local	19	1	0	1	0	0	515	1	
ns135	Local	20	1	0	1	1	0	502	1	
ns135	Local	21	1	1	1	0	0	520	1	
ns135	Local	22	1	1	1	0	0	371	1	
ns135	Local	23	1	0	1	1	1	478	1	
ns135	Local	24	1	1	0	0	1	542	1	
ns135	Local	25	1	1	1	1	1	557	1	
ns135	Local	26	1	0	0	1	0	429	1	
ns135	Local	27	1	0	0	0	0	535	1	
ns135	Local	28	1	1	1	1	0	452	1	
ns135	Local	29	1	1	0	1	1	537	1	
ns135	Local	30	1	0	0	0	1	520	1	
ns135	Local	31	1	0	1	0	1	435	1	
ns135	Local	32	1	1	0	0	0	430	1	
ns135	Global	1	0	0	1	1	0	150	0	
ns135	Global	2	0	1	0	1	0	716	1	
ns135	Global	3	0	0	0	0	0	558	1	
ns135	Global	4	0	1	0	0	1	662	1	
ns135	Global	5	0	1	1	1	0	602	1	
ns135	Global	6	0	1	1	0	1	639	1	
ns135	Global	7	0	1	1	0	1	530	1	
ns135	Global	8	0	0	1	0	0	455	1	
ns135	Global	9	0	0	1	1	1	436	1	
ns135	Global	10	0	0	1	1	0	439	1	
ns135	Global	11	0	1	0	0	1	426	1	
ns135	Global	12	0	0	0	1	0	556	1	
ns135	Global	13	0	1	1	0	1	524	1	
ns135	Global	14	0	1	0	0	1	449	1	
ns135	Global	15	0	1	1	0	1	460	1	
ns135	Global	16	0	1	0	0	1	377	1	
ns135	Global	17	0	0	0	1	1	380	1	
ns135	Global	18	0	1	0	1	0	377	1	
ns135	Global	19	0	0	0	0	0	436	1	
ns135	Global	20	0	1	0	0	0	383	1	
ns135	Global	21	0	1	0	1	1	492	1	
ns135	Global	22	0	0	1	0	1	548	1	
ns135	Global	23	0	0	1	1	0	499	1	
ns135	Global	24	0	0	1	1	1	509	1	
ns135	Global	25	0	0	0	1	0	352	1	
ns135	Global	26	0	1	0	1	1	506	1	
ns135	Global	27	0	0	1	0	1	523	1	
ns135	Global	28	0	0	1	1	1	897	1	
ns135	Global	29	0	1	1	1	0	360	1	
ns135	Global	30	0	1	1	0	0	586	1	
ns135	Global	31	0	1	0	1	0	373	1	
ns135	Global	32	0	0	0	0	1	528	1	
ns135	Local	1	0	1	1	1	1	684	1	
ns135	Local	2	0	0	1	0	1	443	1	
ns135	Local	3	0	0	1	0	0	590	1	
ns135	Local	4	0	0	0	0	0	402	1	
ns135	Local	5	0	0	1	0	0	584	1	
ns135	Local	6	0	0	0	1	0	428	1	
ns135	Local	7	0	1	1	1	0	518	1	
ns135	Local	8	0	1	0	0	1	521	1	
ns135	Local	9	0	1	0	1	0	548	1	
ns135	Local	10	0	0	1	1	1	595	1	
ns135	Local	11	0	1	0	0	1	496	1	
ns135	Local	12	0	0	0	0	1	458	1	
ns135	Local	13	0	0	1	0	1	479	1	
ns135	Local	14	0	1	0	1	1	399	1	
ns135	Local	15	0	1	0	0	0	422	1	
ns135	Local	16	0	1	0	0	1	423	1	
ns135	Local	17	0	0	1	1	1	441	1	
ns135	Local	18	0	1	1	1	1	396	1	
ns135	Local	19	0	1	1	1	0	586	1	
ns135	Local	20	0	1	1	0	0	558	1	
ns135	Local	21	0	0	0	1	1	478	1	
ns135	Local	22	0	0	1	0	1	439	1	
ns135	Local	23	0	0	0	1	0	474	1	
ns135	Local	24	0	0	1	1	1	640	1	
ns135	Local	25	0	0	0	0	0	490	1	
ns135	Local	26	0	1	0	1	0	443	1	
ns135	Local	27	0	0	1	1	1	582	1	
ns135	Local	28	0	1	0	0	0	442	1	
ns135	Local	29	0	1	0	1	0	365	1	
ns135	Local	30	0	1	0	1	0	376	1	
ns135	Local	31	0	0	1	0	0	587	1	
ns135	Local	32	0	1	1	0	0	463	1	
