Average of SCor	Column Labels						
	Global		Global Total	Local		Local Total	Grand Total
Row Labels	GS	LS		GS	LS		
cong	1.00	1.00	1.00	1.00	1.00	1.00	1.00
incong	1.00	1.00	1.00	0.94	1.00	0.97	0.98
Grand Total	1.00	1.00	1.00	0.97	1.00	0.98	0.99
							
							
ggsc_score	ggsi_score	glsc_score	glsi_Score	lgsc_Score	lgsi_Score	llsc_Score	llsi_Score
1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00
366.6	415.3	472.9	578.1	484.7	574.7	437.9	412.8
							
							
							
							
							
							
rt	SDev	CCor	UCor				
366.6	32.15	15	16	0	0	0	
415.3	56.84	16	16	0	0	1	
472.9	53.05	15	16	0	1	0	
578.1	119.3	16	16	0	1	1	
484.7	68.21	15	16	1	0	0	
574.7	113.3	15	15	1	0	1	
437.9	52.71	15	16	1	1	0	
412.8	56.86	14	16	1	1	1	
